relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-49.05899999999383,,,,,,681.8014020182331,,,,,,161.499,0.037
-32.0399999999936,,,,,,700.1184579970666,,,,,,141.762,0.037
-8.109999999993306,,,,,,577.7963366149381,,,,,,143.927,0.037
-0.00999999999476131,368.35838489701115,,,,,,70.615,,,,,,0.037
0.0,,454.2434392834715,,,,,,54.394,,,,,0.037
2.9500000000043656,303.8442660377596,,,,,,49.875,,,,,,0.037
2.960000000006403,,,536.6286847693682,,,,,,50.631,,,,0.037
4.866000000001804,,,,,,387.7174484410782,,,,,,99.844,0.037
4.908000000003085,,,,,350.47467390973947,,,,,,86.153,,0.037
5.960000000006403,442.57344110354074,,,,,,46.735,,,,,,0.037
5.970000000001164,,,518.8457760504095,,,,,,62.68,,,,0.037
7.848000000005413,,,,,,605.5090823165285,,,,,,82.142,0.037
7.890000000006694,,,,,298.28843538600927,,,,,,65.265,,0.037
10.869000000006054,,,,,384.2806820400325,,,,,,105.124,,0.037
20.900000000001455,300.07953740666267,,,409.71726182349107,,,103.137,,,93.802,,,0.037
22.783000000003085,,,,,,557.4957461390782,,,,,,134.29,0.037
24.890000000006694,248.0941457501479,359.9348301809742,,,,,44.138,41.627,,,,,0.037
26.9800000000032,,,437.43651382725506,,,,,,54.3,,,,0.037
28.7870000000039,,,,,316.53556266862563,,,,,,69.783,,0.037
30.880000000004657,253.410254890182,400.67162688275766,,,,,59.417,50.268,,,,,0.037
31.705000000001746,,,,,,423.88291065774297,,,,,,88.898,0.037
31.7870000000039,,,,,314.9481444207209,,,,,,69.572,,0.037
33.890000000006694,,,474.5671760309761,,,,,,114.55,,,,0.037
37.900000000001455,309.1490594920976,,,580.3313311794913,,,55.867,,,84.572,,,0.037
49.72600000000239,,,,,264.8020929235074,,,,,,74.325,,0.037
53.72600000000239,,,,,,337.4448346986508,,,,,,78.052,0.037
59.6420000000071,,,,,,459.39589442143864,,,,,,99.82,0.037
59.70400000000518,,,,,294.37607673515953,,,,,,77.951,,0.037
87.76000000000204,122.45382432906118,294.2952001117991,,,,,65.877,57.288,,,,,0.037
92.74000000000524,275.56636748317214,,,,,,86.724,,,,,,0.037
96.76000000000204,298.80425962871067,,,250.2456836658496,,,85.339,,,105.413,,,0.037
102.74000000000524,,,417.60021303319616,,,,,,185.597,,,,0.037
116.67000000000553,160.92602412727726,156.07405281581805,,,,,33.868,40.337,,,,,0.037
120.67000000000553,,,214.8338791258471,,,,,,107.853,,,,0.037
120.68000000000029,182.80150771500374,,,,,,76.644,,,,,,0.037
130.7300000000032,,119.11649762116802,,459.18764984015354,,,,109.043,,153.619,,,0.037
139.67000000000553,74.94831263963773,,,,,,48.532,,,,,,0.037
139.6800000000003,,,335.8378740428427,,,,,,44.141,,,,0.037
142.6800000000003,145.82524156581388,,,,,,57.081,,,,,,0.037
144.69000000000233,138.1464172524313,,333.4186048343611,,,,165.82,,163.039,,,,0.037
150.6800000000003,376.65617721797116,,139.3085185578889,,,,138.337,,138.951,,,,0.037
