relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-3.0100000000020373,199.25885335957275,242.04385150428536,,,,,68.379,54.035,,,,,0.017
-1.114000000001397,,,,,380.32935293212296,,,,,,83.041,,0.017
-1.0940000000045984,,,,,,395.7067377429977,,,,,,109.268,0.017
-1.0100000000020373,452.53070242606026,,,,,,94.016,,,,,,0.017
-1.0,,449.7315874603231,,,,,,114.448,,,,,0.017
0.0,475.035147071872,,340.60188233140514,,,,47.349,,55.306,,,,0.017
2.0,575.2594142130894,,498.5054448690328,,,,53.989,,51.69,,,,0.017
2.8259999999936554,,,,,,673.8923504406099,,,,,,118.428,0.017
2.8809999999939464,,,,,422.19057212917903,,,,,,83.365,,0.017
2.9499999999970896,612.5205594163232,,528.5156510652693,,,,63.035,,60.389,,,,0.017
5.844999999993888,,,,,597.1377654337855,,,,,,68.004,,0.017
8.880999999993946,,,,,604.2643416251937,,,,,,77.561,,0.017
11.820999999996275,,,,,,841.4741469860751,,,,,,171.556,0.017
18.909999999996217,640.8919091826192,,,650.9678552106678,,,73.812,,,111.69,,,0.017
19.939999999995052,577.927728809651,,426.64391346287283,,,,57.909,,61.265,,,,0.017
21.909999999996217,665.0983172839134,,560.1070767209238,,,,62.115,,54.666,,,,0.017
22.919999999998254,436.0836811979881,602.8996532029347,,,,,54.071,53.667,,,,,0.017
23.818999999995867,,,,,420.3451771259124,,,,,,87.485,,0.017
23.841999999996915,,,,,,716.9954406806754,,,,,,103.631,0.017
23.909999999996217,510.2344609248076,,470.32368462749776,,,,53.788,,56.882,,,,0.017
24.94999999999709,543.4767284909354,,,239.5045687706257,,,53.606,,,102.442,,,0.017
25.89999999999418,296.9333506225209,599.6664058725246,,,,,64.229,54.611,,,,,0.017
26.919999999998254,344.88892291169594,,354.994584798498,,,,51.284,,48.491,,,,0.017
27.79699999999866,,,,,410.1606367384539,,,,,,81.759,,0.017
27.929999999993015,397.96732052707404,,,314.63695432026947,,,54.642,,,78.298,,,0.017
28.859999999993306,142.31928491981677,499.5356715801376,,,,,75.159,90.04,,,,,0.017
29.919999999998254,388.8277344337345,,323.5607660335868,,,,52.349,,64.755,,,,0.017
30.849999999998545,401.8729456208115,,,130.10840039497265,,,77.955,,,111.171,,,0.017
33.41899999999441,,,,,,471.866022511791,,,,,,90.635,0.017
33.799999999995634,,,,,231.9545986762457,,,,,,63.443,,0.017
34.83999999999651,354.9461721368161,499.87190431926274,,,,,92.36,85.272,,,,,0.017
35.89999999999418,,,,229.9668894485281,,,,,,141.457,,,0.017
36.359999999993306,,370.2422122518716,,,,,,93.59,,,,,0.017
36.81999999999971,,,265.8787042423377,,,,,,86.422,,,,0.017
37.84599999999773,,,,,,444.0558336551226,,,,,,134.67,0.017
38.84799999999814,,,,,,601.1265424722071,,,,,,122.372,0.017
47.78199999999924,,,,,,331.71394693687927,,,,,,89.398,0.017
50.802999999999884,,,,,,301.0274632531464,,,,,,65.216,0.017
51.779999999998836,,,,,,298.5093805305579,,,,,,81.747,0.017
53.737999999997555,,,,,,273.0084939687212,,,,,,76.386,0.017
56.812999999994645,,,,,,312.33022092840145,,,,,,94.46,0.017
60.792999999997846,,,,,,290.46444536760794,,,,,,76.648,0.017
81.86999999999534,,,72.90503323833606,,,,,,66.329,,,,0.017
82.84999999999854,,,,323.60136967109145,,,,,,218.33,,,0.017
83.77999999999884,,56.92951167186137,,,,,,63.096,,,,,0.017
84.84999999999854,68.8776566327816,,80.57935569609744,,,,68.697,,76.864,,,,0.017
85.84999999999854,,,,155.86433167585443,,,,,,172.866,,,0.017
94.84999999999854,,281.31854195149884,,,,,,109.237,,,,,0.017
108.77999999999884,,,,223.11638499178483,,,,,,108.604,,,0.017
109.7699999999968,,212.35856041564833,,,,,,62.082,,,,,0.017
110.73999999999796,39.76434394217398,,,,,,47.058,,,,,,0.017
117.75999999999476,159.44370453813062,,,202.88733260539752,,,68.596,,,150.638,,,0.017
121.59999999999854,98.05130011752011,,,,,,72.978,,,,,,0.017
122.64999999999418,79.16141094463876,,,,,,65.009,,,,,,0.017
135.61999999999534,255.4289395654135,,303.4416798694878,,,,83.136,,175.566,,,,0.017
136.6099999999933,97.127286375831,,,155.11601745620717,,,53.586,,,86.642,,,0.017
138.59999999999854,82.01283479356252,,,,,,44.184,,,,,,0.017
139.6099999999933,180.25994538326188,,,178.8870222365472,,,75.747,,,114.199,,,0.017
140.6099999999933,170.79224444464901,214.85272030092287,,,,,81.157,112.328,,,,,0.017
141.59999999999854,,,44.16289294082493,,,,,,55.882,,,,0.017
142.59999999999854,98.58263447986596,,,,,,53.681,,,,,,0.017
146.65999999999622,63.10601066092514,,,,,,59.828,,,,,,0.017
147.6999999999971,97.31674623810173,,87.04535865816028,,,,51.92,,61.064,,,,0.017
157.67999999999302,,126.90651917094779,,,,,,137.951,,,,,0.017
159.6099999999933,,158.47804469702953,,177.4620517936622,,,,55.661,,105.132,,,0.017
160.62999999999738,,97.67404926348539,,,,,,79.831,,,,,0.017
161.66999999999825,,117.13182746697116,,,,,,69.181,,,,,0.017
162.62999999999738,,58.81262320460831,,,,,,55.168,,,,,0.017
165.61999999999534,108.09584812282317,84.82537836868414,,,,,60.543,48.266,,,,,0.017
167.6099999999933,117.12429854276365,,,,,,60.599,,,,,,0.017
167.61999999999534,,,,139.90404850414424,,,,,,92.844,,,0.017
168.61999999999534,,116.83202861598656,,,,,,55.652,,,,,0.017
169.6099999999933,177.44344988883495,,,,,,51.262,,,,,,0.017
169.61999999999534,,,176.21377484456835,,,,,,74.234,,,,0.017
183.62999999999738,,194.91609671044785,,,,,,98.811,,,,,0.017
184.61999999999534,,108.20656584078417,,,,,,104.37,,,,,0.017
185.6099999999933,,137.03722201046864,,,,,,124.813,,,,,0.017
186.6099999999933,,,,169.86528048859768,,,,,,135.279,,,0.017
