relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-59.68899999999849,185.713808945558,,,,,,76.281,,,,,,0.015
-54.7390000000014,171.54426913702815,,,,,,68.517,,,,,,0.015
-8.849000000001979,,119.64658440720282,108.07525884613823,,,,,72.098,87.357,,,,0.015
0.0,,,,,552.3575147228955,,,,,,78.429,,0.015
0.03700000000389991,,,,,,589.8113569647841,,,,,,87.841,0.015
2.0529999999998836,,,,,,803.4182068934987,,,,,,142.594,0.015
2.063000000001921,,,,,778.2624800226606,,,,,,135.449,,0.015
3.0200000000040745,,,,,1212.7307260980856,,,,,,88.016,,0.015
3.084999999999127,,,,,,859.3071714471755,,,,,,142.382,0.015
5.059000000001106,,,,,1999.8246195358,,,,,,122.796,,0.015
5.063999999998487,,,,,,1670.8428933535365,,,,,,118.29,0.015
6.959999999999127,,,,,,1933.1306239655853,,,,,,127.058,0.015
7.043000000005122,,,,,2522.263066711462,,,,,,111.096,,0.015
8.93300000000454,,,,,,2427.6706480926873,,,,,,268.852,0.015
14.982000000003609,,,,,2590.649802803116,,,,,,483.403,,0.015
16.9320000000007,,,,,,3504.660268292463,,,,,,315.791,0.015
17.02100000000064,,,,,3536.163195791592,,,,,,259.265,,0.015
17.09100000000035,,,2257.189295228343,,,,,,144.87,,,,0.015
17.101000000002387,,3238.226176579253,,,,,,149.865,,,,,0.015
18.980999999999767,,,,,2851.819301130663,,,,,,259.012,,0.015
19.07100000000355,,,,,,3011.1517748594224,,,,,,286.144,0.015
21.0,,,,,2609.14449180006,,,,,,371.774,,0.015
21.080999999998312,,2991.525159974616,,948.6967650393976,,,,99.659,,149.585,,,0.015
22.997000000003027,,,,,2275.5781223275258,,,,,,149.947,,0.015
24.131000000001222,,2758.0784925700395,,,,,,96.739,,,,,0.015
24.14100000000326,,,2027.0585817758247,,,,,,94.953,,,,0.015
26.041000000004715,1935.6935050773143,,,,,,80.789,,,,,,0.015
26.050999999999476,,,1287.0310492753088,,,,,,96.513,,,,0.015
27.9800000000032,,,,,1711.6584486456372,,,,,,137.225,,0.015
29.9800000000032,,,,,1362.2359367999868,,,,,,107.944,,0.015
30.007000000005064,,,,,,1871.326146656166,,,,,,107.137,0.015
33.957000000002154,,,,,,2098.8565557900342,,,,,,234.958,0.015
34.00100000000384,,,,,898.1500825678014,,,,,,156.555,,0.015
39.01900000000023,,,,,,1410.9761021255106,,,,,,182.974,0.015
39.02200000000448,,,,,819.6359684649376,,,,,,214.125,,0.015
45.940999999998894,,,,,,951.1218238774092,,,,,,227.409,0.015
52.93800000000192,,,,,,687.0352300447975,,,,,,138.717,0.015
54.91800000000512,,,,,,784.431726628715,,,,,,127.026,0.015
54.93800000000192,,,,,449.17552774739164,,,,,,108.749,,0.015
57.91800000000512,,,,,,873.5538734309789,,,,,,123.458,0.015
59.91800000000512,,,,,544.6666744656101,,,,,,165.343,,0.015
63.91800000000512,,,,,,594.1669426913434,,,,,,184.906,0.015
