relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-294.1529999999984,,,,,,346.27740755200693,,,,,,76.96,0.035
-92.65699999999924,,81.63816531555,,,,,,57.16,,,,,0.035
-78.69700000000012,,88.43003141257019,,,,,,54.344,,,,,0.035
-78.68700000000536,,,,118.3213826449046,,,,,,79.435,,,0.035
-73.68700000000536,,169.70106883098396,,,,,,67.915,,,,,0.035
-65.66700000000128,98.40125385285121,,,,,,64.198,,,,,,0.035
-60.687000000005355,,103.66692532093403,,,,,,47.407,,,,,0.035
-58.766999999999825,,,74.83916146953618,,,,,,71.531,,,,0.035
-28.79699999999866,118.11792330481039,,,,,,47.073,,,,,,0.035
-22.817000000002736,,,,184.59264821573723,,,,,,56.548,,,0.035
-20.85700000000361,,53.48879672921142,,,,,,64.801,,,,,0.035
-10.796999999998661,,147.1411681696839,,,,,,67.794,,,,,0.035
-7.836999999999534,,,93.32652310973465,,,,,,52.379,,,,0.035
-3.927000000003318,,,,,,264.60354010198597,,,,,,73.428,0.035
-1.9320000000006985,,,,,,457.430684830923,,,,,,94.47,0.035
0.0,,,,,,1107.7955811007935,,,,,,91.082,0.035
0.05500000000029104,,,,,778.8896848831815,,,,,,83.864,,0.035
1.9830000000001746,,,,,1251.088692323479,,,,,,74.473,,0.035
2.047999999995227,,,,,,1451.4447826765424,,,,,,92.959,0.035
3.1129999999975553,1556.7817299062576,1426.8012974859457,,,,,110.936,82.525,,,,,0.035
5.061999999998079,,,,,,2818.996599460846,,,,,,183.451,0.035
7.050999999999476,,,,,,2606.5041176479776,,,,,,118.807,0.035
7.068999999995867,,,,,2324.9740795542666,,,,,,84.473,,0.035
9.04200000000128,,,,,,2780.0547465030218,,,,,,131.302,0.035
10.934999999997672,,,,,2463.2245390928424,,,,,,479.099,,0.035
13.953999999997905,,,,,2232.416550102433,,,,,,649.929,,0.035
15.92899999999645,,,,,2227.292261571828,,,,,,230.59,,0.035
15.976999999998952,,,,,,2726.4954700837616,,,,,,188.384,0.035
17.91599999999744,,,,,2104.219208431274,,,,,,168.262,,0.035
17.968999999997322,,,,,,2644.0450872316646,,,,,,168.422,0.035
19.959999999999127,,,,,,2556.929976877109,,,,,,89.602,0.035
21.13300000000163,1968.614070546154,,1840.38219810849,,,,101.959,,141.308,,,,0.035
22.93699999999808,,,,,1711.1181931813453,,,,,,140.389,,0.035
23.093000000000757,1814.7485137779915,,,800.5251549543841,,,76.937,,,98.64,,,0.035
24.932999999997264,,,,,1465.0763318035952,,,,,,95.965,,0.035
24.97599999999511,,,,,,1823.3641037670675,,,,,,95.174,0.035
25.052999999999884,1574.4627749139152,2067.012610344949,,,,,67.046,61.423,,,,,0.035
26.977999999995518,,,,,,1723.8901140232986,,,,,,163.146,0.035
28.87399999999616,,,,,891.9280801912867,,,,,,116.303,,0.035
28.936000000001513,,,,,,1707.5246856436913,,,,,,147.176,0.035
30.913000000000466,,,,,1100.5177882694873,,,,,,142.285,,0.035
30.959999999999127,,,,,,1747.1168279875794,,,,,,93.401,0.035
32.95799999999872,,,,,666.0478346532796,,,,,,103.398,,0.035
33.01199999999517,,,,,,1203.6011272542023,,,,,,137.562,0.035
34.92399999999907,,,,,,1457.2804818811155,,,,,,109.357,0.035
35.02599999999802,,,,,804.8130034021771,,,,,,106.036,,0.035
41.000999999996566,,,,,,1020.0042599461718,,,,,,217.633,0.035
46.93499999999767,,,,,,1022.032892346371,,,,,,143.922,0.035
48.89600000000064,,,,,,852.7097080097423,,,,,,121.23,0.035
50.955000000001746,,,,,,680.2973673348101,,,,,,97.542,0.035
54.9890000000014,,,,,,632.7326996581389,,,,,,108.374,0.035
56.87299999999959,,,,,,594.2968777823643,,,,,,154.426,0.035
60.849999999998545,,,,,,551.7034865041812,,,,,,127.377,0.035
62.88799999999901,,,,,,435.8595603088046,,,,,,93.256,0.035
81.89600000000064,,,,,,421.4021734033847,,,,,,102.639,0.035
