relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-163.50800000000163,53.73653650994182,,,,,,54.393,,,,,,0.081
-159.55799999999726,103.88950127516621,,,,,,51.015,,,,,,0.081
-149.55799999999726,62.91698146239279,,,,,,50.474,,,,,,0.081
-149.5480000000025,,,,71.84813019166641,,,,,,87.661,,,0.081
-147.6180000000022,,,48.25695763959913,,,,,,45.614,,,,0.081
-146.57800000000134,,91.23509711567458,,163.8906550873252,,,,41.108,,89.897,,,0.081
-130.5480000000025,189.5504977025689,,,,,,139.978,,,,,,0.081
-104.78800000000047,72.93499128129382,,,,,,50.696,,,,,,0.081
-81.64800000000105,,184.05033201334962,,,,,,90.437,,,,,0.081
-72.76799999999639,,,52.531388845455346,,,,,,38.226,,,,0.081
-53.84799999999814,,323.3615752089703,,,,,,136.595,,,,,0.081
-49.8379999999961,,187.90078270052325,,,,,,98.955,,,,,0.081
-39.8379999999961,58.77765462632196,,,,,,48.522,,,,,,0.081
-37.8379999999961,,109.79959709546888,,,,,,55.314,,,,,0.081
-23.8179999999993,,,137.49593152936382,,,,,,43.869,,,,0.081
-21.858000000000175,,,,299.9767042792681,,,,,,189.151,,,0.081
-13.817999999999302,,,,231.3908917395006,,,,,,133.416,,,0.081
-9.858000000000175,,,95.93224247969478,,,,,,82.651,,,,0.081
0.0,,,,,,1563.273369306173,,,,,,234.461,0.081
0.04299999999784632,,,,,1163.2131688130244,,,,,,193.298,,0.081
2.0540000000037253,,,,,,2260.0517670085555,,,,,,134.728,0.081
2.0979999999981374,,,,,2484.140681597808,,,,,,247.285,,0.081
4.0129999999990105,,,,,,2890.264457066154,,,,,,242.245,0.081
4.059000000001106,,,,,3570.195628345437,,,,,,265.037,,0.081
4.171999999998661,,3288.151695155835,,1784.680051214511,,,,134.196,,157.31,,,0.081
7.0239999999976135,,,,,,5268.456705441898,,,,,,156.748,0.081
7.061000000001513,,,,,5196.8034383619015,,,,,,307.116,,0.081
7.131999999997788,,,,2526.5733455740865,,,,,,164.328,,,0.081
7.141999999999825,,4439.145850568885,,,,,,118.024,,,,,0.081
9.025999999998021,,,,,,4507.408651467904,,,,,,191.619,0.081
9.080999999998312,,,,,4817.803287403696,,,,,,440.473,,0.081
11.025999999998021,,,,,,5876.864160919337,,,,,,149.126,0.081
13.046999999998661,,,,,,6819.811972359,,,,,,148.842,0.081
142.55200000000332,238.8514794268034,,,,,,55.299,,,,,,0.081
146.53199999999924,179.51020525028812,,,,,,63.273,,,,,,0.081
150.5020000000004,,139.1562565012942,121.1008213746461,,,,,75.318,104.046,,,,0.081
157.53199999999924,,106.3753598176931,,536.5081500158321,,,,101.41,,244.783,,,0.081
165.53199999999924,103.25641233855373,41.03151648938757,,,,,56.208,41.242,,,,,0.081
168.53199999999924,196.784489092143,,,,,,54.82,,,,,,0.081
168.54200000000128,,,76.93054708680604,,,,,,63.046,,,,0.081
174.5219999999972,147.88197328246375,,162.94555629179803,,,,81.519,,92.1,,,,0.081
179.5020000000004,,118.77550619736135,89.84022775380592,,,,,62.341,54.133,,,,0.081
180.5219999999972,,101.7197048201514,,,,,,49.748,,,,,0.081
181.5219999999972,,,172.8351457106828,,,,,,80.99,,,,0.081
182.49199999999837,,287.8187671991293,,,,,,101.561,,,,,0.081
184.51200000000244,,212.1235078567837,,,,,,137.121,,,,,0.081
192.46199999999953,,,,237.86633513902026,,,,,,285.407,,,0.081
192.47200000000157,184.64700761588713,,,,,,127.084,,,,,,0.081
193.5020000000004,190.60564593025637,,,,,,72.946,,,,,,0.081
196.5219999999972,145.22378619457533,,,,,,44.203,,,,,,0.081
199.47200000000157,,157.44105393117115,,,,,,62.909,,,,,0.081
