relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-231.1750000000029,,,,342.9817866428583,,,,,,167.825,,,0.017
-188.27500000000146,48.09951944710144,,,,,,36.227,,,,,,0.017
-181.1949999999997,,,,153.1505409832623,,,,,,86.019,,,0.017
-165.24500000000262,87.74108493104411,,,,,,49.71,,,,,,0.017
-151.27500000000146,57.80325138731415,,,,,,69.379,,,,,,0.017
-108.29499999999825,161.20176504780486,,,,,,76.627,,,,,,0.017
-90.30500000000029,,136.20236548793517,,,,,,117.412,,,,,0.017
0.0,,,,,,1689.2159460013538,,,,,,211.998,0.017
3.9610000000029686,,,,,,2005.719655886638,,,,,,210.449,0.017
3.974999999998545,,,,,2646.0258183838046,,,,,,229.375,,0.017
7.961000000002969,,,,,,2115.580552851691,,,,,,168.643,0.017
7.980999999999767,,,,,2075.9694588101397,,,,,,170.826,,0.017
12.911000000000058,,,,,2162.7061464594462,,,,,,154.515,,0.017
12.976999999998952,,,,,,2344.3403137254995,,,,,,103.939,0.017
14.963999999999942,,,,,,2087.846669532071,,,,,,196.676,0.017
14.989000000001397,,,,,2198.2672100136524,,,,,,136.442,,0.017
17.94000000000233,,,,,,2472.2061380365353,,,,,,130.949,0.017
17.991000000001804,,,,,2090.5733715517267,,,,,,96.11,,0.017
19.983000000000175,,,,,,2494.902796111853,,,,,,208.035,0.017
22.95799999999872,,,,,,2282.4014136249266,,,,,,143.527,0.017
22.991000000001804,,,,,1857.458245278954,,,,,,91.765,,0.017
25.095000000001164,1681.0657151433754,,2043.4845904095978,,,,77.868,,76.955,,,,0.017
34.08499999999913,,2098.665865636622,,,,,,207.771,,,,,0.017
34.095000000001164,,,,1827.3372585237273,,,,,,195.644,,,0.017
34.957000000002154,,,,,1581.6138459835618,,,,,,207.338,,0.017
34.99399999999878,,,,,,2447.3729249238704,,,,,,186.716,0.017
36.9320000000007,,,,,,2481.0724175218784,,,,,,125.703,0.017
37.0,,,,,1547.9991381293603,,,,,,242.093,,0.017
37.07499999999709,,,2167.4027507289084,,,,,,86.835,,,,0.017
37.08499999999913,,1837.2360627368994,,,,,,86.359,,,,,0.017
38.891999999999825,,,,,1405.3833069152622,,,,,,167.302,,0.017
38.95100000000093,,,,,,1985.5506187260398,,,,,,193.81,0.017
40.9429999999993,,,,,1317.0052273200154,,,,,,90.277,,0.017
40.97400000000198,,,,,,2472.9829707956505,,,,,,173.796,0.017
42.940999999998894,,,,,,2310.684272891643,,,,,,153.297,0.017
42.98099999999977,,,,,1327.6133863010045,,,,,,84.372,,0.017
44.93099999999686,,,,,1060.8689805270785,,,,,,174.622,,0.017
45.05500000000029,,1804.7630587213987,,,,,,127.17,,,,,0.017
45.06500000000233,1150.3463035236641,,,,,,131.858,,,,,,0.017
46.93000000000029,,,,,1271.2096634459442,,,,,,85.048,,0.017
46.961999999999534,,,,,,2270.153315129575,,,,,,128.625,0.017
48.97299999999814,,,,,,2142.3330621809423,,,,,,137.976,0.017
50.891999999999825,,,,,1216.7179488373597,,,,,,68.635,,0.017
50.97299999999814,,,,,,1965.2999770327651,,,,,,115.435,0.017
51.06500000000233,796.7454022524688,,1845.7157555074918,,,,110.702,,75.456,,,,0.017
56.025000000001455,,,2136.5056194808417,,,,,,157.243,,,,0.017
58.025000000001455,,1502.2181335392515,,1605.1913275404588,,,,103.283,,196.203,,,0.017
62.01499999999942,,1191.8066114234568,1981.4606132949307,,,,,287.574,212.283,,,,0.017
64.01499999999942,,1444.6588360866763,,1258.9859547448384,,,,210.216,,271.91,,,0.017
68.89299999999639,,,,,788.8496385565621,,,,,,131.609,,0.017
68.93099999999686,,,,,,1902.5969617625854,,,,,,114.062,0.017
70.87099999999919,,,,,937.5709898435097,,,,,,65.786,,0.017
70.91799999999785,,,,,,1926.3014888064138,,,,,,93.91,0.017
72.9409999999989,,,,,,1951.638106503772,,,,,,76.833,0.017
