relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-49.733000000000175,59.39990390257133,,,,,,45.26,,,,,,0.058
-45.75299999999697,,82.34116557647482,,,,,,64.768,,,,,0.058
-41.78299999999581,,,131.0963023859372,,,,,,76.215,,,,0.058
-16.822999999996682,,,,159.50267294849624,,,,,,87.476,,,0.058
-6.8729999999995925,,112.74890938232761,,228.93110743009441,,,,60.465,,115.351,,,0.058
-3.9130000000004657,,,,148.72430898764847,,,,,,104.337,,,0.058
-3.9029999999984284,248.3393493440645,,,,,,67.372,,,,,,0.058
-0.008999999998195563,,,,,,359.7904213293316,,,,,,75.469,0.058
0.0,,,,,487.42881067215677,,,,,,78.965,,0.058
1.9769999999989523,,,,,,749.5670352168988,,,,,,110.538,0.058
1.9940000000060536,,,,,551.6159148551482,,,,,,83.135,,0.058
2.0970000000015716,746.3338110710064,644.5868280395272,,,,,72.313,67.142,,,,,0.058
2.9550000000017462,,,,,,699.361253962195,,,,,,94.595,0.058
3.0010000000038417,,,,,673.1318065084453,,,,,,90.915,,0.058
4.868000000002212,,,,,710.3739679121636,,,,,,112.062,,0.058
4.9210000000020955,,,,,,707.4125149662032,,,,,,107.304,0.058
6.9540000000051805,,,,,946.2402259352881,,,,,,76.387,,0.058
7.086999999999534,946.6441680877757,,,,,,79.239,,,,,,0.058
7.097000000001572,,,698.3422804579175,,,,,,78.063,,,,0.058
8.958000000005995,,,,,765.8182371348249,,,,,,179.012,,0.058
10.955000000001746,,,,,,1179.1208285075215,,,,,,124.869,0.058
10.97500000000582,,,,,828.0577765351233,,,,,,101.12,,0.058
12.953000000001339,,,,,,1372.4327755969466,,,,,,139.007,0.058
17.00800000000163,,,,,,1069.7180409974228,,,,,,274.517,0.058
18.934000000001106,,,,,,997.2554728121959,,,,,,233.847,0.058
20.0370000000039,,656.9930498947682,,,,,,99.379,,,,,0.058
20.047000000005937,,,,381.2969458757241,,,,,,89.029,,,0.058
22.94499999999971,,,,,,896.6220251570081,,,,,,119.274,0.058
23.077000000004773,,803.514452105252,,,,,,77.202,,,,,0.058
23.086999999999534,,,577.8696062800492,,,,,,76.666,,,,0.058
24.911000000000058,,,,,485.69560410863,,,,,,84.23,,0.058
25.047000000005937,614.4674081433352,,,,,,55.129,,,,,,0.058
25.0570000000007,,,447.92297056510284,,,,,,57.374,,,,0.058
27.908000000003085,,,,,,860.8082996491725,,,,,,89.933,0.058
27.96700000000419,,,,,443.777682405556,,,,,,83.939,,0.058
29.89900000000489,,,,,,576.5368534307264,,,,,,103.386,0.058
32.88999999999942,,,,,,743.2981702740444,,,,,,155.829,0.058
33.007000000005064,234.08686816164644,,,,,,60.571,,,,,,0.058
33.016999999999825,,387.967947850794,,,,,,55.124,,,,,0.058
36.927999999999884,,,,,,717.5107273974874,,,,,,144.87,0.058
38.91500000000087,,,,,,495.43417520076787,,,,,,110.289,0.058
40.04700000000594,252.9542304082404,,,,,,65.487,,,,,,0.058
40.0570000000007,,,,360.41609968567036,,,,,,98.629,,,0.058
47.92700000000332,,,,265.69734060133527,,,,,,160.928,,,0.058
52.99700000000303,,207.32312806749684,,341.26720043294927,,,,58.551,,105.174,,,0.058
54.957000000002154,108.11226762364113,,,,,,60.965,,,,,,0.058
54.96700000000419,,,284.76214383655326,,,,,,57.59,,,,0.058
63.92700000000332,155.22605208076573,82.20240121665933,,,,,60.422,60.11,,,,,0.058
79.89700000000448,,91.01451147138958,,,,,,65.119,,,,,0.058
88.87700000000041,,118.51508459846293,,,,,,53.148,,,,,0.058
92.87700000000041,87.90486626740746,41.38962405042553,,,,,40.812,46.943,,,,,0.058
