relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-137.79000000000087,,,121.33620211761364,,,,,,78.326,,,,0.07
-122.90099999999802,,,,,,649.0845953156446,,,,,,152.734,0.07
-122.81999999999971,,58.39207747451426,,,,,,46.254,,,,,0.07
-118.81000000000495,,220.2297066749015,,,,,,106.133,,,,,0.07
-118.80000000000291,,,,235.63279778792543,,,,,,166.501,,,0.07
-104.80000000000291,,,45.330456646748345,,,,,,46.051,,,,0.07
-89.81000000000495,,169.30328294142106,,,,,,113.128,,,,,0.07
-79.80000000000291,112.18939773234239,,,,,,58.707,,,,,,0.07
-64.83000000000175,,,113.98601964373414,,,,,,59.983,,,,0.07
-48.88999999999942,55.960773056904685,,90.80667402203326,,,,30.361,,44.014,,,,0.07
-36.970000000001164,,102.29054619292863,,,,,,77.429,,,,,0.07
-23.959999999999127,,,84.3254062787323,,,,,,65.324,,,,0.07
-13.010000000002037,143.98161602076675,,,,,,78.442,,,,,,0.07
0.0,,1056.961018327624,1072.6181735287219,,,,,89.666,118.684,,,,0.07
2.8139999999984866,,,,,1591.6357971232255,,,,,,155.973,,0.07
2.8519999999989523,,,,,,1685.8516177417393,,,,,,165.842,0.07
2.9399999999950523,,1587.2690081559213,,840.3693200330131,,,,110.806,,146.283,,,0.07
4.792999999997846,,,,,,2077.5528613798115,,,,,,86.738,0.07
5.010000000002037,2209.648244343167,,1626.0547108601952,,,,76.693,,73.797,,,,0.07
7.7960000000020955,,,,,2239.757536457723,,,,,,222.141,,0.07
7.832999999998719,,,,,,2530.8624099659883,,,,,,101.233,0.07
8.930000000000291,2419.731091394168,2173.5894573178243,,,,,72.535,64.943,,,,,0.07
9.826999999997497,,,,,,2264.803800107739,,,,,,104.689,0.07
9.847999999998137,,,,,2304.319260003411,,,,,,89.533,,0.07
11.833999999995285,,,,,,2723.6766914217874,,,,,,156.028,0.07
13.84599999999773,,,,,,2192.8550446693143,,,,,,135.564,0.07
13.873999999996158,,,,,1825.044002896395,,,,,,113.458,,0.07
16.80999999999767,,,,,1740.9025774261338,,,,,,105.571,,0.07
16.856999999996333,,,,,,1958.0756307052598,,,,,,120.6,0.07
18.800999999999476,,,,,,2106.4187350861166,,,,,,114.895,0.07
18.851999999998952,,,,,1756.642983387659,,,,,,135.719,,0.07
24.790000000000873,,,,,826.4025603212983,,,,,,231.666,,0.07
24.879000000000815,,,,,,1127.7035428049203,,,,,,220.441,0.07
30.814999999995052,,,,,,970.9735087363608,,,,,,169.098,0.07
32.77700000000186,,,,,,796.5728755741593,,,,,,116.187,0.07
32.828999999997905,,,,,371.4907962082921,,,,,,90.106,,0.07
34.81399999999849,,,,,,916.1313971013558,,,,,,115.312,0.07
36.81199999999808,,,,,,1082.7115962052223,,,,,,94.127,0.07
38.81399999999849,,,,,,1000.1289811052126,,,,,,176.151,0.07
44.867999999994936,,,,,,632.954711913534,,,,,,139.085,0.07
46.74899999999616,,,,,,790.2042453372759,,,,,,86.272,0.07
