relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
0.0,,,,,,3722.383798863565,,,,,,204.408,0.035
0.059000000001105946,,,,,3092.3892238773915,,,,,,208.503,,0.035
6.057999999997264,,,,,3385.6019040238416,,,,,,116.985,,0.035
8.059000000001106,,,,,3383.863403083494,,,,,,129.9,,0.035
8.102999999995518,,,,,,4973.590166442443,,,,,,143.6,0.035
11.023000000001048,,,,,,5188.539547495552,,,,,,147.408,0.035
11.074000000000524,,,,,3010.2670436052817,,,,,,116.756,,0.035
13.065000000002328,,,,,,4702.385681913808,,,,,,148.702,0.035
14.997999999999593,,,,,2949.772423126363,,,,,,124.768,,0.035
15.078999999997905,,,,,,4744.164239177911,,,,,,162.983,0.035
17.188999999998487,3210.1179268282663,,,4635.913917209205,,,74.237,,,130.894,,,0.035
18.015999999995984,,,,,2214.6742847280825,,,,,,322.539,,0.035
20.169000000001688,,4707.054300727392,5060.709030733966,,,,,100.825,90.07,,,,0.035
23.148999999997613,,,4810.6374884924235,,,,,,172.511,,,,0.035
23.15899999999965,,4732.439348313104,,,,,,253.846,,,,,0.035
25.208999999995285,,4775.032701444169,,5306.968065641907,,,,150.883,,170.894,,,0.035
27.040000000000873,,,,,2304.0784058533895,,,,,,471.871,,0.035
29.957000000002154,,,,,2436.585622747683,,,,,,188.613,,0.035
30.01799999999639,,,,,,4896.140362456837,,,,,,155.998,0.035
31.989000000001397,,,,,1519.8038201812121,,,,,,361.446,,0.035
32.17899999999645,2232.840596289957,,,4834.182038211969,,,74.407,,,163.438,,,0.035
33.97299999999814,,,,,,4576.711904721466,,,,,,117.475,0.035
33.99699999999575,,,,,1909.2443190851632,,,,,,80.262,,0.035
34.129000000000815,2086.9118391911566,,4771.778100297809,,,,68.11,,97.04,,,,0.035
35.99199999999837,,,,,,4241.360936680532,,,,,,153.248,0.035
36.038000000000466,,,,,1852.543778734647,,,,,,103.848,,0.035
38.0,,,,,1811.4224220138397,,,,,,101.283,,0.035
38.03199999999924,,,,,,4801.722175461564,,,,,,138.317,0.035
39.979999999995925,,,,,1977.407455267226,,,,,,89.15,,0.035
40.06300000000192,,,,,,4378.636237166013,,,,,,116.025,0.035
42.03600000000006,,,,,1927.224393145295,,,,,,84.459,,0.035
42.04699999999866,,,,,,4767.209503244174,,,,,,125.212,0.035
43.99899999999616,,,,,1637.042416387046,,,,,,76.53,,0.035
44.021999999997206,,,,,,4578.042912979597,,,,,,91.147,0.035
59.90899999999965,,,,,1554.1601170279637,,,,,,107.226,,0.035
59.98199999999633,,,,,,3836.7873960548004,,,,,,122.315,0.035
61.913000000000466,,,,,1363.68513267673,,,,,,119.249,,0.035
61.953999999997905,,,,,,4133.082682319899,,,,,,147.771,0.035
63.890999999995984,,,,,1280.6855578013722,,,,,,85.699,,0.035
63.91399999999703,,,,,,4392.975287181422,,,,,,99.373,0.035
64.04899999999907,,3837.079577830477,,,,,,76.408,,,,,0.035
64.0590000000011,1705.8870053262044,,,,,,57.101,,,,,,0.035
65.89600000000064,,,,,1489.296983567772,,,,,,78.159,,0.035
65.99699999999575,,,,,,4130.487159865644,,,,,,91.413,0.035
67.85599999999977,,,,,,4224.5221607408785,,,,,,100.992,0.035
67.91300000000047,,,,,1451.787278394494,,,,,,84.025,,0.035
71.88999999999942,,,,,,3710.6402713024113,,,,,,182.354,0.035
71.9890000000014,,,,,1334.586688143009,,,,,,119.611,,0.035
74.01900000000023,,,4351.317117695529,,,,,,89.818,,,,0.035
74.02900000000227,1556.989676080855,,,,,,65.213,,,,,,0.035
74.83399999999529,,,,,,3282.417384962357,,,,,,237.924,0.035
76.89400000000023,,,,,,3893.5203551623717,,,,,,114.079,0.035
77.01399999999558,,,,,1236.5769330687622,,,,,,97.737,,0.035
78.89299999999639,,,,,1238.29914574296,,,,,,176.551,,0.035
78.95300000000134,,,,,,3445.658053152388,,,,,,174.984,0.035
79.06899999999587,,3376.426391987402,4118.1427178546655,,,,,100.23,132.831,,,,0.035
80.87199999999575,,,,,1341.9066349505551,,,,,,206.611,,0.035
84.92199999999866,,,,,1544.9496454626758,,,,,,449.118,,0.035
86.80799999999726,,,,,1001.8163248260953,,,,,,128.429,,0.035
86.89299999999639,,,,,,3510.0795290567153,,,,,,164.292,0.035
89.79000000000087,,,,,,3173.648877771675,,,,,,151.058,0.035
89.85499999999593,,,,,1030.6074640717975,,,,,,134.587,,0.035
90.10899999999674,1441.6424950483824,,3666.6480115239124,,,,372.189,,437.509,,,,0.035
92.94000000000233,,,,,594.4239848566714,,,,,,148.781,,0.035
99.89899999999761,885.0605083213219,,,,,,90.258,,,,,,0.035
99.92899999999645,,2100.145359972888,,,,,,93.34,,,,,0.035
102.85100000000239,,,,,,1980.4873182524982,,,,,,95.487,0.035
104.8289999999979,,,,,,1888.6004136854742,,,,,,135.961,0.035
104.91900000000169,,,,2205.597083088542,,,,,,179.811,,,0.035
107.83099999999831,,,,,,1463.0553221136827,,,,,,238.502,0.035
112.93899999999849,,528.3220260548702,,885.5151961218237,,,,270.129,,620.028,,,0.035
113.86200000000099,,,,,,1070.9432195151744,,,,,,221.066,0.035
115.7699999999968,,,,,,787.2615187073147,,,,,,124.416,0.035
115.90899999999965,,,,1397.1491365793656,,,,,,189.382,,,0.035
115.91900000000169,,681.3557055913116,,,,,,68.228,,,,,0.035
116.85899999999674,,,903.3019290093799,,,,,,71.227,,,,0.035
116.86899999999878,,776.3049726210759,,,,,,62.026,,,,,0.035
117.95899999999529,,791.1671353918302,,1285.1922215874165,,,,92.833,,153.176,,,0.035
118.83099999999831,,,,,,739.5537197446295,,,,,,84.581,0.035
120.83299999999872,,,,,,603.3299270532514,,,,,,99.323,0.035
123.85899999999674,156.69474877606285,,,,,,166.279,,,,,,0.035
123.86899999999878,,,666.9768541511781,,,,,,125.563,,,,0.035
126.77500000000146,,,,,,551.0509430821172,,,,,,99.603,0.035
126.8090000000011,,,,,232.8309916461666,,,,,,71.203,,0.035
128.77500000000146,,,,,,601.17732267304,,,,,,78.333,0.035
129.92899999999645,155.74718863992456,,877.9615303122381,,,,54.441,,69.665,,,,0.035
131.86899999999878,150.19333972811052,619.1416473304572,,,,,60.988,62.113,,,,,0.035
132.8090000000011,,,,,,785.5270380051444,,,,,,102.11,0.035
133.86899999999878,128.55007706934109,,,,,,56.378,,,,,,0.035
134.8269999999975,,,,,,594.4242308163768,,,,,,148.139,0.035
140.8309999999983,,,,,,1034.5867458496039,,,,,,224.59,0.035
146.79499999999825,,,,,,809.1651135394659,,,,,,127.483,0.035
149.78600000000006,,,,,,552.9409522683028,,,,,,99.437,0.035
155.81300000000192,,,,,,709.7069020476983,,,,,,126.157,0.035
