relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-67.79000000000087,43.858010304765756,,72.99344438312617,,,,55.353,,75.006,,,,0.009
-60.81000000000495,,,87.74633617749465,,,,,,91.408,,,,0.009
-52.78000000000611,,80.54095574070881,,,,,,108.243,,,,,0.009
-28.970000000001164,,,,227.62156694298386,,,,,,151.477,,,0.009
-14.950000000004366,135.80432608808104,,,,,,108.248,,,,,,0.009
0.0,,1055.0418813487208,764.1790720265351,,,,,192.034,140.294,,,,0.009
2.8629999999975553,,,,,,2004.2063715115687,,,,,,226.327,0.009
2.889999999999418,,,,,1545.464672241068,,,,,,262.054,,0.009
4.924999999995634,,,,,1791.2299838317401,,,,,,294.096,,0.009
5.019999999996799,,1721.9300248011111,1216.1175522129538,,,,,98.026,111.203,,,,0.009
6.849999999998545,,,,,,2016.2644913972426,,,,,,133.5,0.009
6.8989999999976135,,,,,1506.2383169471805,,,,,,160.724,,0.009
6.959999999999127,,1765.0550399502133,,1620.09132393067,,,,82.865,,131.512,,,0.009
8.989999999997963,,,1712.1745233118022,,,,,,73.097,,,,0.009
9.0,1881.9619689555586,,,,,,84.26,,,,,,0.009
11.822000000000116,,,,,1548.2061454628365,,,,,,149.555,,0.009
11.877999999996973,,,,,,1853.4185150228159,,,,,,142.342,0.009
13.841999999996915,,,,,,1469.2519509682886,,,,,,309.336,0.009
15.836999999999534,,,,,,1343.6466214279794,,,,,,311.769,0.009
15.890999999995984,,,,,1393.528426633291,,,,,,186.241,,0.009
15.959999999999127,3910.188068143877,1325.000717120662,,,,,1401.061,192.039,,,,,0.009
17.79899999999907,,,,,1479.4507324784404,,,,,,389.289,,0.009
17.840999999993073,,,,,,1900.0855942416886,,,,,,116.933,0.009
20.79899999999907,,,,,,1959.8152069927457,,,,,,152.881,0.009
20.891999999999825,,,,,1386.487824950113,,,,,,211.568,,0.009
22.79899999999907,,,,,,1389.7898380878921,,,,,,139.798,0.009
22.85899999999674,,,,,1039.0040512644227,,,,,,142.719,,0.009
32.758999999998196,,,,,,1577.9936497474225,,,,,,326.551,0.009
33.820999999996275,,,,,,1593.1526647409573,,,,,,156.003,0.009
35.870999999999185,,,,,,1136.1011441073101,,,,,,191.477,0.009
37.81999999999971,,,,,,1186.4466047195122,,,,,,144.207,0.009
39.799999999995634,,,,,,1124.4885136418548,,,,,,127.733,0.009
41.85699999999633,,,,,,964.3051615336393,,,,,,162.901,0.009
43.8179999999993,,,,,562.0316314474101,,,,,,170.517,,0.009
43.82499999999709,,,,,,808.5251423521174,,,,,,237.478,0.009
45.81399999999849,,,,,,1006.7225604267735,,,,,,145.154,0.009
47.8579999999929,,,,,,1118.5878412749835,,,,,,206.127,0.009
49.75999999999476,,,,,,888.9287641229288,,,,,,104.907,0.009
49.779999999998836,,,,,404.71764496310146,,,,,,120.685,,0.009
65.77599999999802,,,,,,787.9346625986541,,,,,,182.139,0.009
70.73799999999756,,,,,,853.9279390960193,,,,,,117.005,0.009
73.75699999999779,,,,,,757.1175194648582,,,,,,133.347,0.009
79.71899999999732,,,,,,1160.2008842705013,,,,,,252.646,0.009
