relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-70.86000000000058,254.92730631609206,393.63283343853084,,,,,281.43,201.322,,,,,0.046
-63.86999999999534,,152.34728161415188,,,,,,92.313,,,,,0.046
-58.88999999999942,,144.14817683617915,,,,,,119.482,,,,,0.046
-50.86000000000058,195.52348570828852,,,209.65967716293295,,,80.627,,,152.748,,,0.046
-38.900000000001455,161.5023152353454,,,,,,77.28,,,,,,0.046
-36.88999999999942,119.81748984044232,,,,,,71.519,,,,,,0.046
-29.959999999999127,,126.03434222879929,,,,,,112.532,,,,,0.046
-11.970000000001164,,,196.34080785770615,,,,,,91.034,,,,0.046
-6.059999999997672,,360.8274961977176,,,,,,162.238,,,,,0.046
-1.9899999999979627,,307.78023583543205,249.54904109157889,,,,,152.476,119.369,,,,0.046
0.0,,668.0247093548519,,430.80322127170825,,,,114.023,,121.379,,,0.046
2.9400000000023283,,1353.5891487677084,,,,,,193.695,,,,,0.046
2.9500000000043656,,,845.8910641982345,,,,,,115.605,,,,0.046
3.8550000000032014,,,,,,1179.2376499997729,,,,,,212.616,0.046
3.9180000000051223,,,,,1241.6123097374664,,,,,,201.176,,0.046
5.0,,1666.260978317042,1086.3315111108477,,,,,74.5,90.218,,,,0.046
5.866000000001804,,,,,1734.5332280241405,,,,,,164.577,,0.046
6.92000000000553,2242.3653731258255,,,,,,82.554,,,,,,0.046
6.930000000000291,,,,1237.27133466445,,,,,,189.622,,,0.046
8.859000000004016,,,,,1984.7597045692646,,,,,,106.891,,0.046
8.940000000002328,2360.5689709376625,,1309.6795282615042,,,,69.993,,104.965,,,,0.046
13.845000000001164,,,,,2257.4697340359608,,,,,,119.575,,0.046
13.930000000000291,,,,,,1859.1181651274228,,,,,,191.827,0.046
15.860000000000582,,,,,2167.4274283452414,,,,,,295.786,,0.046
15.930000000000291,2124.0381679765374,2371.065166113723,,,,,95.791,93.694,,,,,0.046
18.827000000004773,,,,,1926.6274176091767,,,,,,178.138,,0.046
18.931000000004133,,,,,,1668.6880568156098,,,,,,234.484,0.046
20.802999999999884,,,,,2034.198781956534,,,,,,135.165,,0.046
20.84100000000035,,,,,,1656.6153290390084,,,,,,171.949,0.046
23.94000000000233,,2016.3945231707633,1006.2569343041368,,,,,112.659,81.099,,,,0.046
25.889999999999418,,1728.9520803427183,,,,,,199.885,,,,,0.046
31.804000000003725,,,,,,1126.2121981757052,,,,,,203.486,0.046
32.7609999999986,,,,,1224.4409642295109,,,,,,247.774,,0.046
32.83400000000256,,,,,,1081.7348975979369,,,,,,184.559,0.046
33.93000000000029,,1448.1436106667766,,655.9931265141981,,,,102.881,,116.857,,,0.046
34.783000000003085,,,,,788.1679904915679,,,,,,142.442,,0.046
34.825000000004366,,,,,,991.0987504682823,,,,,,170.316,0.046
35.78399999999965,,,,,,1148.6749375766587,,,,,,153.561,0.046
35.8440000000046,,,,,625.8587137974806,,,,,,175.541,,0.046
35.900000000001455,604.4025647126032,,,623.1438761624812,,,69.304,,,138.205,,,0.046
37.804000000003725,,,,,411.4670712778818,,,,,,106.645,,0.046
38.80200000000332,,,,,,753.4975915213456,,,,,,165.298,0.046
38.824000000000524,,,,,436.04229890374575,,,,,,120.613,,0.046
39.76800000000367,,,,,,899.1648757914481,,,,,,127.323,0.046
39.825000000004366,,,,,637.9585560666335,,,,,,165.353,,0.046
40.78199999999924,,,,,,858.3279993789416,,,,,,159.627,0.046
40.900000000001455,462.77304423989347,1201.240752387441,,,,,93.151,92.343,,,,,0.046
41.76400000000285,,,,,,1014.1103034126327,,,,,,144.149,0.046
44.900000000001455,398.876213526443,,573.3516540018356,,,,67.242,,96.025,,,,0.046
45.741000000001804,,,,,,960.077328217851,,,,,,125.461,0.046
47.802999999999884,,,,,,527.8837373474536,,,,,,132.232,0.046
48.74399999999878,,,,,,754.704045174314,,,,,,128.87,0.046
52.900000000001455,,,667.7414387193621,,,,,,186.534,,,,0.046
52.91000000000349,,311.24269938952904,,,,,,89.273,,,,,0.046
57.88000000000466,,283.0892811478293,454.5606758134397,,,,,239.95,244.812,,,,0.046
59.86000000000058,,586.0191696156259,,521.4457591588331,,,,114.937,,179.201,,,0.046
61.849999999998545,,738.4801573735375,,,,,,115.657,,,,,0.046
61.86000000000058,,,,350.95311052637607,,,,,,139.148,,,0.046
105.6840000000011,,,,,465.3937214057922,,,,,,117.274,,0.046
