relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-298.3680000000022,,,,,,439.5390852166776,,,,,,100.659,0.038
-296.2169999999969,,,,,220.31163697952115,,,,,,57.868,,0.038
-265.2900000000009,135.6840158400371,,,,,,83.077,,,,,,0.038
-219.30999999999767,,,194.03023965139752,,,,,,94.061,,,,0.038
-176.33000000000175,,178.95558612574868,,,,,,202.951,,,,,0.038
-171.36000000000058,,,127.26873204355302,,,,,,70.39,,,,0.038
-1.161999999996624,,,,,524.801634104276,,,,,,119.698,,0.038
0.0,1001.3741046522911,,,,,,57.376,,,,,,0.038
0.010000000002037268,,624.6325968923571,,,,,,48.207,,,,,0.038
0.8459999999977299,,,,,,895.5541255219773,,,,,,124.646,0.038
0.885999999998603,,,,,1254.144380580676,,,,,,120.294,,0.038
3.8430000000007567,,,,,,1270.5990125265105,,,,,,141.82,0.038
3.8850000000020373,,,,,1189.8812151948425,,,,,,88.597,,0.038
5.883999999998196,,,,,,1178.2220784325293,,,,,,199.013,0.038
8.86200000000099,,,,,,1065.861074693738,,,,,,129.322,0.038
8.902000000001863,,,,,1061.512360017342,,,,,,86.92,,0.038
12.94999999999709,,,,1005.0174427847052,,,,,,84.399,,,0.038
17.919999999998254,,820.8007100526464,,929.2001525885959,,,,81.212,,99.516,,,0.038
26.7870000000039,,,,,,1212.4879659540907,,,,,,139.644,0.038
26.822000000000116,,,,,789.19222090353,,,,,,153.31,,0.038
28.75800000000163,,,,,851.0571642198797,,,,,,91.473,,0.038
28.824000000000524,,,,,,1286.5010988269732,,,,,,112.338,0.038
30.773999999997613,,,,,,1203.8275572184957,,,,,,126.522,0.038
30.802000000003318,,,,,601.5174008148741,,,,,,121.505,,0.038
32.82100000000355,,,,,733.6394243199934,,,,,,87.635,,0.038
34.796000000002095,,,,,,1146.1594371512228,,,,,,153.088,0.038
36.01000000000204,,,1251.531964508322,,,,,,73.694,,,,0.038
36.779999999998836,,,,,657.2484510223622,,,,,,79.516,,0.038
36.82499999999709,,,,,,1177.4956334189467,,,,,,70.838,0.038
39.81199999999808,,,,,915.5499815138713,,,,,,125.329,,0.038
44.0,,1027.7371814034677,,,,,,77.014,,,,,0.038
54.73999999999796,,,,,,1406.49660697967,,,,,,259.034,0.038
54.78100000000268,,,,,546.8350943213097,,,,,,144.858,,0.038
56.7609999999986,,,,,385.73974865071045,,,,,,88.551,,0.038
56.80200000000332,,,,,,1090.7947626364225,,,,,,83.693,0.038
58.71100000000297,,,,,,975.4767405586434,,,,,,81.334,0.038
58.737999999997555,,,,,421.4298423395685,,,,,,81.617,,0.038
60.737999999997555,,,,,526.641036530574,,,,,,52.548,,0.038
60.7609999999986,,,,,,965.1129435153374,,,,,,68.797,0.038
66.80999999999767,438.4230439527858,,1127.0842315377981,,,,65.218,,68.063,,,,0.038
67.69800000000396,,,,,,1083.4585789020762,,,,,,90.535,0.038
67.7719999999972,,,,,504.89409440848084,,,,,,90.555,,0.038
69.71399999999994,,,,,375.79800818847826,,,,,,71.82,,0.038
71.71899999999732,,,,,,1067.583819686764,,,,,,152.657,0.038
73.71199999999953,,,,,,951.6497995645518,,,,,,104.071,0.038
73.79400000000169,,,,,452.6832798789077,,,,,,110.504,,0.038
75.68100000000413,,,,,,892.3374998740605,,,,,,193.962,0.038
81.60800000000017,,,,,391.1945282597319,,,,,,114.809,,0.038
81.72699999999895,,,,,,920.7588070590704,,,,,,120.898,0.038
85.65600000000268,,,,,,973.1402747782804,,,,,,70.285,0.038
85.71899999999732,,,,,409.91553309670826,,,,,,92.868,,0.038
95.65600000000268,,,,,211.5695543422883,,,,,,63.211,,0.038
95.70100000000093,,,,,,814.3949598822536,,,,,,76.505,0.038
97.69800000000396,,,,,,761.8347274810178,,,,,,73.213,0.038
97.75,,,871.559417775132,,,,,,81.514,,,,0.038
102.61699999999837,,,,,,720.5207292477378,,,,,,161.349,0.038
112.61499999999796,,,,,,291.0004366243417,,,,,,79.246,0.038
115.70999999999913,162.97227537676514,,242.6037831599892,,,,62.077,,76.004,,,,0.038
116.76000000000204,106.84940267364304,,,,,,59.013,,,,,,0.038
122.55299999999988,,,,,,353.5259460771062,,,,,,70.373,0.038
122.66999999999825,,114.66485597805072,,,,,,91.598,,,,,0.038
138.77999999999884,,,276.3574644928838,,,,,,80.4,,,,0.038
145.6140000000014,,,,,,260.4908846824186,,,,,,69.378,0.038
149.58699999999953,,,,,,250.47095346058902,,,,,,70.831,0.038
153.6600000000035,,,347.42954416913716,,,,,,67.965,,,,0.038
163.62000000000262,,,210.3557032262983,,,,,,88.576,,,,0.038
165.62999999999738,,,,92.72950261060163,,,,,,115.834,,,0.038
166.62000000000262,,103.53660446725422,,,,,,105.456,,,,,0.038
168.6800000000003,,77.11671549755434,,231.52660737380086,,,,67.787,,121.129,,,0.038
171.62999999999738,,,208.51564246729978,,,,,,50.474,,,,0.038
172.5550000000003,,,,,,410.79554615260196,,,,,,98.341,0.038
173.62999999999738,61.430657738870096,,,242.45052675704335,,,36.133,,,73.038,,,0.038
175.62000000000262,,,225.7707534639942,,,,,,53.847,,,,0.038
175.62999999999738,54.98184083982225,,,,,,44.033,,,,,,0.038
178.62999999999738,53.059684676074355,,,,,,44.59,,,,,,0.038
191.62999999999738,,283.21744673687965,,,,,,202.275,,,,,0.038
193.63999999999942,,,158.2345396713216,,,,,,67.471,,,,0.038
195.62999999999738,,,,325.03480935974886,,,,,,168.377,,,0.038
