relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-16.72099999999773,,,,186.50395534269575,,,,,,234.363,,,0.041
-5.0129999999990105,,,,,256.8061985208829,,,,,,58.582,,0.041
-4.875,,,,,,430.97613804992756,,,,,,80.916,0.041
-4.730999999999767,,197.84503175992447,,,,,,39.11,,,,,0.041
0.0,,,,,618.4855559502072,,,,,,72.027,,0.041
0.0610000000015134,,,,,,771.6238096530684,,,,,,87.312,0.041
1.993000000002212,,,,,,1226.5998814219452,,,,,,115.453,0.041
2.0570000000006985,,,,,911.8702664725399,,,,,,131.822,,0.041
5.02100000000064,,,,,1146.3789142156745,,,,,,77.748,,0.041
5.080000000001746,,,,,,1368.5667998991155,,,,,,103.332,0.041
7.01600000000326,,,,,1366.0768604444775,,,,,,66.693,,0.041
8.109000000004016,,,1236.5801543786188,,,,,,50.985,,,,0.041
10.15899999999965,,1388.1133965946003,,410.83964751086035,,,,55.322,,127.419,,,0.041
11.89100000000326,,,,,1060.5675951205922,,,,,,172.708,,0.041
11.989999999997963,,,,,,1447.8403191648115,,,,,,132.048,0.041
17.96600000000035,,,,,,1277.24327317016,,,,,,155.755,0.041
19.118999999998778,,1225.4515868982387,867.1809472666074,,,,,78.243,64.741,,,,0.041
19.874000000003434,,,,,643.5033947068669,,,,,,80.039,,0.041
20.0370000000039,,,,,,1122.8835403348319,,,,,,104.081,0.041
20.148999999997613,,1021.7445209261332,,,,,,59.076,,,,,0.041
21.04899999999907,,,,179.87824324645507,,,,,,97.289,,,0.041
21.931000000004133,,,,,,982.0221165757704,,,,,,95.978,0.041
21.980999999999767,,,,,504.0396265507953,,,,,,100.421,,0.041
22.069000000003143,,,674.0947690797511,,,,,,61.037,,,,0.041
23.97099999999773,,,,,,985.6250400483174,,,,,,88.305,0.041
24.01299999999901,,,,,631.4438184440819,,,,,,71.106,,0.041
25.93800000000192,,,,,,943.7554341638047,,,,,,89.195,0.041
26.061000000001513,,,,,418.4199390785189,,,,,,87.177,,0.041
27.895000000004075,,,,,,868.4333970590919,,,,,,95.733,0.041
27.93499999999767,,,,,312.4861982576517,,,,,,74.229,,0.041
28.078999999997905,,780.4283356276901,,,,,,55.849,,,,,0.041
29.910000000003492,,,,,453.7737708238759,,,,,,62.977,,0.041
29.955000000001746,,,,,,955.8226970076802,,,,,,77.286,0.041
31.881000000001222,,,,,,696.9689805988273,,,,,,88.54,0.041
31.93800000000192,,,,,328.59757187849925,,,,,,72.295,,0.041
33.91000000000349,,,,,304.825338670078,,,,,,60.856,,0.041
33.93100000000413,,,,,,662.5076847919656,,,,,,69.71,0.041
46.11899999999878,,,,287.6894349778911,,,,,,258.232,,,0.041
46.129000000000815,,510.9025566368751,,,,,,236.885,,,,,0.041
47.97899999999936,,216.18358118596618,,212.3740704421983,,,,80.191,,118.091,,,0.041
51.85599999999977,,,,,,334.7106703126507,,,,,,91.528,0.041
53.9890000000014,,217.13873692021937,,,,,,51.029,,,,,0.041
54.00200000000041,,,,,,287.38261236005525,,,,,,67.178,0.041
55.81500000000233,,,,,,271.15795314651666,,,,,,73.926,0.041
59.078999999997905,,,128.29445118286856,,,,,,63.938,,,,0.041
