relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-257.95300000000134,,,,119.38094855091192,,,,,,138.033,,,0.128
-253.00300000000425,,364.82644441244275,,284.5061660906695,,,,145.031,,246.604,,,0.128
-228.06300000000192,155.91001289375703,,,,,,85.115,,,,,,0.128
-225.1030000000028,,,94.48739513598042,,,,,,80.651,,,,0.128
-215.09300000000076,82.17235511954368,,,,,,54.257,,,,,,0.128
-212.09300000000076,52.69232110694639,,,,,,46.208,,,,,,0.128
-210.07300000000396,46.32489140188974,,,,,,37.288,,,,,,0.128
-208.1730000000025,,,84.89274797001488,,,,,,53.041,,,,0.128
-187.262999999999,,,141.3378797076589,,,,,,107.642,,,,0.128
-183.27300000000105,,,92.1806289096048,,,,,,66.398,,,,0.128
-180.2430000000022,,167.7488619630711,,,,,,124.85,,,,,0.128
-176.28300000000309,95.65406864005259,,,,,,35.592,,,,,,0.128
-172.25300000000425,130.43876049219492,,,,,,79.776,,,,,,0.128
-160.23300000000017,,,87.52333666394132,,,,,,55.357,,,,0.128
-127.28300000000309,,,65.02330142824731,,,,,,70.599,,,,0.128
-124.28300000000309,,,,117.6466930463807,,,,,,85.741,,,0.128
-101.29300000000512,,152.61704437213206,,,,,,83.657,,,,,0.128
-94.31300000000192,134.9229523172396,,,,,,77.735,,,,,,0.128
0.0,,,,,,2831.650417976065,,,,,,312.918,0.128
1.0009999999965657,,,,,,3517.762096953172,,,,,,324.531,0.128
3.0,,,,,,5247.244376318096,,,,,,283.81,0.128
4.000999999996566,,,,,,5543.697321078419,,,,,,330.224,0.128
5.000999999996566,,,,,,6294.80683701591,,,,,,316.174,0.128
6.00800000000163,,,,,,8256.888585011615,,,,,,177.872,0.128
8.008999999998196,,,,,,9517.141113525426,,,,,,346.46,0.128
17.947000000000116,,,,,,14206.197556787636,,,,,,304.759,0.128
24.95300000000134,,,,,,14247.16846187883,,,,,,210.509,0.128
29.93499999999767,,,,,,11744.860135735124,,,,,,138.624,0.128
29.95499999999447,,,,,4002.362838183526,,,,,,93.783,,0.128
32.932999999997264,,,,,,10373.644868309837,,,,,,134.081,0.128
32.98500000000058,,,,,2776.6094487970436,,,,,,102.786,,0.128
49.879000000000815,,,,,,6502.855971936061,,,,,,333.092,0.128
49.93600000000151,,,,,1811.3523424022226,,,,,,178.779,,0.128
52.919999999998254,,,,,,5020.462720463324,,,,,,180.19,0.128
52.961999999999534,,,,,1429.9708293958288,,,,,,138.168,,0.128
54.93999999999505,,,,,,5177.077559041951,,,,,,113.839,0.128
56.86099999999715,,,,,,4303.013517624606,,,,,,110.87,0.128
56.96600000000035,,,,,1266.296269403164,,,,,,71.416,,0.128
63.92099999999482,,,,,,4321.338776179644,,,,,,111.563,0.128
63.95999999999913,,,,,1251.8835763003844,,,,,,113.342,,0.128
66.85899999999674,,,,,879.2148289078434,,,,,,127.891,,0.128
70.83199999999488,,,,,,3809.4997795620593,,,,,,149.426,0.128
70.89800000000105,,,,,1485.260261203875,,,,,,158.155,,0.128
72.8949999999968,,,,,,3124.0137051528277,,,,,,278.637,0.128
74.89899999999761,,,,,,3193.623053012054,,,,,,310.792,0.128
76.85899999999674,,,,,,3504.9449459425205,,,,,,249.386,0.128
79.91399999999703,,,,,,3541.4622898029997,,,,,,149.921,0.128
79.9429999999993,,,,,1112.7766904928571,,,,,,147.723,,0.128
91.83299999999872,,,,,,2812.4471450893802,,,,,,83.171,0.128
91.85599999999977,,,,,782.8391519300335,,,,,,78.072,,0.128
93.83299999999872,,,,,,2319.916721137231,,,,,,81.905,0.128
93.87599999999657,,,,,906.4209328910327,,,,,,87.49,,0.128
96.76900000000023,,,,,1037.0759224243707,,,,,,209.019,,0.128
96.8269999999975,,,,,,2343.8321591230356,,,,,,149.135,0.128
