relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-159.75,,,162.68734793135516,,,,,,105.009,,,,0.067
-112.75,,,50.36320826478761,,,,,,59.034,,,,0.067
-101.75,89.04815046103496,,,,,,44.311,,,,,,0.067
-78.81999999999971,50.06534937776267,,,,,,54.707,,,,,,0.067
-78.80999999999767,,,45.93790917675322,,,,,,48.186,,,,0.067
-73.79999999999563,215.8882909470629,,,,,,129.084,,,,,,0.067
-38.93000000000029,70.90954630545879,,,,,,72.536,,,,,,0.067
-31.939999999995052,,240.632459950142,154.22341546173388,,,,,158.595,141.561,,,,0.067
-29.970000000001164,,98.92084675615996,,,,,,62.198,,,,,0.067
-22.989999999997963,121.98183150456062,,,,,,44.997,,,,,,0.067
-12.970000000001164,57.1639342052156,,,,,,51.259,,,,,,0.067
-3.9899999999979627,,,,369.74576144328796,,,,,,131.276,,,0.067
0.0,,,695.9274578278759,,,,,,91.581,,,,0.067
1.8470000000015716,,,,,712.1440788970376,,,,,,112.099,,0.067
3.805000000000291,,,,,,1164.0528454902794,,,,,,84.528,0.067
5.959999999999127,1443.371826754366,,1136.4622165471742,,,,95.392,,111.128,,,,0.067
6.819999999999709,,,,,1057.789728620324,,,,,,100.056,,0.067
7.959999999999127,1296.317918724437,,1240.2471138536205,,,,63.28,,65.959,,,,0.067
8.757000000005064,,,,,,1451.1422804011568,,,,,,97.553,0.067
8.830000000001746,,,,,1114.3334275535803,,,,,,77.259,,0.067
10.79200000000128,,,,,1685.183241108465,,,,,,416.599,,0.067
12.789000000004307,,,,,,1592.8835190567565,,,,,,201.898,0.067
12.822000000000116,,,,,875.7663905120916,,,,,,118.077,,0.067
15.794000000001688,,,,,,1273.2610615572169,,,,,,103.962,0.067
15.822000000000116,,,,,564.3586395361659,,,,,,107.875,,0.067
17.79899999999907,,,,,,1307.832034047963,,,,,,140.374,0.067
17.864999999997963,,,,,682.6223505947343,,,,,,156.889,,0.067
24.78399999999965,,,,,,847.4841697995995,,,,,,155.429,0.067
31.809000000001106,,,,,,515.3750260400376,,,,,,113.353,0.067
33.770000000004075,,,,,,621.4842004606849,,,,,,106.375,0.067
37.75800000000163,,,,,,530.5094127897504,,,,,,103.157,0.067
