relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-111.76000000000204,87.45636234059096,,,,,,53.136,,,,,,0.095
-88.76000000000204,135.87093212014761,,,,,,70.899,,,,,,0.095
-86.77000000000407,50.12320618926384,,137.05805631949465,,,,49.201,,63.065,,,,0.095
-61.88000000000466,,,79.02792077912302,,,,,,74.114,,,,0.095
-59.81000000000495,92.55068102516003,,,,,,66.932,,,,,,0.095
-53.91000000000349,198.66194667494952,172.51226797668755,,,,,167.611,148.726,,,,,0.095
-51.88999999999942,66.46513223644716,,,,,,49.157,,,,,,0.095
-43.950000000004366,,80.00719497203791,,,,,,71.767,,,,,0.095
-43.94000000000233,,,,99.08618870908482,,,,,,108.792,,,0.095
-4.030000000006112,,361.564888054216,,,,,,85.566,,,,,0.095
0.0,668.5163568153688,,,546.6620226873752,,,58.528,,,105.649,,,0.095
1.8829999999943539,,,,,,757.0896163572481,,,,,,84.394,0.095
1.9599999999991269,552.988361885071,787.1898489202916,,,,,56.235,45.895,,,,,0.095
4.877999999996973,,,,,,939.9242588611315,,,,,,201.66,0.095
5.989999999997963,809.7247174629458,,,,,,96.333,,,,,,0.095
6.0,,,629.9595240695257,,,,,,127.397,,,,0.095
7.819999999999709,,,,,762.0667472662633,,,,,,109.788,,0.095
7.867999999994936,,,,,,943.0950656847702,,,,,,79.949,0.095
9.85899999999674,,,,,773.7888500712678,,,,,,104.496,,0.095
11.830999999998312,,,,,,1093.4884254598905,,,,,,114.533,0.095
11.881999999997788,,,,,623.7276750504969,,,,,,124.07,,0.095
23.86399999999412,,,,,,780.5123608297721,,,,,,118.688,0.095
29.843000000000757,,,,,,387.34476551072055,,,,,,80.041,0.095
