relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-164.75,,,93.70881557952666,,,,,,86.15,,,,0.049
-136.75,,,126.63853932134246,,,,,,105.236,,,,0.049
-126.92199999999866,,,,,194.139101275918,,,,,,51.287,,0.049
-101.73999999999796,103.89129755271107,,60.96971410144075,,,,60.045,,70.071,,,,0.049
-80.01699999999983,,,,,380.30784682044674,,,,,,94.344,,0.049
-78.79999999999563,,,144.8108320402308,,,,,,65.777,,,,0.049
-74.83999999999651,,290.9795356863169,,,,,,118.992,,,,,0.049
-74.82999999999447,236.4315002613628,,,,,,137.73,,,,,,0.049
-73.7899999999936,,,316.6192229750037,,,,,,182.928,,,,0.049
-53.88999999999942,,,,115.07228413027372,,,,,,93.073,,,0.049
-50.10299999999552,,,,,231.9404941371381,,,,,,63.173,,0.049
-48.88999999999942,93.53326310213579,93.09593741099148,,,,,40.397,52.679,,,,,0.049
-38.919999999998254,,,,99.81582431117222,,,,,,103.209,,,0.049
-31.929999999993015,,184.54263900933074,,,,,,123.715,,,,,0.049
-29.959999999999127,,,,173.6643217035414,,,,,,103.139,,,0.049
-22.989999999997963,,,60.1462259221277,,,,,,68.831,,,,0.049
-14.125999999996566,,,,,287.84970025180314,,,,,,76.147,,0.049
-3.9799999999959255,,181.57087100654627,,188.50355837353345,,,,222.855,,152.505,,,0.049
0.0,,578.559557389849,,,,,,91.731,,,,,0.049
0.010000000002037268,,,253.3097567450386,,,,,,114.27,,,,0.049
3.9500000000043656,314.7940237997723,,,497.71512279915726,,,57.498,,,90.385,,,0.049
5.970000000001164,467.38834233233746,,361.4263476523082,,,,51.687,,78.314,,,,0.049
7.801000000006752,,,,,,548.908563559474,,,,,,86.029,0.049
7.844000000004598,,,,,650.7836978639089,,,,,,99.837,,0.049
7.970000000001164,618.5409694653683,,513.4067553489391,,,,56.238,,69.125,,,,0.049
12.789000000004307,,,,,,481.4881620874245,,,,,,121.087,0.049
12.927000000003318,,,,,550.8153259285438,,,,,,156.196,,0.049
15.802999999999884,,,,,,756.8314833198336,,,,,,108.062,0.049
15.833000000005995,,,,,565.6214232482029,,,,,,125.725,,0.049
17.840000000003783,,,,,,594.6231613732009,,,,,,153.965,0.049
