relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-97.69000000000233,40.96585577778528,,,,,,41.93,,,,,,0.045
-88.67000000000553,75.43491361532375,,,150.19557390536878,,,59.941,,,116.418,,,0.045
-60.88000000000466,60.62012231937989,,,,,,40.044,,,,,,0.045
-44.92000000000553,63.34668546210244,,,,,,44.779,,,,,,0.045
-39.81999999999971,355.1319437949155,,,,,,100.917,,,,,,0.045
-20.960000000006403,,,,104.66164574730534,,,,,,99.026,,,0.045
-16.92000000000553,,54.70487360928511,,76.32183443961958,,,,51.483,,92.084,,,0.045
-14.900000000001455,147.18443433824632,,,,,,50.467,,,,,,0.045
-4.077000000004773,,,,,331.68976426608396,,,,,,93.58,,0.045
-2.1270000000004075,,,,,,639.7644205756267,,,,,,126.332,0.045
-2.0450000000055297,,,,,460.5550326450976,,,,,,126.025,,0.045
0.0,1047.547651426183,,,,,,70.348,,,,,,0.045
0.00999999999476131,,,,493.3948700727548,,,,,,69.56,,,0.045
3.9199999999982538,,,,,1597.084619578677,,,,,,239.534,,0.045
3.985000000000582,,,,,,1442.433519302183,,,,,,160.456,0.045
9.864999999997963,,,,,1621.1273441797928,,,,,,113.339,,0.045
9.925999999999476,,,,,,1471.3444640801893,,,,,,130.523,0.045
9.979999999995925,,1355.9121568835708,,533.3304167651486,,,,95.137,,194.694,,,0.045
11.880999999993946,,,,,,1350.589286841344,,,,,,90.244,0.045
11.919999999998254,,1298.89181544907,,,,,,52.87,,,,,0.045
11.925999999999476,,,,,1275.685221487934,,,,,,76.509,,0.045
13.901999999994587,,,,,1224.5357868514716,,,,,,83.954,,0.045
13.917999999997846,,,,,,1145.2762142387098,,,,,,104.283,0.045
15.87199999999575,,,,,1779.8775880513892,,,,,,505.809,,0.045
15.896999999997206,,,,,,1159.7427654053095,,,,,,82.828,0.045
17.813999999998487,,,,,,1226.8731605164849,,,,,,94.913,0.045
17.894000000000233,,,,,948.9471956558357,,,,,,106.644,,0.045
19.856999999996333,,,,,,1135.6586690979645,,,,,,133.723,0.045
19.90799999999581,,,,,634.3817302444168,,,,,,100.988,,0.045
21.875,,,,,661.9197996224636,,,,,,125.836,,0.045
23.839999999996508,,,,,,870.2274845090856,,,,,,101.188,0.045
23.877000000000407,,,,,614.4246901392364,,,,,,81.994,,0.045
24.919999999998254,625.2697319246807,786.9687929929196,,,,,71.692,72.504,,,,,0.045
25.851999999998952,,,,,,678.2940766814936,,,,,,66.629,0.045
45.875999999996566,,,,,,413.9322856774411,,,,,,74.453,0.045
47.86499999999796,,,,,,288.5660045842841,,,,,,79.703,0.045
