relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-263.2699999999968,,,,375.83502297941294,,,,,,369.012,,,0.016
-246.33000000000175,,32.79726432783629,,,,,,39.656,,,,,0.016
-227.3000000000029,,,,217.56303298161166,,,,,,205.289,,,0.016
-199.36000000000058,,84.44041560533361,,,,,,55.431,,,,,0.016
-186.36000000000058,,,241.59423299064255,,,,,,218.39,,,,0.016
0.0,429.0351390150045,,549.6422533534335,,,,53.356,,60.291,,,,0.016
2.9899999999979627,,,,819.9990397869589,,,,,,143.952,,,0.016
3.0,,798.7584146581494,,,,,,69.321,,,,,0.016
7.010000000002037,,,636.280823350116,,,,,,114.434,,,,0.016
7.0200000000040745,,712.1527004199817,,,,,,128.625,,,,,0.016
10.0,,763.8062368228162,815.6188481969635,,,,,194.886,205.576,,,,0.016
18.9800000000032,499.14834509679173,,861.0189273081352,,,,133.916,,114.664,,,,0.016
22.94999999999709,447.2839406521139,,811.2824465296519,,,,51.649,,61.211,,,,0.016
24.970000000001164,433.5743952404789,,666.3754714875464,,,,53.784,,67.785,,,,0.016
31.919999999998254,,631.370964470991,,,,,,211.484,,,,,0.016
31.93000000000029,,,,682.8779606554663,,,,,,158.731,,,0.016
36.919999999998254,,,798.1488154898358,,,,,,94.141,,,,0.016
36.93000000000029,,440.487168208113,,,,,,172.673,,,,,0.016
37.98999999999796,,518.174136806578,,599.7443514979044,,,,110.183,,177.79,,,0.016
47.94999999999709,165.5789440870757,,934.2924955334045,,,,130.274,,249.904,,,,0.016
50.94000000000233,227.72761740048463,261.77889289072607,,,,,45.907,43.521,,,,,0.016
54.93000000000029,76.60720127677219,313.57262848561476,,,,,31.589,38.501,,,,,0.016
60.93000000000029,,318.4152124304139,,,,,,52.402,,,,,0.016
81.84000000000378,,272.0352426738777,,,,,,50.902,,,,,0.016
86.77999999999884,60.79839491029314,,,517.2721555510967,,,62.093,,,93.226,,,0.016
89.81999999999971,,,407.32354556212783,,,,,,78.017,,,,0.016
98.88999999999942,,,,296.1740887475568,,,,,,161.396,,,0.016
109.77999999999884,,150.16371981518913,,,,,,89.225,,,,,0.016
112.72000000000116,69.42013349518793,,298.0044739827498,,,,46.035,,55.291,,,,0.016
115.77000000000407,81.70344734353183,86.06776474569394,,,,,47.538,39.671,,,,,0.016
126.68000000000029,,288.32742730308814,301.8010106096682,,,,,107.664,138.342,,,,0.016
129.79000000000087,,,,543.1786989621162,,,,,,190.95,,,0.016
138.62999999999738,,125.62159161800008,,,,,,61.614,,,,,0.016
140.72000000000116,77.95009534487093,,122.11850045133158,,,,52.315,,73.078,,,,0.016
143.62000000000262,,76.90185312296245,,,,,,75.975,,,,,0.016
146.72000000000116,,,,195.79568909198815,,,,,,97.522,,,0.016
153.6800000000003,,,,170.12835849598628,,,,,,181.997,,,0.016
153.69000000000233,,149.3090239999265,,,,,,141.286,,,,,0.016
155.70999999999913,,116.86589244609331,207.19608924550553,,,,,97.275,80.489,,,,0.016
157.7300000000032,,129.7195620761123,,276.25093254294154,,,,46.023,,92.908,,,0.016
159.76000000000204,,,118.26849147755522,,,,,,53.966,,,,0.016
161.62999999999738,,,,192.56120470431293,,,,,,88.731,,,0.016
163.62999999999738,35.86360536775577,,115.16709535979092,,,,40.466,,56.3,,,,0.016
166.63999999999942,39.33424282576431,,150.48969371695387,,,,40.783,,50.94,,,,0.016
169.62999999999738,,,149.10044101300838,,,,,,96.322,,,,0.016
171.62999999999738,52.91298001709743,125.83552519994917,,,,,58.856,51.352,,,,,0.016
