relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-285.3139999999985,,,,,,258.8903097039431,,,,,,72.435,0.04
-264.27999999999884,,166.0874936517505,,169.73963616564174,,,,150.039,,198.447,,,0.04
-249.33000000000175,,104.47525979588026,,,,,,111.036,,,,,0.04
-208.33000000000175,,94.25821091928512,,,,,,99.857,,,,,0.04
-208.3199999999997,,,193.11732310749298,,,,,,98.391,,,,0.04
-201.38000000000466,107.4102466468821,,,,,,84.175,,,,,,0.04
-194.37000000000262,,,159.78177981268104,,,,,,87.267,,,,0.04
-188.38999999999942,,,186.40903827564972,,,,,,89.037,,,,0.04
-175.38000000000466,,130.7135997088488,,,,,,64.351,,,,,0.04
-175.37000000000262,,,113.99473340607823,,,,,,73.468,,,,0.04
-173.38000000000466,,77.05760690479356,,,,,,85.489,,,,,0.04
-169.38000000000466,128.34824407517934,,,181.06138813438517,,,82.078,,,135.739,,,0.04
-16.010000000002037,69.44776798628575,,,,,,64.637,,,,,,0.04
-11.020000000004075,142.1472747510805,,306.9983931196813,,,,84.486,,105.87,,,,0.04
-2.0100000000020373,,112.54580518108229,,259.4979363281072,,,,107.661,,169.698,,,0.04
0.0,,554.1792815840868,555.837586637458,,,,,100.595,88.886,,,,0.04
9.989999999997963,414.470396497142,,687.4844595738757,,,,66.963,,77.679,,,,0.04
10.794000000001688,,,,,390.83994243062915,,,,,,105.464,,0.04
10.832000000002154,,,,,,649.6848779535411,,,,,,108.78,0.04
12.854999999995925,,,,,,603.5397111589266,,,,,,152.068,0.04
15.766999999999825,,,,,,739.6857802717743,,,,,,118.088,0.04
15.875,,,,,446.87905673470704,,,,,,104.387,,0.04
16.93000000000029,,912.7772542621815,,,,,,106.795,,,,,0.04
16.939999999995052,546.4418433589201,,,,,,84.208,,,,,,0.04
19.832000000002154,,,,,,725.4436146836027,,,,,,130.298,0.04
21.93000000000029,306.37208421065975,,,605.1753791725637,,,62.224,,,113.211,,,0.04
23.939999999995052,,579.6394727659205,914.280460750188,,,,,68.3,74.548,,,,0.04
26.77599999999802,,,,,,969.2101500625712,,,,,,161.424,0.04
28.979999999995925,,596.1586471006048,,659.0612127611756,,,,92.74,,99.728,,,0.04
35.828999999997905,,,,,,608.1460881478403,,,,,,126.093,0.04
37.75299999999697,,,,,,620.7442655324026,,,,,,113.249,0.04
37.900000000001455,270.23606550368635,,925.7819094564461,,,,88.301,,93.23,,,,0.04
38.86000000000058,,,817.5068038146024,,,,,,79.739,,,,0.04
38.86999999999534,143.69370799091269,,,,,,71.115,,,,,,0.04
39.81100000000151,,,,,,775.1094842489871,,,,,,138.81,0.04
42.900000000001455,,543.5324923771616,,,,,,58.687,,,,,0.04
42.90999999999622,222.80182611989008,,,,,,47.381,,,,,,0.04
46.79799999999523,,,,,,659.1853871887643,,,,,,94.329,0.04
46.94999999999709,131.00221154220847,,834.3547212183623,,,,75.214,,90.119,,,,0.04
48.786999999996624,,,,,218.6067137433807,,,,,,56.863,,0.04
67.79400000000169,,,,,,755.2417607004871,,,,,,94.218,0.04
69.7039999999979,,,,,,579.1355431741075,,,,,,79.597,0.04
73.76599999999598,,,,,,744.8195174933659,,,,,,163.693,0.04
78.70100000000093,,,,,,578.9257455163247,,,,,,99.385,0.04
80.64400000000023,,,,,,482.49448766528513,,,,,,117.852,0.04
84.68699999999808,,,,,,566.8973464701123,,,,,,123.094,0.04
92.72000000000116,,,,,,604.6185067653397,,,,,,146.132,0.04
96.63799999999901,,,,,,382.6892707603946,,,,,,85.31,0.04
106.60399999999936,,,,,,570.7952264507759,,,,,,85.492,0.04
108.60299999999552,,,,,,446.8437895009631,,,,,,89.614,0.04
125.59900000000198,,,,,,585.9063899875778,,,,,,131.002,0.04
179.5309999999954,,,,,,358.61986187979716,,,,,,102.795,0.04
