relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-255.10800000000017,,,104.76043581527865,,,,,,90.403,,,,0.023
-248.17799999999988,,,102.59109044977383,,,,,,78.389,,,,0.023
-213.10800000000017,54.5493462996491,,,,,,69.16,,,,,,0.023
-196.2679999999964,,,51.73951153889258,,,,,,65.822,,,,0.023
-192.1579999999958,61.956135694270365,,,,,,38.65,,,,,,0.023
-173.22799999999552,,288.07547555616435,,,,,,152.763,,,,,0.023
-4.038000000000466,,,,,661.018226387862,,,,,,134.835,,0.023
0.0,,,,,850.943302445303,,,,,,89.202,,0.023
3.0310000000026776,,,,,,978.5598054847055,,,,,,210.019,0.023
6.983000000000175,,,,,,836.3727216004673,,,,,,174.398,0.023
7.014999999999418,,,,,725.4290228235168,,,,,,220.688,,0.023
10.984000000004016,,,,,,1085.2644823872567,,,,,,180.97,0.023
11.010999999998603,,,,,1047.9073714002286,,,,,,153.461,,0.023
15.936000000001513,,,,,976.4438587755972,,,,,,119.169,,0.023
16.007000000005064,,,,,,959.7265776699691,,,,,,100.355,0.023
17.9800000000032,,,,,,660.4589072849913,,,,,,126.421,0.023
18.04200000000128,,,617.5389261101479,,,,,,98.902,,,,0.023
18.052000000003318,841.9885706962981,,,,,,75.235,,,,,,0.023
20.95900000000256,,,,,,741.3011596846867,,,,,,129.807,0.023
23.014999999999418,,,,,,700.5560500425349,,,,,,137.296,0.023
23.101999999998952,550.9251805435015,,,,,,77.604,,,,,,0.023
23.11200000000099,,,623.4515372790862,,,,,,70.348,,,,0.023
25.9690000000046,,,,,,742.45322100707,,,,,,140.288,0.023
25.999000000003434,,,,,446.0872019567523,,,,,,97.252,,0.023
35.09200000000419,,,,188.64714939923226,,,,,,74.784,,,0.023
35.10199999999895,,411.71995634355847,,,,,,73.555,,,,,0.023
43.921000000002095,,,,,,772.2488802218375,,,,,,193.142,0.023
45.05200000000332,,254.63961418515157,,,,,,84.826,,,,,0.023
49.03199999999924,,,229.98183732362975,,,,,,45.946,,,,0.023
49.04200000000128,82.47031824706525,,,,,,55.549,,,,,,0.023
49.85199999999895,,,,,,540.8197728878506,,,,,,114.636,0.023
53.929000000003725,,,,,215.51056958718644,,,,,,61.032,,0.023
65.98200000000361,,,196.90868907371637,,,,,,151.735,,,,0.023
77.07200000000012,,173.73386752802236,,,,,,156.368,,,,,0.023
99.07200000000012,,341.710322145342,,,,,,123.191,,,,,0.023
111.00200000000041,56.780345991920214,,,,,,48.058,,,,,,0.023
118.00200000000041,,,52.535840331892196,,,,,,56.398,,,,0.023
127.78199999999924,,174.99980152397552,,,,,,88.523,,,,,0.023
133.81199999999808,51.19744743962514,,,,,,44.576,,,,,,0.023
136.77200000000448,50.4275041769972,,,,,,60.902,,,,,,0.023
136.78199999999924,,73.78948716361444,,,,,,49.662,,,,,0.023
138.92199999999866,74.36701636381144,,,,,,64.229,,,,,,0.023
140.9120000000039,,50.3945201224719,,,,,,59.973,,,,,0.023
144.89199999999983,103.13568180514473,,,,,,44.825,,,,,,0.023
157.87200000000303,,165.5776205565978,,,,,,83.564,,,,,0.023
159.7320000000036,58.33967007499837,,,,,,56.041,,,,,,0.023
159.74199999999837,,,,325.3767486653326,,,,,,156.654,,,0.023
169.8420000000042,59.72189640902887,,,,,,68.747,,,,,,0.023
183.8420000000042,,90.9983764046823,,,,,,93.243,,,,,0.023
