relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-17.99699999999575,,,,,1032.5668427880132,,,,,,233.664,,0.023
-14.99699999999575,,,,,1019.5423835244904,,,,,,224.444,,0.023
-13.065999999998894,,,,,,1035.9649117710132,,,,,,254.476,0.023
-9.029999999998836,,,,,826.3078829419123,,,,,,163.404,,0.023
0.0,,,,,877.7997838947504,,,,,,80.899,,0.023
0.020000000004074536,,,,,,1018.2707643060137,,,,,,96.249,0.023
2.9579999999987194,,,,,940.6007326746364,,,,,,67.026,,0.023
4.930000000000291,,,,,,781.7909768647893,,,,,,106.066,0.023
6.0,,,,,,1108.5339576039594,,,,,,89.887,0.023
8.934000000001106,,,,,1044.6211709068466,,,,,,109.259,,0.023
8.997000000003027,,,,,,1062.5477802557539,,,,,,91.672,0.023
12.855999999999767,,,,,,1069.0263673541144,,,,,,214.408,0.023
12.972000000001572,,,,,940.3568803412053,,,,,,234.058,,0.023
17.840000000003783,,,,,,1024.7406974226099,,,,,,156.505,0.023
17.900000000001455,,,,,850.8029026169637,,,,,,142.095,,0.023
19.872000000003027,,,,,844.8037129594342,,,,,,100.041,,0.023
20.449000000000524,,,,,,1074.193876215171,,,,,,98.102,0.023
20.597999999998137,,,,,803.4279891116649,,,,,,98.262,,0.023
24.894000000000233,,,,,838.6092303075982,,,,,,81.006,,0.023
24.93800000000192,,,,,,950.4646536866392,,,,,,127.597,0.023
24.95900000000256,,,,,,994.5826527214589,,,,,,104.181,0.023
25.014999999999418,,,1050.2858522322206,,,,,,64.964,,,,0.023
25.025000000001455,789.0676597964288,,,,,,63.838,,,,,,0.023
25.87600000000384,,,,,670.825101615462,,,,,,150.293,,0.023
26.77400000000489,,,,,,1021.4770645497172,,,,,,139.77,0.023
26.853000000002794,,,,,806.7880842515411,,,,,,69.761,,0.023
26.963999999999942,,,,,,1013.2914795483323,,,,,,84.863,0.023
27.014999999999418,609.302645869821,965.7798841053219,,,,,69.122,63.552,,,,,0.023
28.913000000000466,,,,,495.4351025234487,,,,,,91.919,,0.023
28.980999999999767,,,,,,860.0391982306112,,,,,,92.469,0.023
29.83299999999872,,,,,800.4690363384719,,,,,,73.737,,0.023
29.965000000003783,664.7320815930912,,,,,,98.707,,,,,,0.023
29.974999999998545,,,997.6459166332696,,,,,,85.254,,,,0.023
30.851000000002387,,,,,616.5009244262784,,,,,,96.333,,0.023
30.93800000000192,,,,,,800.9671187069392,,,,,,91.468,0.023
31.622999999999593,,,,,683.9128991474083,,,,,,94.719,,0.023
31.806000000004133,,,,,,865.3906042041609,,,,,,148.708,0.023
32.616000000001804,,,,,667.4407268060233,,,,,,94.8,,0.023
32.812000000005355,,,,,,903.0386701223845,,,,,,205.762,0.023
32.955000000001746,820.9765706903876,822.5720246598662,,,,,298.348,195.689,,,,,0.023
33.91700000000128,,,,,694.2275361602047,,,,,,72.899,,0.023
34.45799999999872,,,,,,1045.7017230036636,,,,,,108.488,0.023
34.93600000000151,,,,,683.9836268804814,,,,,,71.419,,0.023
36.90400000000227,,,,,559.7793937772584,,,,,,112.981,,0.023
36.955000000001746,,1009.5723314365553,,,,,,83.134,,,,,0.023
36.99500000000262,,,,1078.496556150342,,,,,,130.147,,,0.023
37.4690000000046,,,,,,811.9998637088058,,,,,,171.644,0.023
37.83099999999831,,,,,843.8409712793941,,,,,,183.681,,0.023
38.457000000002154,,,,,,913.559748452432,,,,,,151.52,0.023
39.3640000000014,,,,,,924.3718169193068,,,,,,187.483,0.023
40.88000000000466,,,,,981.3282949088699,,,,,,233.328,,0.023
40.970000000001164,,,,,,754.6510083039665,,,,,,191.722,0.023
45.77900000000227,,,,,,927.9134589563802,,,,,,191.127,0.023
45.832000000002154,,,,,647.9050935485461,,,,,,169.045,,0.023
46.76299999999901,,,,,,1042.2671739909244,,,,,,104.475,0.023
46.904999999998836,,,,,751.282648356256,,,,,,128.231,,0.023
47.8179999999993,,,,,583.9059958576454,,,,,,101.16,,0.023
47.93300000000454,,,,,,858.085561847302,,,,,,107.248,0.023
48.853000000002794,,,,,557.5467198153237,,,,,,88.963,,0.023
48.89700000000448,,,,,,842.3180070725978,,,,,,88.622,0.023
51.81100000000151,,,,,,775.206378489815,,,,,,74.87,0.023
51.8550000000032,,,,,481.47112561164136,,,,,,56.665,,0.023
52.85399999999936,,,,,494.22534159655646,,,,,,64.055,,0.023
52.85599999999977,,,,,,814.0724923413753,,,,,,81.095,0.023
53.81100000000151,,,,,490.5812798865807,,,,,,78.359,,0.023
53.87200000000303,,,,,,950.5587657383269,,,,,,177.138,0.023
54.87299999999959,,,,,,718.8732841945701,,,,,,82.175,0.023
56.800999999999476,,,,,527.5813850240805,,,,,,68.494,,0.023
56.883999999998196,,,,,,773.926670936407,,,,,,80.499,0.023
57.822000000000116,,,,,432.0398296581871,,,,,,86.614,,0.023
57.849999999998545,,,,,,774.6114172435138,,,,,,109.127,0.023
58.75800000000163,,,,,426.9949365782409,,,,,,116.209,,0.023
59.788000000000466,,,,,545.3731046242924,,,,,,87.216,,0.023
59.91100000000006,,,,,,710.8348168831797,,,,,,138.81,0.023
61.78199999999924,,,,,422.68054486078125,,,,,,84.479,,0.023
61.90400000000227,,,,,,711.6547816553549,,,,,,82.158,0.023
62.74000000000524,,,,,537.7155079718694,,,,,,147.904,,0.023
64.7960000000021,,,,,,780.8390388707072,,,,,,176.782,0.023
64.8440000000046,,,,,439.32795307813853,,,,,,109.75,,0.023
65.7300000000032,,,,,492.8709582900967,,,,,,140.11,,0.023
65.875,,,,,,844.4598675592824,,,,,,98.29,0.023
66.76900000000023,,,,,480.6815085319594,,,,,,115.881,,0.023
66.79300000000512,,,,,,738.3977488027365,,,,,,151.7,0.023
67.83299999999872,,,,,,815.8757657915285,,,,,,158.986,0.023
68.83299999999872,,,,,,654.5157853083019,,,,,,147.101,0.023
75.86500000000524,,659.7384928901594,,,,,,82.329,,,,,0.023
75.875,,,447.1349739349363,,,,,,89.927,,,,0.023
82.80500000000029,,,742.2315236618404,,,,,,94.747,,,,0.023
82.81500000000233,140.16638918528068,,,,,,96.025,,,,,,0.023
86.96500000000378,,531.5814166910025,,,,,,127.951,,,,,0.023
89.73600000000442,,,,,287.5916303289488,,,,,,62.37,,0.023
89.85700000000361,,,,,,390.04793909334546,,,,,,89.339,0.023
93.69200000000274,,,,,,553.1592691361388,,,,,,161.167,0.023
95.96500000000378,,282.77840228035376,,,,,,139.637,,,,,0.023
95.97499999999854,,,,1068.2016070454324,,,,,,337.833,,,0.023
107.70400000000518,,,,,,246.62549931224177,,,,,,74.921,0.023
108.7390000000014,,,,,,305.67918912466433,,,,,,78.716,0.023
117.86500000000524,68.47743634365334,,,,,,74.858,,,,,,0.023
117.875,,288.4999171461336,,,,,,138.396,,,,,0.023
120.71500000000378,,,299.616366222596,,,,,,74.133,,,,0.023
122.71500000000378,,,,310.85089958237745,,,,,,113.368,,,0.023
129.875,,,,326.14675388212254,,,,,,248.047,,,0.023
134.71500000000378,,89.58885022903806,60.61779686633534,,,,,56.86,52.079,,,,0.023
138.82500000000437,95.92650758171689,,75.17656091717534,,,,44.88,,56.147,,,,0.023
140.7850000000035,,109.42674334827386,,,,,,69.157,,,,,0.023
161.73500000000058,,95.96814397678529,150.3437532603154,,,,,55.428,61.989,,,,0.023
166.72499999999854,53.66169782576389,,186.8947243826624,,,,63.046,,82.448,,,,0.023
169.72499999999854,,47.85842883116293,,,,,,51.122,,,,,0.023
176.72499999999854,,90.84317015163384,,,,,,48.069,,,,,0.023
183.73500000000058,,,,111.63217722019286,,,,,,91.642,,,0.023
