relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-26.790000000000873,201.6048621661762,,,,,,61.853,,,,,,0.032
-4.870000000002619,,,,130.8883621926418,,,,,,129.214,,,0.032
-1.8800000000046566,,54.05807065484892,,,,,,68.452,,,,,0.032
0.0,,,,,749.0248506519926,,,,,,83.23,,0.032
0.043999999994412065,,,,,,650.7922000860369,,,,,,121.532,0.032
0.11999999999534339,734.0713852749242,,509.2394605891769,,,,102.765,,84.551,,,,0.032
1.8659999999945285,,,,,,1499.8244980085135,,,,,,118.367,0.032
1.9369999999980791,,,,,1767.295471115648,,,,,,82.613,,0.032
2.1699999999982538,1656.5784668237463,1461.3539173971078,,,,,63.861,64.939,,,,,0.032
2.8909999999959837,,,,,,1598.9088500997075,,,,,,79.058,0.032
2.9569999999948777,,,,,1629.3462082008264,,,,,,128.84,,0.032
3.8729999999995925,,,,,,1621.3153022135039,,,,,,172.534,0.032
4.8549999999959255,,,,,,2031.934787966158,,,,,,109.623,0.032
4.937999999994645,,,,,2437.7444802677483,,,,,,84.824,,0.032
5.069999999999709,2478.5585413691106,,1878.2745451128012,,,,115.151,,147.486,,,,0.032
5.926999999996042,,,,,2599.3719477457566,,,,,,112.495,,0.032
6.042999999997846,,,,,,2207.259753903683,,,,,,95.683,0.032
6.913999999997031,,,,,,2271.991487611707,,,,,,142.034,0.032
6.994999999995343,,,,,2340.3684031228777,,,,,,112.093,,0.032
7.9099999999962165,,,,,,2196.57413183866,,,,,,196.52,0.032
8.04200000000128,,,,,2473.94107986639,,,,,,126.284,,0.032
8.049999999995634,2580.709159411679,2184.3168456034964,,,,,164.802,175.111,,,,,0.032
8.865999999994528,,,,,,2502.6800012146555,,,,,,138.826,0.032
9.006999999997788,,,,,2741.055164321886,,,,,,89.09,,0.032
9.885999999998603,,,,,,2548.1700296298945,,,,,,116.847,0.032
10.019999999996799,,,,,2552.0597465605083,,,,,,88.855,,0.032
11.998999999996158,,,,,2452.575705393733,,,,,,118.796,,0.032
12.261999999995169,,,,,,2601.466507905352,,,,,,273.319,0.032
13.655999999995402,,,,,,2533.63695892699,,,,,,293.369,0.032
13.990999999994528,,,,,2398.527723520587,,,,,,196.184,,0.032
14.863999999994121,,,,,,2631.5154275802165,,,,,,189.492,0.032
15.010999999998603,,,,,2478.814735814732,,,,,,163.952,,0.032
20.87399999999616,,,,,,2340.75138514443,,,,,,183.153,0.032
20.93000000000029,,,,,1926.4548415879583,,,,,,170.164,,0.032
21.87199999999575,,,,,,2492.0691193812177,,,,,,121.225,0.032
22.010999999998603,,,,,1773.8910802829075,,,,,,141.802,,0.032
22.93499999999767,,,,,1962.04439067799,,,,,,104.377,,0.032
23.03899999999703,,,,,,2208.9118476794733,,,,,,118.746,0.032
23.958999999995285,,,,,1590.7656145088697,,,,,,87.484,,0.032
23.99199999999837,,,,,,2174.345048334148,,,,,,103.23,0.032
24.841999999996915,,,,,,2198.788450640108,,,,,,100.637,0.032
26.898000000001048,,,,,,2227.1116518334406,,,,,,84.553,0.032
26.953999999997905,,,,,1469.4751977006608,,,,,,64.983,,0.032
27.881000000001222,,,,,,2116.729253988561,,,,,,88.834,0.032
27.937999999994645,,,,,1435.9558741462085,,,,,,74.229,,0.032
28.915000000000873,,,,,1402.5745656274614,,,,,,77.413,,0.032
28.932999999997264,,,,,,2122.2934969012176,,,,,,109.447,0.032
29.937999999994645,,,,,,1903.2466110120783,,,,,,91.509,0.032
31.915000000000873,,,,,1213.2977265823408,,,,,,71.323,,0.032
32.800999999999476,,,,,,1935.590167349199,,,,,,116.09,0.032
32.858000000000175,,,,,1258.1687868235517,,,,,,87.795,,0.032
33.799999999995634,,,,,,1952.108874055417,,,,,,145.98,0.032
33.85199999999895,,,,,1181.734334862024,,,,,,119.04,,0.032
34.89400000000023,,,,,1127.5246166189113,,,,,,96.794,,0.032
34.940999999998894,,,,,,1843.725498523986,,,,,,149.189,0.032
36.88499999999476,,,,,997.7387274175632,,,,,,81.447,,0.032
37.828999999997905,,,,,796.8858772526625,,,,,,147.47,,0.032
37.87799999999697,,,,,,1596.549512938467,,,,,,91.117,0.032
39.79200000000128,,,,,,1607.4470849139561,,,,,,205.802,0.032
39.92899999999645,,,,,900.0855419588156,,,,,,119.287,,0.032
40.84100000000035,,,,,911.1148841481069,,,,,,135.811,,0.032
40.97099999999773,,,,,,1733.4903500905882,,,,,,105.109,0.032
41.85899999999674,,,,,,1649.5057558313342,,,,,,145.294,0.032
41.86399999999412,,,,,791.9669351207292,,,,,,129.522,,0.032
42.91500000000087,,,,,,1758.9890398454997,,,,,,167.997,0.032
43.934000000001106,,,,,,1648.244096101139,,,,,,172.323,0.032
50.970000000001164,,1261.05983017977,1190.3800987777647,,,,,97.422,186.066,,,,0.032
57.89999999999418,599.6188086084622,,,,,,121.091,,,,,,0.032
57.90999999999622,,,1048.7616137880295,,,,,,125.112,,,,0.032
64.85099999999511,,,,,547.5056466428273,,,,,,75.688,,0.032
68.79399999999441,,,,,,1253.3077881971283,,,,,,226.332,0.032
79.95999999999913,,1066.261821171181,,866.3926300691162,,,,126.522,,169.605,,,0.032
82.79200000000128,,,,,,850.2872644976045,,,,,,82.483,0.032
82.83499999999913,,,,,562.4964516538464,,,,,,79.34,,0.032
85.93999999999505,495.91468747432504,,1052.280742253879,,,,99.179,,126.071,,,,0.032
90.8070000000007,,,,,323.59026836308186,,,,,,66.38,,0.032
90.81299999999464,,,,,,808.4851645244746,,,,,,80.417,0.032
91.78800000000047,,,,,192.20211085659264,,,,,,58.463,,0.032
93.79000000000087,,,,,348.5407990366762,,,,,,64.866,,0.032
93.97000000000116,325.4366411922882,,623.0348361457887,,,,99.174,,115.644,,,,0.032
96.76599999999598,,,,,,520.1373510680012,,,,,,85.342,0.032
96.79099999999744,,,,,414.36534512836096,,,,,,75.229,,0.032
96.80999999999767,,442.6241132620277,,,,,,56.573,,,,,0.032
103.88999999999942,,464.73353305781814,588.9453939937276,,,,,124.001,102.066,,,,0.032
107.87999999999738,,214.76874687974262,,584.6094639147068,,,,87.123,,157.139,,,0.032
108.72999999999593,,,,,288.05031842650703,,,,,,58.09,,0.032
108.8090000000011,,,,,,433.0805986328339,,,,,,62.545,0.032
110.86000000000058,,,,184.29983484089988,,,,,,118.547,,,0.032
116.87999999999738,263.57361084602985,,144.71358385378028,,,,65.146,,85.272,,,,0.032
119.86000000000058,181.69976918703344,,,,,,65.946,,,,,,0.032
119.86999999999534,,56.05654650273183,,,,,,61.139,,,,,0.032
122.81999999999971,,,165.329247486654,,,,,,65.857,,,,0.032
122.82999999999447,170.65053408948168,,,,,,51.954,,,,,,0.032
139.86000000000058,,119.42214363746716,200.4454545847307,,,,,138.551,115.977,,,,0.032
143.82999999999447,,,245.15678539047545,,,,,,80.521,,,,0.032
146.86000000000058,,176.32208361728718,,,,,,180.736,,,,,0.032
146.86999999999534,319.84803623107314,,,,,,193.512,,,,,,0.032
151.8399999999965,60.524302395573045,,110.91493506954029,,,,59.889,,64.515,,,,0.032
158.82999999999447,,149.42193002964794,,,,,,92.858,,,,,0.032
