relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-57.83999999999651,88.72495866174867,,,,,,76.164,,,,,,0.022
-42.86000000000058,,52.90159871894791,,,,,,66.457,,,,,0.022
-6.0,,142.05369063648197,,,,,,144.783,,,,,0.022
-3.1120000000009895,,,,,,377.5392530241626,,,,,,94.506,0.022
-3.029999999998836,676.632476360159,,,,,,197.135,,,,,,0.022
0.0,394.1263875515382,,,,,,58.748,,,,,,0.022
0.010000000002037268,,,534.4690621112121,,,,,,59.68,,,,0.022
0.7649999999994179,,,,,473.27128260799265,,,,,,92.873,,0.022
0.8389999999999418,,,,,,499.2531138582531,,,,,,108.927,0.022
1.7690000000002328,,,,,483.4215964192895,,,,,,82.139,,0.022
1.826999999997497,,,,,,620.0614057150923,,,,,,104.084,0.022
2.805000000000291,,,,,,645.0109090966687,,,,,,83.253,0.022
2.8839999999981956,,,,,501.88552065042217,,,,,,70.135,,0.022
2.9400000000023283,556.2976771407117,587.9005236207028,,,,,68.704,55.247,,,,,0.022
3.813000000001921,,,,,,683.651752967638,,,,,,95.86,0.022
3.8879999999990105,,,,,510.1032939093503,,,,,,74.449,,0.022
4.8179999999993015,,,,,,681.4482017896601,,,,,,83.392,0.022
4.864000000001397,,,,,489.536217916321,,,,,,76.419,,0.022
4.950000000004366,693.7719626005863,,708.1921082028995,,,,58.696,,61.491,,,,0.022
5.772000000004482,,,,,517.7692136263487,,,,,,70.594,,0.022
5.826000000000931,,,,,,682.3602391167489,,,,,,83.095,0.022
6.769000000000233,,,,,510.36342334609964,,,,,,101.662,,0.022
6.842000000004191,,,,,,622.3889335982891,,,,,,101.471,0.022
7.779999999998836,,,,,531.8067248102847,,,,,,139.544,,0.022
7.845000000001164,,,,,,744.4380705656238,,,,,,120.028,0.022
8.741000000001804,,,,,529.7183172269893,,,,,,125.445,,0.022
8.845000000001164,,,,,,710.361725563323,,,,,,166.282,0.022
9.80000000000291,,,,,411.8238651319678,,,,,,97.895,,0.022
9.853000000002794,,,,,,677.7612423822803,,,,,,100.794,0.022
10.851999999998952,,,,,,679.9744960850145,,,,,,91.586,0.022
12.80000000000291,,,,,,811.293856427805,,,,,,185.321,0.022
13.73700000000099,,,,,,786.3044648888973,,,,,,237.799,0.022
13.989999999997963,,,495.6364850538705,,,,,,70.916,,,,0.022
14.0,,585.8444154491601,,,,,,73.601,,,,,0.022
15.809000000001106,,,,,,762.8469942031728,,,,,,192.494,0.022
20.82800000000134,,,,,,536.2218892962264,,,,,,124.531,0.022
21.790000000000873,,,,,,356.11068807080335,,,,,,93.377,0.022
22.819000000003143,,,,,,392.70214310158866,,,,,,83.6,0.022
23.789000000004307,,,,,,329.93004210348784,,,,,,77.543,0.022
24.806000000004133,,,,,,297.37268125469524,,,,,,76.285,0.022
25.80000000000291,,,,,,314.5332133736052,,,,,,76.662,0.022
