relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-41.75999999999476,47.40361507243336,,,,,,53.52,,,,,,0.013
-33.779999999998836,,,63.536138537373645,,,,,,69.99,,,,0.013
-33.7699999999968,153.50378601304843,,,,,,51.292,,,,,,0.013
-27.75999999999476,,75.30399217739382,,,,,,59.687,,,,,0.013
-3.072999999996682,,,,,292.78356110038317,,,,,,74.635,,0.013
-2.97099999999773,,,,,,303.63547235246637,,,,,,70.236,0.013
-2.889999999999418,,,,,509.62418533562874,,,,,,141.906,,0.013
0.0,,,,,499.3721878711317,,,,,,87.654,,0.013
0.04499999999825377,,,,,,542.1489268383756,,,,,,110.945,0.013
1.0460000000020955,,,,,,481.6016436961704,,,,,,82.395,0.013
1.8910000000032596,,,,,698.9938281320134,,,,,,139.582,,0.013
2.044000000001688,,,,,,680.7625526544792,,,,,,114.532,0.013
2.849000000001979,,,,,891.0205560602503,,,,,,114.624,,0.013
2.980999999999767,,,,,,742.1775299971443,,,,,,121.341,0.013
3.5449999999982538,,,,,,799.0637708622288,,,,,,121.104,0.013
4.0370000000039,,,,,905.752582588736,,,,,,183.951,,0.013
4.088000000003376,,,,,,670.977471068571,,,,,,123.098,0.013
18.110000000000582,550.4486184318087,704.9518670653978,,,,,62.501,58.47,,,,,0.013
21.200000000004366,317.1464668050782,,368.89648132576775,,,,74.413,,82.185,,,,0.013
23.080000000001746,,552.2567741046556,,,,,,399.973,,,,,0.013
24.872000000003027,,,,,314.7527162825252,,,,,,71.111,,0.013
25.023000000001048,,,,,,478.0305070831937,,,,,,83.595,0.013
25.97400000000198,,,,,248.28331383394178,,,,,,60.868,,0.013
29.985000000000582,,,,,,436.80562382905896,,,,,,96.541,0.013
30.056000000004133,,,,,244.34150690376254,,,,,,77.19,,0.013
32.04699999999866,,,,,,524.8588131258399,,,,,,113.501,0.013
46.12000000000262,81.17277697844716,,136.34936551955482,,,,49.512,,55.218,,,,0.013
55.950000000004366,52.71640429170385,,,,,,47.358,,,,,,0.013
58.95999999999913,,,,320.68360435619655,,,,,,177.218,,,0.013
60.95999999999913,,90.73972771224268,,,,,,75.523,,,,,0.013
64.01000000000204,,222.0749552264715,,,,,,90.725,,,,,0.013
85.93000000000029,90.5941788945154,,,,,,64.585,,,,,,0.013
91.95999999999913,,,,258.63269009906725,,,,,,156.96,,,0.013
97.94000000000233,,,,95.56248020629948,,,,,,114.233,,,0.013
99.99000000000524,,,166.68889205881462,,,,,,93.886,,,,0.013
117.87000000000262,,,132.5593541965852,,,,,,66.472,,,,0.013
124.84999999999854,,51.38164407979487,,,,,,61.759,,,,,0.013
154.87000000000262,,104.46267303242232,,,,,,91.982,,,,,0.013
158.86000000000058,,,309.86948446495285,,,,,,132.431,,,,0.013
178.83000000000175,,130.27208078856717,,,,,,122.763,,,,,0.013
186.8199999999997,,74.76571614364467,,237.99350741268853,,,,66.564,,121.283,,,0.013
