relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-40.74199999999837,118.0011014516705,,,86.50903253445888,,,57.14,,,85.864,,,0.019
-33.74199999999837,,159.2733885679613,,,,,,56.084,,,,,0.019
-30.69199999999546,139.31064443306866,,169.31373657236628,,,,66.405,,78.37,,,,0.019
-25.841999999996915,137.27228472891272,,,168.615368651946,,,53.633,,,73.437,,,0.019
-9.880999999993946,,,,,,231.44434910243774,,,,,,59.313,0.019
-8.923999999999069,,,,,214.31582125141202,,,,,,61.258,,0.019
-1.8989999999976135,,,,,,312.1731812324939,,,,,,95.957,0.019
0.0,,,,,553.1640668284806,,,,,,84.992,,0.019
0.11200000000098953,,,,,,591.6866920531892,,,,,,79.171,0.019
3.0750000000043656,,,,,1252.4875896614935,,,,,,104.247,,0.019
3.1080000000001746,,,,,,1017.1544740731603,,,,,,120.355,0.019
4.104000000006636,,,,,,1406.3452340070098,,,,,,99.707,0.019
4.164000000004307,,,,,1667.967955611272,,,,,,90.205,,0.019
5.13300000000163,,,,,,1547.8925251428777,,,,,,121.938,0.019
5.798000000002503,,,,,2214.245798195016,,,,,,138.615,,0.019
6.063000000001921,,,,,,1865.1118586077823,,,,,,139.674,0.019
7.093000000000757,,,,,,1623.5271870979439,,,,,,240.495,0.019
23.158000000003085,1573.481565835614,,1601.7107183224286,,,,76.556,,79.795,,,,0.019
27.96700000000419,,,,,1599.7049244763189,,,,,,76.755,,0.019
28.072000000000116,,,,,,1846.069009646141,,,,,,93.12,0.019
30.979000000006636,,,,,1634.5595720202925,,,,,,134.14,,0.019
31.03200000000652,,,,,,2302.968269813266,,,,,,370.712,0.019
32.046000000002095,,,,,1417.7977555511982,,,,,,121.122,,0.019
33.06300000000192,,,,,,1786.0006976099603,,,,,,100.8,0.019
33.06800000000658,1463.8438126944088,,1630.231862857987,,,,111.213,,85.73,,,,0.019
33.108000000000175,,,,,1451.561692102422,,,,,,107.494,,0.019
35.99700000000303,,,,,,1863.0609589269422,,,,,,206.29,0.019
41.028000000005704,,1475.9636620181736,1555.3073919405936,,,,,146.122,144.88,,,,0.019
45.91900000000169,,,,,,1722.9936874879138,,,,,,94.58,0.019
45.95300000000134,,,,,1196.3949272069115,,,,,,74.21,,0.019
46.937000000005355,,,,,,1605.3390575142175,,,,,,84.248,0.019
46.95600000000559,,,,,1251.812039037029,,,,,,76.716,,0.019
47.11800000000221,1052.4307945389696,,,1270.8713230181177,,,55.116,,,89.226,,,0.019
47.903000000005704,,,,,1208.4994140152373,,,,,,65.865,,0.019
