relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-22.760999999998603,,,117.02703618987994,,,,,,55.054,,,,0.024
-12.85099999999511,91.53870761254818,,166.80787039794643,,,,93.858,,69.059,,,,0.024
-4.890999999995984,,124.27234226151207,,,,,,121.532,,,,,0.024
0.0,,,,,,1102.2253870992142,,,,,,91.322,0.024
0.033999999999650754,,,,,1427.7937551585646,,,,,,75.414,,0.024
1.018000000003667,,,,,,1251.8991400990985,,,,,,86.652,0.024
1.0370000000039,,,,,1368.004354001102,,,,,,72.897,,0.024
1.9840000000040163,,,,,1402.9098095427776,,,,,,68.546,,0.024
2.0370000000039,,,,,,1411.6881994221364,,,,,,80.007,0.024
5.088999999999942,1452.2915110958543,,1219.366095705209,,,,56.095,,56.797,,,,0.024
7.972999999998137,,,,,1324.3640695672073,,,,,,74.935,,0.024
8.01600000000326,,,,,,1365.261342242835,,,,,,83.699,0.024
9.010999999998603,,,,,1400.8803241623684,,,,,,71.327,,0.024
10.01600000000326,,,,,,1305.5073328974559,,,,,,77.876,0.024
10.082000000002154,,,,,1329.7901389262988,,,,,,73.456,,0.024
10.989999999997963,,,,,1281.8898398200752,,,,,,64.456,,0.024
11.027999999998428,,,,,,1269.940400577383,,,,,,79.927,0.024
12.048999999999069,1360.339998431577,,1160.427648517917,,,,64.715,,60.89,,,,0.024
13.010999999998603,,,,,979.5779938295822,,,,,,78.313,,0.024
13.078999999997905,,,,,,1143.889290727062,,,,,,86.206,0.024
14.0370000000039,,,,,1109.242851747249,,,,,,70.555,,0.024
14.11200000000099,,,,,,1292.4265778271351,,,,,,83.74,0.024
15.059000000001106,,,1286.0731851943945,,,,,,122.232,,,,0.024
16.93000000000029,,,,,,1119.8596039171075,,,,,,115.415,0.024
17.02900000000227,1003.632011146806,,,1015.7867832772995,,,68.979,,,108.964,,,0.024
19.991000000001804,,,,,,1572.1296140515606,,,,,,234.289,0.024
25.991000000001804,,,,,,1095.8907022937713,,,,,,60.413,0.024
30.008999999998196,711.7734221852345,,,,,,50.908,,,,,,0.024
30.019000000000233,,,1183.9692416196015,,,,,,62.651,,,,0.024
30.94600000000355,,,,,654.8434029505343,,,,,,61.519,,0.024
33.008999999998196,608.2460324273269,,,,,,66.075,,,,,,0.024
36.008999999998196,600.2055434801317,,1073.7441992196882,,,,52.325,,68.419,,,,0.024
36.90699999999924,,,,,549.6180777916306,,,,,,70.046,,0.024
36.96800000000076,,,,,,1142.509684080777,,,,,,77.127,0.024
39.970000000001164,,,,,626.2412030976476,,,,,,62.95,,0.024
42.934000000001106,,,,,562.3515642712148,,,,,,71.637,,0.024
42.9890000000014,,,,,,915.6506840229354,,,,,,86.41,0.024
49.97299999999814,,,,,,1009.8894322766283,,,,,,176.907,0.024
54.91100000000006,,,,,,903.5826535796671,,,,,,134.889,0.024
56.02900000000227,,691.7739564647933,,618.481968965457,,,,56.051,,76.649,,,0.024
57.96600000000035,,,,,,995.9196938520139,,,,,,74.883,0.024
60.01900000000023,311.9083461328212,,915.278495051963,,,,50.876,,54.03,,,,0.024
60.957000000002154,,,,,,853.2546899591795,,,,,,78.452,0.024
63.94499999999971,,,,,326.748204371706,,,,,,62.685,,0.024
66.98099999999977,,,,,,826.1792311197403,,,,,,100.674,0.024
69.95700000000215,,,,,,833.7415596049219,,,,,,169.715,0.024
72.99500000000262,,,,,,648.4878488878318,,,,,,196.242,0.024
76.95300000000134,,,,,,542.0084836788646,,,,,,163.249,0.024
81.99500000000262,,,,,,736.2757692116502,,,,,,214.436,0.024
84.04899999999907,,,,414.9607847950636,,,,,,165.744,,,0.024
84.0590000000011,,573.1784506582712,,,,,,85.906,,,,,0.024
84.95200000000477,,,,,,696.5070608665824,,,,,,90.153,0.024
87.96800000000076,,,,,,521.4565779032897,,,,,,131.263,0.024
90.94700000000012,,,,,,462.3364712183595,,,,,,98.217,0.024
98.0089999999982,175.78777641136125,,568.4237364487091,,,,51.981,,59.301,,,,0.024
105.0089999999982,,,,392.37763884681993,,,,,,199.062,,,0.024
105.01900000000023,,277.29187106793364,,,,,,118.956,,,,,0.024
108.01900000000023,,119.36702217037133,442.9106316611365,,,,,92.387,74.666,,,,0.024
112.0089999999982,,174.39444787454866,,,,,,111.761,,,,,0.024
119.0089999999982,,,,475.2569265881317,,,,,,225.922,,,0.024
