relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-110.60299999999552,142.75767481048817,,,,,,49.154,,,,,,0.039
-107.63299999999435,,,65.93399574538581,,,,,,56.091,,,,0.039
-104.63299999999435,73.96414803637266,,,,,,72.008,,,,,,0.039
-85.70299999999406,108.31192778952932,,,,,,54.931,,,,,,0.039
-83.61299999999756,82.35288013050392,,,,,,83.606,,,,,,0.039
-76.70299999999406,,,135.08569379628872,,,,,,119.554,,,,0.039
0.0,,,,,717.0934002658206,,,,,,80.133,,0.039
0.026000000005296897,,,,,,489.0567909020329,,,,,,79.722,0.039
2.1970000000001164,1035.2110056314714,,638.770640253986,,,,165.915,,194.008,,,,0.039
6.077000000004773,1703.5926902118763,1656.244128350743,,,,,53.2,49.782,,,,,0.039
8.035000000003492,,,,,2044.1362384976603,,,,,,85.025,,0.039
10.077000000004773,,,1521.32986413379,,,,,,152.684,,,,0.039
10.086999999999534,2202.873757331496,,,,,,142.287,,,,,,0.039
10.985000000000582,,,,,,2359.7522292158455,,,,,,145.354,0.039
14.067000000002736,2111.4543483121834,,,1280.9729671070738,,,98.234,,,93.168,,,0.039
17.98700000000099,,,,,,2372.235460101552,,,,,,259.788,0.039
20.137000000002445,,2114.1745224584124,,593.834146066939,,,,99.112,,101.68,,,0.039
20.991000000001804,,,,,1912.1237399791712,,,,,,223.395,,0.039
21.06600000000617,,,,,,1981.3227307328375,,,,,,219.693,0.039
25.98800000000483,,,,,1298.3311721157345,,,,,,87.487,,0.039
26.02900000000227,,,,,,1597.543929027527,,,,,,110.569,0.039
26.086999999999534,,1593.4746140365644,1085.463934632395,,,,,73.138,76.579,,,,0.039
29.077000000004773,991.5825359854729,,,,,,54.528,,,,,,0.039
29.086999999999534,,,863.0806713669981,,,,,,52.685,,,,0.039
31.986000000004424,,,,,,1378.0499756003205,,,,,,84.705,0.039
32.03100000000268,,,,,601.6876952287577,,,,,,88.771,,0.039
32.086999999999534,752.9775594818682,1104.7142853662751,,,,,68.133,60.044,,,,,0.039
34.09700000000157,625.2920349073185,,951.2538497801892,,,,71.656,,91.29,,,,0.039
38.046000000002095,,,,,591.2577519960336,,,,,,131.912,,0.039
42.0480000000025,,,,,,939.9303879362004,,,,,,157.85,0.039
49.09700000000157,,662.6588349794018,,476.65302994189307,,,,157.095,,195.205,,,0.039
53.086999999999534,,539.4728681845044,,528.4524984139393,,,,53.232,,129.317,,,0.039
55.086999999999534,,264.3532294923595,,,,,,65.301,,,,,0.039
55.09700000000157,,,549.4317672929877,,,,,,59.36,,,,0.039
