relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-168.72000000000116,,,,,348.9105106067409,,,,,,103.55,,0.033
-95.77999999999884,,,65.1105988052919,,,,,,73.647,,,,0.033
-3.889999999999418,809.8950523372886,,404.99349636759973,,,,238.035,,243.603,,,,0.033
0.0,789.7871329190411,,,,,,55.343,,,,,,0.033
1.9579999999987194,,,,,1023.629778381987,,,,,,77.156,,0.033
4.0,405.1898171628005,,,,,,121.131,,,,,,0.033
11.909999999996217,,,,,,826.8679857539984,,,,,,233.55,0.033
13.059999999997672,,,,491.69032585092793,,,,,,150.691,,,0.033
14.059999999997672,,1015.098849976223,,,,,,118.921,,,,,0.033
14.069999999999709,,,825.5859104960585,,,,,,92.357,,,,0.033
14.930999999996857,,,,,1090.2719874465508,,,,,,218.55,,0.033
14.989000000001397,,,,,,923.2703238971853,,,,,,230.32,0.033
18.911000000000058,,,,,738.3115049940695,,,,,,65.954,,0.033
18.97200000000157,,,,,,819.2575694120318,,,,,,79.581,0.033
19.099999999998545,,600.6112697880906,,412.43752279516195,,,,71.533,,105.225,,,0.033
25.927999999999884,,,,,,891.1709108307674,,,,,,89.684,0.033
25.953999999997905,,,,,656.0260314024869,,,,,,84.13,,0.033
28.00999999999476,228.31404178366682,,,,,,89.795,,,,,,0.033
28.0199999999968,,,446.43560281592863,,,,,,97.053,,,,0.033
34.0,408.82641517186437,,447.43767915721435,,,,114.926,,123.21,,,,0.033
34.911999999996624,,,,,540.8252875904847,,,,,,104.178,,0.033
34.961999999999534,,,,,,870.8324397418526,,,,,,120.969,0.033
43.00999999999476,,,474.7299592134778,,,,,,216.492,,,,0.033
43.0199999999968,,1102.0127147639178,,,,,,180.065,,,,,0.033
47.00999999999476,,468.9307701650357,,,,,,84.985,,,,,0.033
47.0199999999968,,,371.719477305797,,,,,,96.389,,,,0.033
49.00999999999476,,353.7461430595553,,,,,,134.795,,,,,0.033
53.00999999999476,,,,714.4389247104451,,,,,,139.31,,,0.033
56.00999999999476,106.27865566249513,292.9733552328323,,,,,90.533,88.084,,,,,0.033
59.00999999999476,,,1170.7959136823893,,,,,,1152.728,,,,0.033
