relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-93.65099999999802,73.70777703204205,,,,,,55.536,,,,,,0.008
-74.77999999999884,,,,,,410.3228584901334,,,,,,111.785,0.008
-19.830999999998312,,286.60548966928013,,,,,,160.518,,,,,0.008
-0.8960000000006403,,,,,,427.8010953642047,,,,,,108.323,0.008
0.0,,,,,,532.7034032776493,,,,,,72.522,0.008
0.04200000000128057,,,,,484.83754514494416,,,,,,68.482,,0.008
1.021999999997206,,,,,742.0482894305262,,,,,,63.153,,0.008
1.9629999999961,,,,,,718.2242971607841,,,,,,70.856,0.008
2.044000000001688,,,,,851.2822519380031,,,,,,60.55,,0.008
2.9989999999961583,,,,,,781.5927975227077,,,,,,69.931,0.008
3.021999999997206,,,,,915.359736456037,,,,,,61.625,,0.008
3.169000000001688,1102.9164472171944,,,,,,152.956,,,,,,0.008
3.1789999999964493,,735.9979162352817,,,,,,169.94,,,,,0.008
4.028999999994994,,,,,1163.5267532027756,,,,,,101.941,,0.008
4.0460000000020955,,,,,,929.931201248619,,,,,,79.518,0.008
4.97099999999773,,,,,1093.449328656718,,,,,,69.221,,0.008
5.030999999995402,,,,,,990.1394982597006,,,,,,77.683,0.008
5.9870000000009895,,,,,1269.4601372879074,,,,,,68.327,,0.008
6.063999999998487,,,,,,1101.0446509771348,,,,,,67.564,0.008
7.9870000000009895,,,,,1259.5726681826231,,,,,,88.051,,0.008
8.070999999996275,,,,,,1272.7233403293785,,,,,,84.158,0.008
8.998999999996158,,,,,1209.2528586507217,,,,,,111.129,,0.008
9.063999999998487,,,,,,1275.561870948899,,,,,,106.826,0.008
9.099000000001979,1590.3579607658503,,1067.6766984679389,,,,80.743,,79.317,,,,0.008
9.956999999994878,,,,,1401.1347722303599,,,,,,126.615,,0.008
10.94199999999546,,,,,1352.6420504141931,,,,,,171.245,,0.008
10.98399999999674,,,,,,1256.4218295810679,,,,,,133.283,0.008
13.889999999999418,,,,,1206.2691928215684,,,,,,237.018,,0.008
16.92899999999645,,,,,1206.4770711785177,,,,,,90.538,,0.008
18.016999999999825,,,,,,1266.678359480711,,,,,,105.895,0.008
18.059000000001106,,,1028.525933206678,,,,,,81.323,,,,0.008
18.068999999995867,,1194.6608621762016,,,,,,78.427,,,,,0.008
20.138999999995576,880.2987064507375,,,,,,125.405,,,,,,0.008
20.148999999997613,,,829.6711164277004,,,,,,94.383,,,,0.008
21.968999999997322,1123.4026982717778,,,,,,67.709,,,,,,0.008
21.97899999999936,,,,243.43198811509043,,,,,,113.303,,,0.008
22.987999999997555,,,,,875.2218903684311,,,,,,68.193,,0.008
25.068999999995867,526.0671248697083,,,,,,83.983,,,,,,0.008
25.078999999997905,,,592.1522824014851,,,,,,102.42,,,,0.008
28.995999999999185,,,,,471.2632922384729,,,,,,61.556,,0.008
29.97899999999936,476.5790553538664,,762.5597199358979,,,,64.033,,62.837,,,,0.008
31.932999999997264,,,,,301.27484188948813,,,,,,60.005,,0.008
34.97799999999552,,,,,,601.951423434749,,,,,,64.161,0.008
37.059000000001106,228.79052572775475,,505.1339061944987,,,,98.174,,103.507,,,,0.008
46.90299999999843,,,,,,366.403739726481,,,,,,104.692,0.008
47.04899999999907,,395.26531146438356,,,,,,75.558,,,,,0.008
49.927999999999884,,,,,,195.63868314786293,,,,,,58.339,0.008
52.10899999999674,,,95.54660703601675,,,,,,102.395,,,,0.008
54.97899999999936,301.17644348439075,332.43122510418544,,,,,59.281,67.261,,,,,0.008
56.90899999999965,,,,,,210.7942990226162,,,,,,67.334,0.008
59.91599999999744,,,,,,199.74848906656766,,,,,,56.082,0.008
63.96899999999732,273.70806394945777,,,,,,104.841,,,,,,0.008
63.97899999999936,,,75.07276869616854,,,,,,86.29,,,,0.008
65.96899999999732,,,,229.4811457085446,,,,,,108.976,,,0.008
67.96899999999732,,209.8661337838801,,,,,,73.474,,,,,0.008
67.97899999999936,,,302.32527585994586,,,,,,76.072,,,,0.008
77.95899999999529,,200.19409911449995,,,,,,67.779,,,,,0.008
79.97899999999936,,,185.90731960596202,,,,,,60.437,,,,0.008
84.95899999999529,,468.8363651912015,,,,,,184.296,,,,,0.008
88.96899999999732,,,85.1971273878498,,,,,,69.579,,,,0.008
