relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-117.59700000000157,97.27760020434748,,,,,,89.13,,,,,,0.019
-88.63700000000244,62.90252314435018,,,,,,42.192,,,,,,0.019
-10.847000000001572,,87.44013228209967,,,,,,78.668,,,,,0.019
-10.836999999999534,,,,281.746907965179,,,,,,144.168,,,0.019
0.0,,,,,535.5087708643368,,,,,,74.108,,0.019
0.005999999993946403,,,,,,429.83741479470615,,,,,,90.422,0.019
0.9809999999997672,,,,,607.9516407701649,,,,,,68.241,,0.019
2.9830000000001746,,,,,1004.403648882855,,,,,,75.384,,0.019
4.9979999999995925,,,,,1419.5284618723886,,,,,,94.782,,0.019
5.958999999995285,,,,,,1635.6031661239942,,,,,,87.375,0.019
5.98399999999674,,,,,1772.1554304029346,,,,,,89.262,,0.019
11.94199999999546,,,,,3120.491732194356,,,,,,269.636,,0.019
13.08299999999872,,2352.235048790469,1487.723309097101,,,,,107.913,86.411,,,,0.019
14.922999999995227,,,,,3334.1006305012816,,,,,,385.936,,0.019
17.072999999996682,,,,734.9156597522739,,,,,,162.832,,,0.019
17.922999999995227,,,,,2781.21159434499,,,,,,77.555,,0.019
18.002000000000407,,,,,,2422.378222354591,,,,,,80.543,0.019
22.922999999995227,,,,,2289.780933110971,,,,,,74.605,,0.019
24.042999999997846,1790.0069380895736,1874.1335367762388,,,,,67.212,57.127,,,,,0.019
29.062999999994645,820.5106386960684,1355.8549349269,,,,,68.74,72.797,,,,,0.019
29.92899999999645,,,,,1390.442138236382,,,,,,81.387,,0.019
29.973999999994703,,,,,,1452.293069728644,,,,,,92.263,0.019
32.01299999999901,,,908.6813287140328,,,,,,57.06,,,,0.019
32.02299999999377,1061.3663326879773,,,,,,57.156,,,,,,0.019
32.95499999999447,,,,,1072.983540450026,,,,,,89.606,,0.019
32.96600000000035,,,,,,1361.1358075357095,,,,,,93.626,0.019
35.94799999999668,,,,,902.2909301886192,,,,,,110.277,,0.019
36.0,,,,,,1145.6771650506848,,,,,,153.305,0.019
42.98999999999796,,,,,,980.1721217638154,,,,,,234.838,0.019
45.02299999999377,,790.2013796446702,702.1250204578894,,,,,65.073,89.947,,,,0.019
48.99099999999453,,,,,,699.9948962701324,,,,,,133.23,0.019
51.9739999999947,,,,,,525.830617338092,,,,,,118.606,0.019
58.99699999999575,,,,,,502.401062555465,,,,,,148.372,0.019
61.03299999999581,239.50779800353598,,329.81921419842786,,,,49.107,,56.062,,,,0.019
