relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-5.748999999996158,42.14879255197205,,110.76311278377905,,,,46.147,,66.87,,,,0.01
-0.9470000000001164,,,,,290.63913487357246,,,,,,69.34,,0.01
0.0,,,,,520.9056136135913,,,,,,64.326,,0.01
1.0020000000004075,,,,,,371.1727012145304,,,,,,62.104,0.01
1.9700000000011642,,,,,450.22922645086777,,,,,,60.352,,0.01
1.9840000000040163,,,,,,371.5079617208879,,,,,,86.133,0.01
4.081000000005588,606.5645929623853,,479.81949136581363,,,,49.977,,54.863,,,,0.01
5.011000000005879,,,,,472.3058711430367,,,,,,68.901,,0.01
5.081000000005588,,,,,,444.7603128507242,,,,,,60.175,0.01
7.081000000005588,752.6129922354216,,,,,,87.968,,,,,,0.01
7.091000000000349,,,,445.0798781308886,,,,,,157.139,,,0.01
8.010000000002037,,,,,624.8459337192526,,,,,,131.678,,0.01
9.09100000000035,,485.29970282358295,,217.74587582584388,,,,75.987,,101.007,,,0.01
12.131000000001222,,,,411.25732347865846,,,,,,124.02,,,0.01
12.14100000000326,,428.42208454265074,,,,,,124.896,,,,,0.01
13.14100000000326,,,126.61229081907041,,,,,,164.578,,,,0.01
14.049000000006345,,,,,1038.4469525688107,,,,,,336.438,,0.01
15.001000000003842,,,,,,603.9107516789034,,,,,,117.764,0.01
16.93800000000192,,,,,359.8002674731827,,,,,,45.808,,0.01
16.965000000003783,,,,,,425.50352882814747,,,,,,57.404,0.01
20.991000000001804,276.95015783137734,,368.6198265835023,,,,45.144,,60.616,,,,0.01
21.915000000000873,,,,,200.09653180365396,,,,,,52.96,,0.01
24.09100000000035,228.40522086947254,238.01875388731523,,,,,66.205,74.728,,,,,0.01
27.92000000000553,,,,,,312.7670097921595,,,,,,69.482,0.01
28.991000000001804,97.68750914348972,,,,,,68.547,,,,,,0.01
29.00100000000384,,319.9317393075288,,,,,,60.993,,,,,0.01
33.96700000000419,,,,,,244.80122016535097,,,,,,65.09,0.01
34.06100000000151,75.3309888668059,327.5423844323203,,,,,45.697,47.675,,,,,0.01
36.07100000000355,99.09784554425731,,,,,,61.6,,,,,,0.01
40.09100000000035,,,,251.3190195534802,,,,,,230.236,,,0.01
41.991000000001804,,309.8729504327875,,,,,,112.02,,,,,0.01
48.12100000000646,,154.27606002663316,464.90854396606244,,,,,100.94,151.648,,,,0.01
52.02100000000064,,,111.11927408794291,,,,,,60.687,,,,0.01
57.050999999999476,,,164.65438851867444,,,,,,69.742,,,,0.01
65.9910000000018,,,76.1991846202666,,,,,,48.049,,,,0.01
75.05099999999948,,,106.83109198581015,,,,,,96.143,,,,0.01
80.9910000000018,,,58.53561914119197,,,,,,65.184,,,,0.01
89.03100000000268,,70.65111461063707,,,,,,69.814,,,,,0.01
95.00100000000384,,,151.31156846097036,,,,,,201.203,,,,0.01
101.00100000000384,,,,112.07878077294447,,,,,,137.554,,,0.01
103.00100000000384,,,149.23565685955822,,,,,,92.924,,,,0.01
116.96100000000297,133.6355777985386,,,,,,81.107,,,,,,0.01
130.95100000000093,,,,259.39344477081715,,,,,,204.338,,,0.01
140.95100000000093,200.287414357395,,,,,,117.02,,,,,,0.01
