relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-136.57700000000477,,,,208.97695270872342,,,,,,106.01,,,0.01
-126.72300000000541,,,,,,551.5035329582455,,,,,,153.193,0.01
-124.57700000000477,,,113.9227723535755,,,,,,115.517,,,,0.01
-117.72200000000157,,,,,,291.64663264628024,,,,,,92.812,0.01
-99.70700000000215,,212.8943074898802,,,,,,187.473,,,,,0.01
-96.73700000000099,,,,111.30722909157915,,,,,,124.779,,,0.01
-92.87400000000343,,,,,,328.8191586660033,,,,,,93.645,0.01
-86.875,,,,,,439.0712317891376,,,,,,121.688,0.01
-84.85599999999977,,,,,,695.5900136026163,,,,,,170.78,0.01
-79.94400000000314,,,,,,709.4660734490835,,,,,,225.72,0.01
-70.90000000000146,,,,,,283.0147093622214,,,,,,80.003,0.01
-67.86700000000565,,,,,,399.628454068956,,,,,,101.669,0.01
-13.847000000001572,,204.71846983059586,,,,,,238.276,,,,,0.01
-7.995000000002619,,,,,,428.90373260558897,,,,,,102.276,0.01
-1.9650000000037835,,,,,297.606234401941,,,,,,66.996,,0.01
-0.963000000003376,,,,,285.8271778150373,,,,,,69.796,,0.01
0.0,,,,,,650.1084077494011,,,,,,110.944,0.01
0.01999999999679858,,,,,246.6711570270207,,,,,,75.313,,0.01
1.0,,,,,,948.8513877802503,,,,,,81.62,0.01
1.032999999995809,,,,,479.64359374697744,,,,,,71.797,,0.01
1.9949999999953434,,,,,,1405.4782669485946,,,,,,94.74,0.01
2.0579999999972642,,,,,891.9392412668268,,,,,,173.587,,0.01
2.9869999999937136,,,,,,2119.8883981118033,,,,,,113.824,0.01
3.0419999999940046,,,,,1743.5839731820006,,,,,,89.553,,0.01
3.995999999999185,,,,,,2680.732661288845,,,,,,104.317,0.01
4.046999999998661,,,,,2403.422049102661,,,,,,101.205,,0.01
6.995999999999185,,,,,,5001.53626538193,,,,,,155.548,0.01
7.069999999999709,,,,,4613.357352522923,,,,,,214.238,,0.01
8.049999999995634,,,,,5288.867051144647,,,,,,181.816,,0.01
9.09299999999348,,5698.34690132074,5272.994565842692,,,,,125.267,124.178,,,,0.01
10.007999999994354,,,,,6329.2879299281085,,,,,,192.276,,0.01
10.047999999995227,,,,,,6856.896880695046,,,,,,192.376,0.01
10.132999999994354,,6322.851887150667,,4589.679097820191,,,,156.681,,164.267,,,0.01
11.05399999999645,,,,,6560.815755709853,,,,,,249.598,,0.01
12.182999999997264,,7024.693027550839,,4848.474361918202,,,,197.971,,295.668,,,0.01
12.977999999995518,,,,,7774.287919986699,,,,,,214.647,,0.01
14.007999999994354,,,,,7568.625899125556,,,,,,109.88,,0.01
14.020999999993364,,,,,,8067.543264245311,,,,,,144.105,0.01
16.00999999999476,,,,,7742.100022547702,,,,,,107.811,,0.01
16.023999999997613,,,,,,8527.004336397955,,,,,,118.019,0.01
16.98899999999412,,,,,7590.630876372173,,,,,,105.24,,0.01
17.050999999999476,,,,,,8388.759045748611,,,,,,150.555,0.01
21.08299999999872,6724.697990850289,,,,,,108.477,,,,,,0.01
21.09299999999348,,,,4586.890967565586,,,,,,165.979,,,0.01
22.00199999999313,,,,,6825.5757759943635,,,,,,109.194,,0.01
22.05899999999383,,,,,,8516.380510414087,,,,,,139.267,0.01
28.000999999996566,,,,,4912.593509400862,,,,,,98.514,,0.01
28.04599999999482,,,,,,5816.306215221426,,,,,,128.725,0.01
28.09299999999348,4588.110721655177,,3502.0069033773725,,,,102.546,,105.815,,,,0.01
32.00399999999354,,,,,3108.9133116610105,,,,,,114.94,,0.01
32.05399999999645,,,,,,5096.935470269705,,,,,,143.414,0.01
34.99399999999878,,,,,,4484.352439875421,,,,,,169.96,0.01
35.0309999999954,,,,,2078.3620639508003,,,,,,234.928,,0.01
36.10299999999552,2059.392030672452,,3257.705688814125,,,,104.736,,101.36,,,,0.01
40.99699999999575,,,,,1720.9247745395537,,,,,,239.185,,0.01
41.06899999999587,,,,,,4454.582548616446,,,,,,302.562,0.01
49.03799999999319,,,,,614.6333227279997,,,,,,175.723,,0.01
52.008999999998196,,,,,,2507.600617639975,,,,,,163.369,0.01
54.01199999999517,,,,,,2504.323549665795,,,,,,129.977,0.01
56.00199999999313,,,,,,2117.5239837382633,,,,,,171.53,0.01
58.0109999999986,,,,,,2152.5400810689453,,,,,,166.086,0.01
60.00299999999697,,,,,,1734.4847162061126,,,,,,181.642,0.01
62.000999999996566,,,,,,1694.9239764559163,,,,,,228.951,0.01
62.99899999999616,,,,,,1962.4039142689196,,,,,,315.853,0.01
