relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-28.900000000001455,139.226575459618,,,,,,66.909,,,,,,0.021
-24.880000000004657,295.3456121296006,,,,,,118.459,,,,,,0.021
-14.900000000001455,,,,278.98299640598975,,,,,,164.304,,,0.021
-4.989999999997963,216.0514466741413,,,,,,69.261,,,,,,0.021
-4.980000000003201,,,,181.33261722409898,,,,,,112.898,,,0.021
-1.9500000000043656,219.31237390804458,,,,,,58.052,,,,,,0.021
-1.9400000000023283,,,182.70318374309076,,,,,,70.46,,,,0.021
0.0,382.26863103490194,480.86440593493825,,,,,74.491,58.488,,,,,0.021
5.989999999997963,1307.5030999833396,1087.0562440262295,,,,,55.974,70.469,,,,,0.021
8.010000000002037,1513.3019339924654,,944.9043648934381,,,,68.916,,72.068,,,,0.021
10.019999999996799,1608.7376892557456,,1103.8880532696699,,,,80.808,,81.92,,,,0.021
12.010000000002037,,1590.2890267492758,1146.5543072683702,,,,,55.275,70.567,,,,0.021
12.989999999997963,,1303.4807454010502,,,,,,87.972,,,,,0.021
13.0,,,,678.7240212528777,,,,,,152.43,,,0.021
14.970000000001164,,1557.333343931844,1190.6157646812408,,,,,116.307,99.77,,,,0.021
19.909999999996217,,1357.164429352816,,607.4762080424574,,,,54.348,,90.193,,,0.021
23.010000000002037,1254.52697718703,,,,,,67.461,,,,,,0.021
23.0199999999968,,,,334.754685663932,,,,,,114.56,,,0.021
32.90999999999622,330.46064960626404,,584.1099486187082,,,,92.834,,79.012,,,,0.021
37.88999999999942,,,,472.091260987345,,,,,,86.116,,,0.021
48.87999999999738,,358.36060566948277,422.9136439730149,,,,,43.671,63.328,,,,0.021
55.87999999999738,,,226.16091744811973,,,,,,60.765,,,,0.021
67.81999999999971,56.788404174365816,,,313.3145668873331,,,50.364,,,88.265,,,0.021
70.79999999999563,,,,254.71939854713966,,,,,,191.34,,,0.021
84.80999999999767,,,128.08382272469686,,,,,,110.182,,,,0.021
88.84999999999854,213.38048982795084,142.39532540978024,,,,,77.8,86.489,,,,,0.021
89.91999999999825,,,128.96658711537285,,,,,,64.71,,,,0.021
93.80999999999767,,74.62605832977046,,,,,,49.127,,,,,0.021
98.90999999999622,,90.55903441082347,,91.04304698029738,,,,64.021,,105.212,,,0.021
101.90999999999622,,,108.35492032015335,,,,,,61.811,,,,0.021
110.90999999999622,140.91174542161207,,,,,,65.908,,,,,,0.021
121.83999999999651,75.71250886532673,,,,,,80.377,,,,,,0.021
121.84999999999854,,179.12670952382373,,,,,,70.804,,,,,0.021
137.8399999999965,,,350.091287035018,,,,,,104.26,,,,0.021
145.77999999999884,90.34162913373875,58.069928653145325,,,,,57.316,47.699,,,,,0.021
147.7699999999968,52.2960478402912,,,,,,53.537,,,,,,0.021
153.76000000000204,135.2780645556713,,76.14076267921016,,,,89.448,,87.291,,,,0.021
157.76000000000204,,78.57199720223807,,,,,,94.899,,,,,0.021
160.76000000000204,,304.4804129110188,,178.30841688007635,,,,92.118,,131.477,,,0.021
170.76000000000204,,,,120.51613358696859,,,,,,142.309,,,0.021
175.76000000000204,,280.74698296836067,,,,,,151.937,,,,,0.021
193.72999999999593,,,,215.53140287073205,,,,,,160.002,,,0.021
