relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-17.83400000000256,,,348.22223852923116,,,,,,157.109,,,,0.031
-7.8840000000054715,75.33540413903725,,,,,,93.757,,,,,,0.031
-2.8840000000054715,164.67114404226783,,131.0141507951423,,,,37.635,,44.745,,,,0.031
0.0,,,,,429.92248686976774,,,,,,74.678,,0.031
1.0230000000010477,,,,,567.921726415542,,,,,,66.806,,0.031
1.069999999999709,,,,,,609.7190597449951,,,,,,75.387,0.031
3.9569999999948777,,,,,712.135326004469,,,,,,73.845,,0.031
4.024999999994179,,,,,,835.4907415699929,,,,,,81.933,0.031
5.085999999995693,664.4131457818462,,,,,,40.658,,,,,,0.031
5.09599999999773,,819.8168012519509,,,,,,46.67,,,,,0.031
6.960999999995693,,,,,882.6843873514827,,,,,,111.34,,0.031
7.060999999994237,,,,,,818.5681210614318,,,,,,76.195,0.031
7.085999999995693,872.8942607252973,,,782.8374869358727,,,99.414,,,134.848,,,0.031
9.105999999999767,,890.4785866602186,724.0596823032089,,,,,76.237,84.272,,,,0.031
9.935999999994237,,,,,942.4302366083197,,,,,,197.842,,0.031
15.913999999997031,,,,,581.0797759304883,,,,,,136.43,,0.031
15.980999999999767,,,,,,958.9062500785265,,,,,,150.871,0.031
16.015999999995984,,823.094187671843,,,,,,122.114,,,,,0.031
16.02599999999802,,,680.2422758696082,,,,,,151.659,,,,0.031
21.95499999999447,,,,,,707.8973846925742,,,,,,67.603,0.031
27.036000000000058,168.10606758355806,,743.4360328812667,,,,44.235,,43.492,,,,0.031
27.95799999999872,,,,,,546.1097063329373,,,,,,76.544,0.031
28.95499999999447,,,,,,416.08946201824426,,,,,,79.051,0.031
31.92199999999866,,,,,,549.7139065489902,,,,,,77.123,0.031
31.9629999999961,,,,,219.5453693348138,,,,,,66.934,,0.031
34.005999999993946,135.94622160252743,469.4119011138583,,,,,49.116,94.835,,,,,0.031
34.93899999999849,,,,,,427.88704767301044,,,,,,69.953,0.031
37.924999999995634,,,,,,664.8237457749418,,,,,,147.749,0.031
43.96600000000035,,329.9669634848249,,,,,,85.42,,,,,0.031
53.945999999996275,60.78605734709492,,,,,,59.0,,,,,,0.031
53.95599999999831,,,215.95299507570408,,,,,,81.422,,,,0.031
55.87799999999697,,,,,,386.7644795077447,,,,,,66.974,0.031
57.945999999996275,,187.63844226901824,,,,,,42.849,,,,,0.031
57.95599999999831,135.75767236067423,,,,,,34.862,,,,,,0.031
63.93599999999424,,,249.3105922982581,,,,,,61.22,,,,0.031
64.87900000000081,,,,,,354.97147587459324,,,,,,102.744,0.031
