relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-80.7960000000021,100.17209551838467,,,83.67898928827088,,,66.234,,,88.133,,,0.028
-21.885999999998603,,,113.87643581204173,,,,,,79.765,,,,0.028
-3.9460000000035507,204.21153426208366,,,,,,38.591,,,,,,0.028
-3.9360000000015134,,,209.47841602003203,,,,,,43.296,,,,0.028
0.0,,,,,1767.8935144972709,,,,,,78.511,,0.028
0.9799999999959255,,,,,,2145.0477042420725,,,,,,72.389,0.028
3.013999999995576,3802.8402886066,,2752.629909470453,,,,67.226,,72.485,,,,0.028
3.9539999999979045,,,,,4282.975424951995,,,,,,86.958,,0.028
6.0239999999976135,,,3529.243344004083,,,,,,119.589,,,,0.028
7.993999999998778,6428.830025678243,,,3206.3227004468804,,,103.022,,,115.061,,,0.028
14.992999999994936,,,,,,6670.525378692715,,,,,,146.677,0.028
18.114000000001397,,5858.900123046651,,2491.103992873768,,,,87.626,,115.882,,,0.028
20.98399999999674,5470.481072214071,,3055.889475610708,,,,85.91,,71.604,,,,0.028
23.98399999999674,4666.186780824046,5080.255940253274,,,,,82.469,88.007,,,,,0.028
26.973999999994703,,,2045.2132686471136,,,,,,79.967,,,,0.028
29.05399999999645,3285.4343460177897,3662.809363508403,,,,,91.967,75.108,,,,,0.028
35.05399999999645,1959.2035447057215,,,1223.661533761024,,,64.703,,,88.875,,,0.028
43.04399999999441,,2604.6621570892667,1834.8412387835463,,,,,126.73,90.336,,,,0.028
46.99399999999878,,2093.456995418822,,1564.8128971996352,,,,65.957,,101.295,,,0.028
50.98399999999674,635.1326139570248,,1570.7484208806943,,,,61.866,,59.979,,,,0.028
53.98399999999674,655.4641662454745,,1336.411578870045,,,,52.859,,63.866,,,,0.028
57.890999999995984,,,,,571.1530422757918,,,,,,64.253,,0.028
57.9739999999947,489.174995875911,1311.1643386131218,,,,,47.917,53.742,,,,,0.028
58.9739999999947,582.4579058759476,,1159.5925961774399,,,,46.476,,54.015,,,,0.028
69.9739999999947,,,548.1874648205849,,,,,,74.162,,,,0.028
69.98399999999674,,721.3882474292694,,,,,,86.0,,,,,0.028
75.01399999999558,,,,230.71534333301,,,,,,135.016,,,0.028
75.02399999999761,,701.468540852471,,,,,,79.226,,,,,0.028
76.98399999999674,,675.5050809849807,576.226568052176,,,,,100.248,95.222,,,,0.028
78.98399999999674,404.57549025571143,,,418.91875858087417,,,46.689,,,92.64,,,0.028
80.98399999999674,414.06376760095316,,331.00779859081234,,,,63.0,,64.73,,,,0.028
84.9739999999947,,595.5185649221356,,,,,,49.141,,,,,0.028
84.98399999999674,370.4754494089946,,,,,,55.93,,,,,,0.028
88.9739999999947,287.347335021595,,375.7871978196332,,,,68.705,,72.169,,,,0.028
