relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-115.66800000000512,,1046.0479125526465,,,,,,832.448,,,,,0.023
-72.7980000000025,,,,163.93472996171974,,,,,,118.868,,,0.023
-13.88799999999901,,,81.37231121251352,,,,,,75.674,,,,0.023
-1.0030000000042492,,,,,306.4315982715725,,,,,,65.754,,0.023
-0.020000000004074536,,,,,,358.6036963524633,,,,,,76.916,0.023
0.0,,,,,421.20793011993067,,,,,,65.545,,0.023
0.16199999999662396,424.82078457833427,,,,,,61.232,,,,,,0.023
0.17199999999866122,,,,441.7786230796089,,,,,,96.9,,,0.023
0.9470000000001164,,,,,567.6428398020585,,,,,,62.727,,0.023
1.0,,,,,,399.7198454627629,,,,,,74.917,0.023
4.051999999996042,767.3796647240313,,,,,,48.637,,,,,,0.023
4.061999999998079,,,607.8299605515762,,,,,,51.467,,,,0.023
6.935999999994237,,,,,958.0778722083439,,,,,,76.178,,0.023
6.97899999999936,,,,,,809.4631653041214,,,,,,84.039,0.023
7.973999999994703,,,,,939.061612751941,,,,,,70.949,,0.023
8.966999999996915,,,,,,859.1121404341017,,,,,,71.058,0.023
9.044999999998254,,,,,1061.1767386349895,,,,,,74.281,,0.023
9.952999999994063,,,,,953.5745213234204,,,,,,63.648,,0.023
9.990999999994528,,,,,,922.2461826484305,,,,,,73.818,0.023
10.969999999993888,,,,,1296.8478790614336,,,,,,211.714,,0.023
11.011999999995169,964.206534961328,,701.3699675305896,,,,50.993,,62.702,,,,0.023
11.973999999994703,,,,,970.6294057343033,,,,,,83.188,,0.023
12.041999999994005,,,,,,894.3857701057229,,,,,,78.373,0.023
13.0,,,,,942.5177709322599,,,,,,72.283,,0.023
13.07499999999709,,,,,,868.7970277761658,,,,,,71.431,0.023
15.892999999996391,,,,,,967.0824621696938,,,,,,119.171,0.023
15.99199999999837,841.419482197834,,,487.8540424794553,,,70.666,,,85.64,,,0.023
15.997999999999593,,,,,681.8100686357423,,,,,,129.805,,0.023
18.909999999996217,,,,,1142.240221477037,,,,,,273.683,,0.023
24.953999999997905,,,,,,647.2312961581334,,,,,,65.859,0.023
26.11200000000099,,525.5547684433789,,188.1713150762562,,,,59.813,,123.723,,,0.023
28.971999999994296,381.1305539154123,,,,,,44.305,,,,,,0.023
28.981999999996333,,,399.5499045043594,,,,,,52.39,,,,0.023
29.90899999999965,,,,,302.77170199449085,,,,,,61.556,,0.023
31.981999999996333,252.4010077799106,410.00001766181725,,,,,60.283,56.909,,,,,0.023
34.971999999994296,206.8793272243982,,330.64300152213394,,,,43.312,,47.669,,,,0.023
35.93099999999686,,,,,,447.6315337535436,,,,,,69.278,0.023
37.05199999999604,165.2116824393193,348.97756459250263,,,,,79.906,58.012,,,,,0.023
41.9519999999975,,,,,,289.6520148970287,,,,,,68.071,0.023
51.03199999999924,,288.1409366969059,,,,,,103.452,,,,,0.023
51.041999999994005,,,250.39804205186692,,,,,,94.381,,,,0.023
54.99199999999837,,89.4473696990483,,312.7759126243522,,,,54.682,,96.179,,,0.023
58.98199999999633,118.70624548513366,,209.94245746214534,,,,56.541,,52.451,,,,0.023
61.98199999999633,73.05930066809977,,,,,,71.573,,,,,,0.023
65.9719999999943,75.78055876322232,150.24809954972224,,,,,52.362,41.754,,,,,0.023
66.9719999999943,89.97969475241536,,130.45322963072505,,,,56.933,,50.655,,,,0.023
83.01199999999517,,,,359.69358974122355,,,,,,161.435,,,0.023
84.98199999999633,,,119.34314177754219,,,,,,99.164,,,,0.023
86.98199999999633,63.49602221952622,,,,,,53.016,,,,,,0.023
88.98199999999633,,,56.37279187567857,,,,,,56.335,,,,0.023
92.9719999999943,,47.215431497104994,,,,,,49.783,,,,,0.023
92.98199999999633,41.35124453830472,,,,,,44.846,,,,,,0.023
96.9719999999943,83.6365717164035,,132.52160258718285,,,,65.426,,69.109,,,,0.023
