relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-256.2910000000047,,,,,,295.2405535965824,,,,,,90.632,0.016
-89.80999999999767,,,,67.98857559137706,,,,,,88.931,,,0.016
-72.81999999999971,,,,120.85665226426345,,,,,,110.318,,,0.016
-8.950000000004366,,,,421.10451480603194,,,,,,130.541,,,0.016
-5.880000000004657,,,,728.0963386327226,,,,,,511.982,,,0.016
-2.006999999997788,,,,,,389.9412306392796,,,,,,115.625,0.016
-1.0639999999984866,,,,,257.01263587777174,,,,,,68.429,,0.016
-0.14600000000064028,,,,,,325.3090721017467,,,,,,84.239,0.016
-0.0900000000037835,,,,,313.92026256514606,,,,,,70.362,,0.016
0.0,309.206369978498,,,,,,45.594,,,,,,0.016
0.010000000002037268,,289.62141392012,,,,,,52.837,,,,,0.016
2.0499999999956344,444.07491963470903,,352.7323926775553,,,,47.24,,59.513,,,,0.016
3.9899999999979627,254.76377770787093,378.43708283007277,,,,,58.708,43.082,,,,,0.016
4.947999999996682,,,,,,393.8976980361094,,,,,,109.589,0.016
5.8439999999973224,,,,,,421.26027167456846,,,,,,89.025,0.016
5.885000000002037,,,,,273.8303119931778,,,,,,64.547,,0.016
6.868999999998778,,,,,268.1243889100612,,,,,,60.775,,0.016
7.879999999997381,,,,,211.858483872435,,,,,,61.66,,0.016
7.896999999997206,,,,,,316.5047175315458,,,,,,74.805,0.016
8.860000000000582,,,,,,345.4526242086171,,,,,,75.858,0.016
8.942999999999302,,,,,290.4610788902106,,,,,,55.291,,0.016
9.019999999996799,118.50380835344917,178.54107479945583,,,,,119.098,81.077,,,,,0.016
9.888999999995576,,,,,,538.3288255272123,,,,,,120.444,0.016
9.945999999996275,,,,,222.798903454549,,,,,,59.661,,0.016
10.887000000002445,,,,,,389.84511784346773,,,,,,76.956,0.016
11.905999999995402,,,,,221.82074521172902,,,,,,59.108,,0.016
11.906999999999243,,,,,,371.1601566268861,,,,,,68.485,0.016
12.909999999996217,167.72989538703905,,,174.9340826130727,,,115.808,,,146.461,,,0.016
13.915999999997439,,,,,,360.82855916938786,,,,,,70.478,0.016
14.913000000000466,,,,,,311.9229888696538,,,,,,97.142,0.016
15.959999999999127,316.8364978611046,,,,,,111.85,,,,,,0.016
15.970000000001164,,,,107.72754891694579,,,,,,103.045,,,0.016
17.94999999999709,,,,197.06637938714627,,,,,,122.126,,,0.016
18.959999999999127,,202.4040157995832,321.241293635641,,,,,86.174,79.195,,,,0.016
23.826999999997497,,,,,,320.23621761510145,,,,,,86.771,0.016
24.78299999999581,,,,,,329.7566653233297,,,,,,76.518,0.016
25.989999999997963,,,107.03107212247295,,,,,,56.339,,,,0.016
29.81699999999546,,,,,,255.36536136489275,,,,,,79.365,0.016
30.919999999998254,85.9979656084415,,152.96587470222454,,,,74.178,,66.068,,,,0.016
34.80999999999767,,,,,,272.3794385927438,,,,,,75.249,0.016
35.81100000000151,,,,,,273.8517598824343,,,,,,73.481,0.016
35.81999999999971,69.53300833044838,,169.6183974910425,,,,42.162,,34.788,,,,0.016
40.86000000000058,,,141.7747294934617,,,,,,47.319,,,,0.016
42.900000000001455,40.16128834767273,,145.69980541571178,,,,47.074,,56.509,,,,0.016
46.919999999998254,,125.7057111332325,,,,,,99.996,,,,,0.016
64.81999999999971,76.19684323082527,,102.2452970786815,,,,35.068,,38.696,,,,0.016
73.81999999999971,,,36.580226822688694,,,,,,48.526,,,,0.016
76.80999999999767,,111.11772557187864,,,,,,87.283,,,,,0.016
85.81999999999971,,,82.99628052416234,,,,,,48.063,,,,0.016
85.83000000000175,72.3675380719891,,,,,,49.327,,,,,,0.016
94.80999999999767,74.83390596768027,,39.98394736307324,,,,50.623,,47.822,,,,0.016
107.81999999999971,,193.12179077307357,,,,,,99.578,,,,,0.016
136.77999999999884,,133.11965211155564,,,,,,101.348,,,,,0.016
138.77999999999884,,100.71079147133567,,,,,,76.727,,,,,0.016
140.7699999999968,,70.3010674585526,,,,,,52.932,,,,,0.016
