relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-75.97500000000582,,,,,523.6310373497165,,,,,,158.06,,0.018
-36.87000000000262,,,95.60229386430541,,,,,,74.615,,,,0.018
-4.890000000006694,,197.14457131686632,,369.45392512591025,,,,111.651,,128.586,,,0.018
-2.0380000000004657,,,,,,416.28344518119906,,,,,,84.892,0.018
-0.0650000000023283,,,,,353.72371709313427,,,,,,78.561,,0.018
-0.04200000000128057,,,,,,362.13379061393937,,,,,,86.09,0.018
0.0,353.5522473864819,,,,,,57.776,,,,,,0.018
0.00999999999476131,,,,362.1716411538273,,,,,,96.372,,,0.018
0.841999999996915,,,,,,380.3821816660638,,,,,,77.75,0.018
0.8949999999967986,,,,,388.7092386977483,,,,,,84.559,,0.018
3.039999999993597,532.5356898154898,,347.55642978804093,,,,54.602,,54.989,,,,0.018
4.9799999999959255,358.9184160522651,,,,,,41.811,,,,,,0.018
4.989999999997963,,394.5061760192905,,,,,,39.737,,,,,0.018
6.836999999999534,,,,,,380.28647332138485,,,,,,84.885,0.018
6.884999999994761,,,,,397.93918172977607,,,,,,66.629,,0.018
6.989999999997963,,,382.38853726585575,,,,,,120.007,,,,0.018
7.0,614.9397780049716,,,,,,144.706,,,,,,0.018
7.903999999994994,,,,,361.5191431511553,,,,,,69.657,,0.018
8.88799999999901,,,,,352.98507126215475,,,,,,62.981,,0.018
9.852999999995518,,,,,,379.8430246577056,,,,,,63.342,0.018
9.927999999999884,,,,,364.9265121963235,,,,,,60.565,,0.018
10.91299999999319,,,,,,390.3890208152766,,,,,,60.535,0.018
10.938999999998487,,,,,336.8423213430222,,,,,,60.283,,0.018
11.894000000000233,,,,,,372.5000677687243,,,,,,69.757,0.018
11.894999999996799,,,,,280.32235256715404,,,,,,69.074,,0.018
12.91299999999319,,,,,,326.44946601340973,,,,,,54.797,0.018
12.97899999999936,,,,,278.37245276757676,,,,,,58.966,,0.018
13.0,292.418492109522,,419.0450608604169,,,,60.3,,68.266,,,,0.018
14.860999999997148,,,,,345.6299115045199,,,,,,77.339,,0.018
14.895999999993364,,,,,,357.7035576813549,,,,,,68.664,0.018
15.009999999994761,264.7476251481825,,325.5385753293197,,,,86.205,,63.383,,,,0.018
15.940999999998894,,,,,213.6720857421178,,,,,,60.167,,0.018
16.938999999998487,,,,,,303.8591063910158,,,,,,87.545,0.018
16.968999999997322,,,,,330.35830462051143,,,,,,62.913,,0.018
17.0,,234.96368218005404,422.1727787619206,,,,,67.314,74.291,,,,0.018
17.860999999997148,,,,,,436.1386729978783,,,,,,120.45,0.018
17.964999999996508,,,,,445.54845270564994,,,,,,123.927,,0.018
17.979999999995925,,257.96087361127644,,,,,,67.569,,,,,0.018
17.989999999997963,,,,166.72883462941803,,,,,,105.358,,,0.018
19.959999999999127,,200.21121131760873,,,,,,103.963,,,,,0.018
23.85899999999674,,,,,,412.8826086669395,,,,,,109.456,0.018
24.79699999999866,,,,,,213.81988599519272,,,,,,58.836,0.018
24.89999999999418,,329.40242093037523,,76.01806482513513,,,,41.879,,78.511,,,0.018
28.0,,,,250.7826291923289,,,,,,122.342,,,0.018
28.937999999994645,,,,,77.93130830862574,,,,,,21.3,,0.018
29.89999999999418,,,166.02805808133706,,,,,,44.317,,,,0.018
29.916999999994005,,,,,,190.86902494117464,,,,,,56.491,0.018
30.81999999999971,,,,,,271.69578544862054,,,,,,62.538,0.018
31.851999999998952,,,,,,249.75305229188763,,,,,,53.504,0.018
34.0399999999936,,,196.82333532797983,,,,,,62.074,,,,0.018
35.80599999999686,,,,,,206.42375780361195,,,,,,61.987,0.018
37.822000000000116,,,,,,240.3034483939169,,,,,,67.135,0.018
37.89999999999418,,,141.88240609279055,,,,,,105.424,,,,0.018
42.87999999999738,,,,162.98928340051054,,,,,,86.533,,,0.018
45.029999999998836,,,96.74358584684023,,,,,,48.848,,,,0.018
60.86999999999534,,,71.87456525091855,,,,,,66.266,,,,0.018
72.79999999999563,,,,141.78824214056957,,,,,,80.543,,,0.018
73.81999999999971,,,50.90925855185876,,,,,,39.767,,,,0.018
83.87999999999738,,,71.42362076957342,,,,,,75.411,,,,0.018
93.83999999999651,,139.21230881900334,,,,,,115.486,,,,,0.018
98.79999999999563,,52.411475752736045,,,,,,57.722,,,,,0.018
106.88999999999942,,107.91567724967098,,,,,,67.045,,,,,0.018
123.7899999999936,,,66.45291237909396,,,,,,46.504,,,,0.018
138.7899999999936,,271.53902479523737,,,,,,250.033,,,,,0.018
140.7899999999936,,121.45835182253104,,,,,,69.213,,,,,0.018
150.7699999999968,,89.70365459810309,,,,,,37.984,,,,,0.018
152.75999999999476,,,96.47941699735658,,,,,,62.61,,,,0.018
154.75999999999476,,60.6044860575436,,,,,,62.349,,,,,0.018
158.75,109.07244907116565,,,,,,91.401,,,,,,0.018
188.73999999999796,154.84683418916592,,,,,,118.619,,,,,,0.018
