relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-6.902999999998428,209.8936488888433,,208.50439971745743,,,,43.19,,60.122,,,,0.072
-2.9979999999995925,,,,,349.10198451327557,,,,,,88.096,,0.072
0.0,,,,,,685.33419840389,,,,,,92.529,0.072
0.02599999999802094,,,,,560.4802725845534,,,,,,82.272,,0.072
1.0970000000015716,765.7065208687064,699.0441232683976,,,,,75.323,56.858,,,,,0.072
5.016999999999825,905.1115887419771,,,,,,67.854,,,,,,0.072
5.027000000001863,,,,512.6277626471135,,,,,,120.96,,,0.072
6.076999999997497,1014.0897662878415,,,,,,77.161,,,,,,0.072
6.086999999999534,,,946.2783832603031,,,,,,90.94,,,,0.072
6.940999999998894,,,,,,1397.0964146735175,,,,,,171.693,0.072
11.919999999998254,,,,,,1382.0632015105973,,,,,,258.571,0.072
14.917999999997846,,,,,,1201.668480190137,,,,,,140.757,0.072
17.09700000000157,709.5944611043116,,,720.2667356981004,,,111.091,,,161.742,,,0.072
19.027000000001863,645.6715354632925,,899.2938558297632,,,,58.513,,71.76,,,,0.072
19.898999999997613,,,,,,1027.1553196809289,,,,,,83.12,0.072
22.10700000000361,640.641088542262,,536.9119255702501,,,,48.63,,95.106,,,,0.072
24.016999999999825,603.9334531083958,,,,,,49.43,,,,,,0.072
24.027000000001863,,634.0255567336648,,,,,,49.806,,,,,0.072
25.877999999996973,,,,,,809.971109372147,,,,,,79.074,0.072
25.9429999999993,,,,,513.2518172709626,,,,,,82.407,,0.072
27.997000000003027,,,660.7394055303579,,,,,,76.609,,,,0.072
28.006999999997788,260.16632007815576,,,,,,63.554,,,,,,0.072
28.87999999999738,,,,,,622.7676405502501,,,,,,72.44,0.072
28.919999999998254,,,,,312.040708517413,,,,,,81.238,,0.072
31.898999999997613,,,,,,573.9426288842391,,,,,,68.592,0.072
40.90699999999924,,297.47141032234214,,,,,,83.286,,,,,0.072
40.91700000000128,,,,438.97356789893803,,,,,,122.484,,,0.072
44.859000000004016,,,,,,416.4014608790812,,,,,,97.715,0.072
47.858000000000175,,,,,,487.1387715100836,,,,,,86.207,0.072
48.91700000000128,101.0922683396978,,,,,,86.783,,,,,,0.072
56.90699999999924,54.51579911056601,,,,,,51.065,,,,,,0.072
56.91700000000128,,197.50940934015378,,,,,,35.875,,,,,0.072
67.91700000000128,,301.53840457551286,,,,,,167.008,,,,,0.072
71.94700000000012,,,145.516309766594,,,,,,82.308,,,,0.072
73.92700000000332,,99.80671790228004,,127.90600492137297,,,,62.031,,141.481,,,0.072
76.90699999999924,122.05988338222318,,149.15719394207636,,,,48.387,,72.098,,,,0.072
80.92700000000332,63.05547562834069,219.58687012864254,,,,,59.688,42.567,,,,,0.072
84.91700000000128,,,76.2612728092244,,,,,,49.604,,,,0.072
94.91700000000128,,,231.5073948180527,,,,,,103.92,,,,0.072
103.8969999999972,,,98.73474660494568,,,,,,91.709,,,,0.072
105.90699999999924,182.36546615512313,,,257.98733837343326,,,70.197,,,115.342,,,0.072
113.88700000000244,,181.23194939129323,,,,,,69.799,,,,,0.072
