relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-99.73300000000017,,87.37877021340029,,,,,,65.968,,,,,0.009
-99.72299999999814,229.71275685577737,,,,,,76.358,,,,,,0.009
-90.74300000000221,310.7293501998355,,193.89747119340893,,,,111.026,,107.612,,,,0.009
-84.73300000000017,,106.61127258744199,,,,,,124.461,,,,,0.009
-38.84300000000076,125.16830258293554,153.44733942152877,,,,,71.115,68.053,,,,,0.009
-34.86300000000483,,570.6132683327055,,,,,,150.657,,,,,0.009
-25.893000000003667,,303.06717797225156,,,,,,127.725,,,,,0.009
-17.802999999999884,,732.18957811182,,,,,,156.74,,,,,0.009
-11.902999999998428,,274.89362539213454,,,,,,60.315,,,,,0.009
-9.863000000004831,124.76433773321003,,,,,,49.673,,,,,,0.009
-7.923000000002503,,114.09875093892518,,,,,,54.152,,,,,0.009
-6.080999999998312,,,,,,215.45085207852227,,,,,,66.382,0.009
-3.0540000000037253,,,,,,203.42573140916096,,,,,,63.088,0.009
-1.0950000000011642,,,,,198.32270793765434,,,,,,61.921,,0.009
-1.033000000003085,,,,,,199.58441638528902,,,,,,61.697,0.009
0.0,,,,,,293.1475068862024,,,,,,56.262,0.009
0.01999999999679858,,,,,283.38804804768307,,,,,,58.558,,0.009
1.9170000000012806,,,,,480.49425277850946,,,,,,77.561,,0.009
2.002999999996973,,,,,,620.9173790372308,,,,,,66.656,0.009
2.9839999999967404,,,,,575.602128177818,,,,,,83.401,,0.009
2.9949999999953434,,,,,,684.561523823353,,,,,,92.745,0.009
3.0270000000018626,668.6040777213358,,,,,,80.437,,,,,,0.009
3.036999999996624,,,675.1477115345134,,,,,,69.943,,,,0.009
3.889999999999418,,,,,820.9353819544781,,,,,,116.884,,0.009
4.010999999998603,,,,,,727.5729086101115,,,,,,137.115,0.009
4.046999999998661,799.3062865364805,,,,,,86.492,,,,,,0.009
4.0570000000006985,,,,440.66052293542197,,,,,,112.308,,,0.009
4.8620000000009895,,,,,893.6691996329084,,,,,,155.613,,0.009
4.936999999998079,,,,,,698.3634460460381,,,,,,125.137,0.009
5.987999999997555,,,,,910.1364244024131,,,,,,170.77,,0.009
6.036999999996624,,966.5782950358287,,735.2883924069116,,,,123.291,,169.074,,,0.009
6.907999999995809,,,,,1058.8327471117364,,,,,,201.925,,0.009
7.046999999998661,,1157.738826918034,935.9944416000321,,,,,94.532,84.897,,,,0.009
9.88300000000163,,,,,,1176.577776591068,,,,,,111.7,0.009
9.902000000001863,,,,,1433.514713401469,,,,,,166.865,,0.009
10.906999999999243,,,,,1140.6969780276436,,,,,,106.125,,0.009
10.921999999998661,,,,,,1061.0578325362537,,,,,,115.887,0.009
11.913000000000466,,,,,1180.778256230108,,,,,,97.994,,0.009
11.913999999997031,,,,,,1104.5796739503453,,,,,,90.134,0.009
12.879000000000815,,,,,,1254.7632322903764,,,,,,106.979,0.009
12.924999999995634,,,,,1164.6358408810663,,,,,,101.457,,0.009
14.076999999997497,1106.8430777963933,,732.1814586800632,,,,91.874,,82.347,,,,0.009
15.906999999999243,1155.6898478907542,,,389.9144947848767,,,60.256,,,99.33,,,0.009
16.898999999997613,,,,,,1130.8398315564928,,,,,,60.911,0.009
16.917999999997846,,,,,1171.4016823941045,,,,,,75.406,,0.009
17.911999999996624,,,,,,1268.6971513783114,,,,,,78.744,0.009
17.945999999996275,,,,,1091.714083160607,,,,,,70.051,,0.009
18.925999999999476,,,,,961.6769381022767,,,,,,60.098,,0.009
18.932999999997264,,,,,,1220.8915991966587,,,,,,60.349,0.009
18.99699999999575,1107.1903639044483,,,,,,72.378,,,,,,0.009
19.006999999997788,,,849.3878661189005,,,,,,77.263,,,,0.009
22.879000000000815,,,,,,1046.858888492309,,,,,,67.926,0.009
22.934000000001106,,,,,904.5625721776776,,,,,,66.821,,0.009
23.891999999999825,,,,,,948.079859363008,,,,,,68.016,0.009
23.947000000000116,,,,,732.8752581312507,,,,,,75.564,,0.009
24.913000000000466,,,,,,919.6283475486115,,,,,,80.381,0.009
25.915000000000873,,,,,,842.8247340323873,,,,,,48.297,0.009
25.924999999995634,,,,,680.7576459327659,,,,,,75.947,,0.009
26.888999999995576,,,,,,892.2420916858015,,,,,,58.359,0.009
26.925999999999476,,,,,709.0742860695341,,,,,,64.257,,0.009
27.90899999999965,,,,,,904.7281701580273,,,,,,58.49,0.009
27.945999999996275,,,,,681.0048279445647,,,,,,70.55,,0.009
28.894000000000233,,,,,,723.7749050576497,,,,,,74.464,0.009
28.898999999997613,,,,,524.9420727183285,,,,,,67.003,,0.009
28.93699999999808,489.97638599462266,,,,,,90.063,,,,,,0.009
29.91399999999703,,,,,,680.3314367823,,,,,,70.779,0.009
29.947999999996682,,,,,522.0708800110293,,,,,,70.812,,0.009
30.925999999999476,,,,,411.6520196660023,,,,,,132.657,,0.009
30.93000000000029,,,,,,649.5998853658145,,,,,,97.866,0.009
30.98700000000099,458.05388816312455,,336.59002489878293,,,,52.358,,58.502,,,,0.009
31.86699999999837,,,,,481.4451885346445,,,,,,101.007,,0.009
32.86999999999534,,,,,,674.3266106389425,,,,,,118.462,0.009
32.924999999995634,,,,,486.12530414647125,,,,,,121.147,,0.009
35.00699999999779,,978.3008464084918,,,,,,117.525,,,,,0.009
36.947000000000116,,345.15334380573853,600.7036626287434,,,,,132.357,137.923,,,,0.009
43.86200000000099,,,,,,592.072970303614,,,,,,56.693,0.009
43.91599999999744,,,,,213.42941022899373,,,,,,55.06,,0.009
46.036999999996624,312.737838700129,,553.9582366353911,,,,56.25,,76.308,,,,0.009
47.86000000000058,,,,,,460.4390964332229,,,,,,89.617,0.009
48.90699999999924,164.34670987085548,479.5980147726095,,,,,53.809,62.976,,,,,0.009
50.84399999999732,,,,,,358.5416413623946,,,,,,65.983,0.009
52.90699999999924,71.41006189216718,,340.25716938529877,,,,37.523,,55.552,,,,0.009
53.85199999999895,,,,,,365.32194908909474,,,,,,61.534,0.009
53.90699999999924,198.14269774521327,520.7597375081302,,,,,81.371,81.072,,,,,0.009
56.82299999999668,,,,,,464.1876011612161,,,,,,96.174,0.009
57.90699999999924,169.9321422318562,,390.05313136009346,,,,71.819,,93.424,,,,0.009
59.83999999999651,,,,,,379.3455847963792,,,,,,90.987,0.009
59.896999999997206,214.80521727381492,,,358.42666582132927,,,59.38,,,109.429,,,0.009
61.90699999999924,,359.7176639060724,177.25513653341176,,,,,65.15,59.979,,,,0.009
68.88699999999517,,,227.37311645896145,,,,,,54.246,,,,0.009
71.88699999999517,,302.00279155448277,,221.8889596249258,,,,61.465,,94.406,,,0.009
72.84999999999854,,,,,,271.8846681003726,,,,,,60.456,0.009
73.8179999999993,,,,,176.72594571668884,,,,,,57.236,,0.009
73.90699999999924,,,129.23179703201606,,,,,,61.408,,,,0.009
73.91700000000128,145.06357143191713,,,,,,47.85,,,,,,0.009
74.83299999999872,,,,,205.59517043355268,,,,,,59.301,,0.009
74.87099999999919,,,,,,225.23924461720486,,,,,,66.829,0.009
76.81300000000192,,,,,,249.51119944052675,,,,,,64.036,0.009
77.81399999999849,,,,,,286.7229719603709,,,,,,76.78,0.009
78.83599999999569,,,,,,214.18141347600243,,,,,,58.664,0.009
78.88699999999517,225.58860550730415,354.04842722793705,,,,,58.462,66.684,,,,,0.009
82.81399999999849,,,,,,297.30850181810126,,,,,,86.011,0.009
82.8969999999972,91.44754285661338,,138.99290267493328,,,,43.264,,51.115,,,,0.009
84.88699999999517,57.85456792969417,,,,,,62.481,,,,,,0.009
84.8969999999972,,129.42714113569966,,,,,,63.404,,,,,0.009
85.82299999999668,,,,,,310.2225388768794,,,,,,67.72,0.009
89.91700000000128,229.3067309609002,,,,,,102.856,,,,,,0.009
92.8969999999972,,395.1927847339932,389.58483396167685,,,,,90.941,89.352,,,,0.009
95.90699999999924,,185.73542990066005,,,,,,117.907,,,,,0.009
95.91700000000128,,,,205.34519353925492,,,,,,126.142,,,0.009
97.88699999999517,,538.0299689526768,289.7745066700928,,,,,77.37,87.766,,,,0.009
98.77500000000146,,,,,,314.8919279850921,,,,,,92.148,0.009
100.81300000000192,,,,,,350.59811126068035,,,,,,69.819,0.009
101.90699999999924,,239.57887756573928,,,,,,94.061,,,,,0.009
103.80299999999988,,,,,,245.36670411678412,,,,,,76.976,0.009
105.8969999999972,169.20562381589576,,,,,,69.485,,,,,,0.009
109.87700000000041,128.39589929043635,,141.7173573876301,,,,52.065,,83.283,,,,0.009
112.86699999999837,228.78837810525752,190.18910051627626,,,,,53.99,67.283,,,,,0.009
118.77999999999884,,,,,,440.5343816437527,,,,,,130.281,0.009
124.75200000000041,,,,,,416.2201465745305,,,,,,119.884,0.009
124.86699999999837,,222.32498986657112,,,,,,102.851,,,,,0.009
126.86699999999837,,132.4640133238251,132.26100059400784,,,,,78.601,74.533,,,,0.009
128.85699999999633,,114.62787969555114,,256.79792601830684,,,,56.498,,128.434,,,0.009
