relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-112.57999999999447,,,,139.5241211337319,,,,,,75.703,,,0.01
-110.58999999999651,,95.90866794554324,,,,,,39.569,,,,,0.01
-95.58999999999651,,,,119.41409800642423,,,,,,107.143,,,0.01
-91.70999999999913,,,,,,386.55743333960675,,,,,,121.23,0.01
-31.720000000001164,,301.88346248596275,,155.0139589627718,,,,122.534,,137.926,,,0.01
-20.720000000001164,68.48610105662891,,70.32761112019398,,,,52.225,,61.837,,,,0.01
-7.82999999999447,,,59.60206784623116,,,,,,53.434,,,,0.01
-6.809999999997672,,,,127.4824400304784,,,,,,109.518,,,0.01
-4.819999999999709,,,,262.44213847103464,,,,,,145.97,,,0.01
-3.8099999999976717,,375.1066126883496,265.9425930079688,,,,,115.134,91.892,,,,0.01
0.0,,,,,470.86330784612693,,,,,,82.859,,0.01
1.088000000003376,,,,,,664.1458893211516,,,,,,104.172,0.01
1.1300000000046566,,,591.4465497131216,,,,,,54.611,,,,0.01
1.139999999999418,,615.3349417376855,,,,,,56.87,,,,,0.01
3.209999999999127,827.6606730569121,,,,,,70.039,,,,,,0.01
3.220000000001164,,,658.0782240998209,,,,,,75.942,,,,0.01
5.05000000000291,870.0565846703089,,,583.9186261547611,,,58.712,,,94.041,,,0.01
6.059000000001106,,,,,726.6894691321735,,,,,,66.515,,0.01
11.993999999998778,,,,,,795.1685925187179,,,,,,61.199,0.01
12.067000000002736,,,,,711.1488954744063,,,,,,59.124,,0.01
13.05000000000291,941.7459277867457,,693.002383982402,,,,47.913,,44.125,,,,0.01
15.004000000000815,,,,,661.8478358580866,,,,,,56.592,,0.01
17.9800000000032,,,,,501.5963561404054,,,,,,66.029,,0.01
18.04899999999907,,,,,,744.6549748061908,,,,,,64.381,0.01
18.080000000001746,841.6161792161204,,651.4699055019923,,,,64.12,,60.148,,,,0.01
20.130000000004657,622.6428415195231,,700.0462369750368,,,,54.685,,59.513,,,,0.01
21.023000000001048,,,,,487.1389847311341,,,,,,113.152,,0.01
24.139999999999418,,628.46850086801,,,,,,132.493,,,,,0.01
24.150000000001455,,,,310.4689494385448,,,,,,136.594,,,0.01
25.031999999999243,,,,,,886.9647817177963,,,,,,154.186,0.01
29.97400000000198,,,,,,456.72621561467247,,,,,,106.042,0.01
30.12000000000262,,527.6768561163143,,409.8115512084523,,,,61.764,,102.022,,,0.01
32.999000000003434,,,,,,317.99045126158285,,,,,,55.557,0.01
35.18000000000029,156.10376693979933,,461.1261109158424,,,,76.929,,69.356,,,,0.01
38.05000000000291,96.43330235893615,347.58214581835824,,,,,42.447,49.045,,,,,0.01
42.05000000000291,60.41595764901086,,330.8341650228963,,,,39.019,,50.078,,,,0.01
43.05000000000291,62.284343188737424,261.12407043326516,,,,,51.229,62.821,,,,,0.01
47.04000000000087,225.2423036774285,,,,,,63.59,,,,,,0.01
47.05000000000291,,,322.85615180962606,,,,,,73.541,,,,0.01
49.04000000000087,55.000017717030936,,,243.3267174454607,,,53.039,,,65.717,,,0.01
51.04000000000087,,330.27926784663055,,,,,,50.245,,,,,0.01
51.05000000000291,,,199.48696406589903,,,,,,56.248,,,,0.01
58.029999999998836,,145.6015833015916,158.47651629702088,,,,,46.337,41.957,,,,0.01
61.029999999998836,,85.69015074583659,,114.04567993437512,,,,55.235,,101.486,,,0.01
63.05000000000291,,,177.94429318261697,,,,,,49.577,,,,0.01
68.02999999999884,,159.83276271629327,,,,,,168.98,,,,,0.01
68.9690000000046,,,,,,315.40666890240095,,,,,,80.35,0.01
72.04000000000087,,,136.72218383869287,,,,,,40.881,,,,0.01
74.02999999999884,87.49358936697386,,,,,,57.876,,,,,,0.01
74.04000000000087,,68.7917130841173,,,,,,59.601,,,,,0.01
82.04000000000087,,,83.39160775692403,,,,,,70.257,,,,0.01
85.06000000000495,,,,122.37154380740009,,,,,,125.124,,,0.01
87.02999999999884,,173.9656477771701,180.884150347558,,,,,103.981,79.176,,,,0.01
99.01000000000204,80.89892253112662,,,,,,51.736,,,,,,0.01
116.01000000000204,,85.82223378378872,209.82480032018634,,,,,72.222,64.871,,,,0.01
118.0,,181.09506012802754,,,,,,78.553,,,,,0.01
