relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-38.76900000000023,70.85489201828587,,,164.19442602170375,,,61.401,,,107.9,,,0.049
-34.79899999999907,,141.88704645255197,,,,,,144.218,,,,,0.049
-24.828999999997905,,,,153.6269125168244,,,,,,96.211,,,0.049
-21.72899999999936,79.7535672825679,,,,,,34.834,,,,,,0.049
-13.739000000001397,45.840839524896396,,,,,,48.105,,,,,,0.049
-11.758999999998196,,,73.58019379973062,,,,,,55.706,,,,0.049
-8.898999999997613,57.7701291445719,,,132.25011004117147,,,63.363,,,104.283,,,0.049
-6.859000000004016,,146.2195182027391,133.37349621643844,,,,,63.227,61.101,,,,0.049
-5.889000000002852,,,,210.11892690624123,,,,,,125.4,,,0.049
-5.879000000000815,,106.06977611147407,,,,,,88.192,,,,,0.049
-3.879000000000815,,,,387.3317849831057,,,,,,259.883,,,0.049
0.0,,,,,,689.7515650424243,,,,,,97.369,0.049
0.09399999999732245,,,,,735.0818252093854,,,,,,143.54,,0.049
0.9639999999999418,,,,,,619.4973503149826,,,,,,92.011,0.049
0.9879999999975553,,,,,423.97870750413455,,,,,,86.506,,0.049
1.080999999998312,,660.1063533408314,568.338645405496,,,,,45.907,50.811,,,,0.049
3.138999999995576,,,,,555.4267299978592,,,,,,32.77,,0.049
3.176999999996042,,,,,,850.0836827185908,,,,,,38.977,0.049
3.2109999999956926,570.4162740387588,,,,,,59.081,,,,,,0.049
3.22099999999773,,,650.167881509377,,,,,,61.575,,,,0.049
4.09599999999773,,,,,,712.1406995566573,,,,,,68.451,0.049
5.000999999996566,,,,,635.8126269744788,,,,,,67.171,,0.049
5.070999999996275,,,,,,849.1000646007409,,,,,,65.462,0.049
5.080999999998312,672.2675311470308,,,344.00155624367164,,,41.567,,,87.125,,,0.049
5.983000000000175,,,,,,889.670765262106,,,,,,65.89,0.049
6.074000000000524,,,,,614.1157968766261,,,,,,54.127,,0.049
7.0239999999976135,,,,,,715.6472035681271,,,,,,61.932,0.049
7.099999999998545,,,,,520.491612627764,,,,,,49.981,,0.049
10.958999999995285,,,,,,754.1111644626549,,,,,,87.261,0.049
11.006000000001222,,,,,619.2804796527249,,,,,,69.194,,0.049
11.9629999999961,,,,,,831.3902095461834,,,,,,71.518,0.049
12.959999999999127,,,,,268.80254769292696,,,,,,63.612,,0.049
12.989999999997963,,,,,,816.497616480612,,,,,,70.673,0.049
13.061000000001513,430.5356948579687,,,,,,68.451,,,,,,0.049
13.070999999996275,,580.410877917462,,,,,,51.639,,,,,0.049
13.958999999995285,,,,,299.2014530289086,,,,,,64.588,,0.049
14.000999999996566,,,,,,568.3539371200455,,,,,,60.827,0.049
14.949000000000524,,,,,,713.4754409689801,,,,,,70.612,0.049
15.161000000000058,325.05900790675014,,579.6300190387751,,,,43.238,,49.855,,,,0.049
15.963999999999942,,,,,,691.3310287508949,,,,,,69.448,0.049
16.985999999997148,,,,,,458.53983121532735,,,,,,64.29,0.049
17.9629999999961,,,,,,572.0247715622619,,,,,,67.356,0.049
18.98700000000099,,,,,,512.3740074345749,,,,,,108.186,0.049
19.180999999996857,120.1303492891315,,,283.41433617530384,,,42.652,,,104.584,,,0.049
20.951999999997497,,,,,,718.5318528560523,,,,,,125.193,0.049
23.140999999995984,,361.40605885015157,,597.0163718930945,,,,82.529,,138.319,,,0.049
26.991000000001804,,,450.91859875813014,,,,,,76.29,,,,0.049
27.000999999996566,,222.9915014163425,,,,,,78.662,,,,,0.049
29.0309999999954,,271.65350077890025,,232.04774770225433,,,,50.611,,120.893,,,0.049
33.927999999999884,,,,,,318.7773909820344,,,,,,69.631,0.049
36.13100000000122,66.59106614711433,103.08790387294155,,,,,71.531,38.917,,,,,0.049
36.945999999996275,,,,,,305.2337261285624,,,,,,64.039,0.049
39.171000000002095,,,178.7742730865017,,,,,,93.794,,,,0.049
43.13100000000122,,117.02725843379235,,,,,,36.573,,,,,0.049
45.98099999999977,,,86.45100904677159,,,,,,75.953,,,,0.049
47.98099999999977,76.1222481773685,,,,,,45.821,,,,,,0.049
47.991000000001804,,,76.57024016509348,,,,,,43.703,,,,0.049
50.08099999999831,,156.16320887167075,,,,,,44.055,,,,,0.049
50.09100000000035,,,,127.16426683382217,,,,,,76.136,,,0.049
57.070999999996275,,191.66051174739405,,,,,,68.363,,,,,0.049
60.06100000000151,,114.66286726875114,,,,,,46.394,,,,,0.049
63.050999999999476,42.79609094009574,,,,,,41.269,,,,,,0.049
68.04099999999744,,77.32098002258019,,,,,,29.949,,,,,0.049
72.09100000000035,,,88.3376248226581,,,,,,65.787,,,,0.049
93.9910000000018,55.654706143294526,,,,,,44.032,,,,,,0.049
96.96099999999569,90.54151787761214,,80.005797992545,,,,44.638,,49.966,,,,0.049
98.95100000000093,,46.545723319773955,,,,,,38.371,,,,,0.049
102.95100000000093,60.84432404063756,,,,,,41.155,,,,,,0.049
127.9409999999989,,49.66793216591813,,,,,,47.155,,,,,0.049
136.9210000000021,,,136.45177345815628,,,,,,120.096,,,,0.049
141.9210000000021,,239.10775743446533,338.8065652030824,,,,,136.541,140.352,,,,0.049
147.91100000000006,,107.30698364417844,,,,,,108.063,,,,,0.049
147.9210000000021,,,206.90249432248163,,,,,,137.154,,,,0.049
155.91100000000006,106.83003941695775,,,,,,71.187,,,,,,0.049
163.90099999999802,,,239.0631933889072,,,,,,172.628,,,,0.049
