relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-27.010000000002037,118.34350608058195,,,104.25040471119502,,,59.975,,,121.91,,,0.034
-17.950000000004366,,205.12287516068065,,,,,,102.958,,,,,0.034
-3.1520000000018626,,,,,195.9659286868946,,,,,,50.791,,0.034
-2.122000000003027,,,,,200.89075185105125,,,,,,56.312,,0.034
-1.9800000000032014,197.2933238907891,,,,,,53.22,,,,,,0.034
-1.9700000000011642,,260.92362244084785,,,,,,53.308,,,,,0.034
-1.1720000000059372,,,,,,311.3528699655349,,,,,,77.733,0.034
-0.13900000000285218,,,,,,303.4322456004482,,,,,,61.842,0.034
0.0,275.032114030075,,377.63190754716925,,,,55.673,,54.645,,,,0.034
1.84599999999773,,,,,,524.9570136308529,,,,,,70.576,0.034
1.8949999999967986,,,,,391.4064417920435,,,,,,51.64,,0.034
2.826999999997497,,,,,,640.3429441858849,,,,,,86.495,0.034
2.860000000000582,478.2741492368603,,,613.1441622214621,,,90.442,,,135.131,,,0.034
3.8439999999973224,,,,,,579.3343687090303,,,,,,101.424,0.034
4.771999999997206,,,,,,659.9771521447733,,,,,,126.574,0.034
4.892999999996391,,,,,628.6137019871385,,,,,,132.476,,0.034
5.760999999998603,,,,,,978.2510214491715,,,,,,153.013,0.034
5.869999999995343,,,,240.8599120447437,,,,,,152.179,,,0.034
5.879999999997381,,804.6360479928846,,,,,,122.286,,,,,0.034
5.9099999999962165,,,,,732.1422382129699,,,,,,168.533,,0.034
6.719999999993888,,,,,1412.3268337123197,,,,,,297.926,,0.034
6.82999999999447,,,,,,798.2309091423982,,,,,,183.423,0.034
9.73399999999674,,,,,,908.1660753690461,,,,,,169.813,0.034
9.847999999998137,,,,,906.4534616142668,,,,,,247.619,,0.034
10.716999999996915,,,,,950.0597049058712,,,,,,135.056,,0.034
10.75,,,,,,893.0953241309954,,,,,,137.374,0.034
11.758999999998196,,,,,,846.1893237431975,,,,,,92.873,0.034
11.852999999995518,,,,,1049.6687492249891,,,,,,140.971,,0.034
12.722999999998137,,,,,,868.5730621112936,,,,,,97.461,0.034
12.74699999999575,,,,,861.8137204567133,,,,,,84.553,,0.034
12.839999999996508,,917.6159006567315,778.7497485033762,,,,,63.781,56.499,,,,0.034
14.897999999993772,,,,,769.5312443424327,,,,,,32.105,,0.034
14.935999999994237,,,,,,931.6864660141509,,,,,,40.121,0.034
14.969999999993888,805.7255007785695,,,,,,61.865,,,,,,0.034
14.979999999995925,,,839.5523502445706,,,,,,60.322,,,,0.034
15.854999999995925,,,,,,950.5322056939284,,,,,,70.318,0.034
16.75999999999476,,,,,838.8351845713357,,,,,,70.963,,0.034
16.82999999999447,,,,,,1170.0330138397774,,,,,,66.624,0.034
16.839999999996508,807.1437811036262,,,690.2028186621551,,,68.657,,,127.929,,,0.034
17.74199999999837,,,,,,952.6134474620092,,,,,,72.745,0.034
17.83299999999872,,,,,886.2363366935692,,,,,,60.922,,0.034
18.78299999999581,,,,,,790.375428880144,,,,,,60.133,0.034
18.85899999999674,,,,,783.1162162910742,,,,,,51.121,,0.034
20.969999999993888,773.493792064346,,,,,,54.787,,,,,,0.034
22.71799999999348,,,,,,859.1810795615409,,,,,,72.695,0.034
22.764999999999418,,,,,775.6867316320803,,,,,,72.409,,0.034
23.721999999994296,,,,,,911.3053472210621,,,,,,74.495,0.034
24.718999999997322,,,,,609.6380745028958,,,,,,65.446,,0.034
24.74899999999616,,,,,,930.7306447812116,,,,,,71.644,0.034
24.81999999999971,692.000928173666,,,,,,133.11,,,,,,0.034
24.82999999999447,,758.4447973022994,,,,,,81.902,,,,,0.034
25.71799999999348,,,,,622.7431307758396,,,,,,63.01,,0.034
25.75999999999476,,,,,,858.7340562352073,,,,,,67.494,0.034
26.70799999999872,,,,,,857.4379132236772,,,,,,65.228,0.034
26.919999999998254,579.9086102556563,,574.4201117026316,,,,59.807,,69.426,,,,0.034
27.722999999998137,,,,,,626.3246071608357,,,,,,65.396,0.034
27.766999999999825,,,,,470.4170286445372,,,,,,58.106,,0.034
28.744999999995343,,,,,,772.3877942790573,,,,,,67.77,0.034
29.727999999995518,,,,,,515.4875320622133,,,,,,69.893,0.034
