relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-99.73099999999977,266.93237743927796,,,,,,105.557,,,,,,0.046
-95.72099999999773,,,,360.67375270226114,,,,,,156.448,,,0.046
-44.861000000004424,103.71471887006112,,173.57907465245341,,,,88.503,,119.135,,,,0.046
-18.791000000004715,58.22255426027684,,,,,,64.455,,,,,,0.046
-16.811000000001513,106.39443265744153,,,,,,64.213,,,,,,0.046
-11.811000000001513,196.6592738844889,,92.65063486536847,,,,72.2,,63.772,,,,0.046
-9.84100000000035,153.6147677776252,,,,,,49.522,,,,,,0.046
-6.980999999999767,229.06422011491276,,,,,,78.209,,,,,,0.046
-4.800999999999476,,162.26089667744372,,164.25690568468676,,,,75.914,,156.595,,,0.046
-3.9510000000009313,,,371.6124383164342,,,,,,117.092,,,,0.046
-0.08499999999912689,,,,,,972.872055901224,,,,,,175.702,0.046
0.17899999999644933,,476.9972730722979,,840.9953571055961,,,,125.312,,176.431,,,0.046
0.8869999999951688,,,,,834.0956842916114,,,,,,134.077,,0.046
1.9289999999964493,,,,,,724.5075985061746,,,,,,113.515,0.046
2.019000000000233,,,,,1207.6641061191688,,,,,,147.85,,0.046
2.907999999995809,,,,,,1150.3459519475985,,,,,,102.217,0.046
2.915000000000873,,,,,1196.3699542129368,,,,,,85.26,,0.046
4.129000000000815,1664.1792250223982,,,900.836329237897,,,92.264,,,143.475,,,0.046
6.023000000001048,,,,,,1395.5427371422736,,,,,,87.73,0.046
6.10899999999674,1550.8802730720586,,,,,,53.791,,,,,,0.046
6.906999999999243,,,,,,1562.0848290896847,,,,,,84.78,0.046
6.930000000000291,,,,,1476.9496729506552,,,,,,73.112,,0.046
8.002000000000407,,,,,1756.8050504215703,,,,,,63.184,,0.046
8.866000000001804,,,,,1662.0144091341608,,,,,,60.01,,0.046
8.934000000001106,,,,,,1648.226322018513,,,,,,65.581,0.046
10.10899999999674,1701.9552598971536,,1346.6101857451483,,,,75.301,,79.98,,,,0.046
12.90899999999965,,,,,,1394.4369188085636,,,,,,85.204,0.046
12.932999999997264,,,,,1369.8541450970283,,,,,,74.667,,0.046
13.90400000000227,,,,,,1452.5538156802218,,,,,,69.734,0.046
14.888999999995576,,,,,1264.333223720314,,,,,,67.985,,0.046
14.91700000000128,,,,,,1544.5707730043505,,,,,,82.093,0.046
15.88799999999901,,,,,1224.2548642425015,,,,,,61.461,,0.046
15.930000000000291,,,,,,1347.078639672494,,,,,,74.065,0.046
16.10899999999674,1559.3590367570207,,936.6432625894716,,,,101.703,,82.285,,,,0.046
16.875999999996566,,,,,,1243.5892559529211,,,,,,81.473,0.046
16.91599999999744,,,,,1293.8707462093698,,,,,,76.346,,0.046
17.890999999995984,,,,,,1325.680762370669,,,,,,75.714,0.046
17.936000000001513,,,,,1155.6909486692675,,,,,,65.794,,0.046
18.913000000000466,,,,,,1289.2636487586108,,,,,,75.785,0.046
19.904999999998836,,,,,,1037.1417493852084,,,,,,80.606,0.046
19.968999999997322,,,,271.1615963746074,,,,,,101.016,,,0.046
19.97899999999936,1099.1059496513872,,,,,,62.372,,,,,,0.046
19.983000000000175,,,,,897.0654565427651,,,,,,59.657,,0.046
20.877999999996973,,,,,847.8225084831224,,,,,,106.255,,0.046
20.913000000000466,,,,,,837.7866924689429,,,,,,120.387,0.046
21.964999999996508,,,,,833.4627214615434,,,,,,112.885,,0.046
22.118999999998778,981.9751702400677,,708.0821302121907,,,,69.181,,63.334,,,,0.046
22.879000000000815,,,,,,1018.0865687014658,,,,,,132.702,0.046
23.010999999998603,,,,,697.5261531061716,,,,,,132.361,,0.046
28.088999999999942,,,,660.7937856159668,,,,,,172.097,,,0.046
28.09900000000198,,622.9379938218667,,,,,,149.639,,,,,0.046
29.919000000001688,,784.0373042071761,488.7260308530293,,,,,65.686,54.207,,,,0.046
29.93800000000192,,,,,,825.8227912585164,,,,,,139.009,0.046
32.87399999999616,,,,,,595.0074952927282,,,,,,74.62,0.046
33.138999999995576,,448.90851126528514,,,,,,126.511,,,,,0.046
35.854999999995925,,,,,,479.2511342268229,,,,,,70.1,0.046
36.91900000000169,297.75958095676634,,,527.199944646772,,,44.367,,,92.134,,,0.046
41.09900000000198,,,948.7447115295964,,,,,,181.931,,,,0.046
41.870999999999185,,,,,,359.2657493958079,,,,,,64.279,0.046
44.81500000000233,,,,,,405.15896551197767,,,,,,75.787,0.046
48.89899999999761,255.2771384032174,,,262.3699765548569,,,62.952,,,76.561,,,0.046
50.90899999999965,,,263.6778728188611,,,,,,50.739,,,,0.046
55.008999999998196,,170.76656213712175,390.16987156756045,,,,,90.683,93.291,,,,0.046
58.9890000000014,,253.5446347942452,,295.37690501289023,,,,80.639,,153.186,,,0.046
61.9890000000014,,189.83017747473042,290.742511982319,,,,,59.241,99.852,,,,0.046
64.96899999999732,154.3400863049318,,,96.14742150426619,,,74.987,,,92.777,,,0.046
68.97899999999936,167.51359659911648,,215.99265939586016,,,,90.325,,75.253,,,,0.046
72.95899999999529,,251.7454022841639,,,,,,49.582,,,,,0.046
75.95899999999529,,,264.0387057788415,,,,,,84.116,,,,0.046
81.9890000000014,,,,402.3156882663388,,,,,,196.646,,,0.046
84.93899999999849,,,450.68903567527116,,,,,,194.629,,,,0.046
87.89899999999761,,215.34494432153394,,213.91059367781477,,,,67.626,,105.241,,,0.046
90.95899999999529,,226.68323048016896,141.04559480124382,,,,,47.74,65.219,,,,0.046
92.88899999999558,,,248.96715730926806,,,,,,75.094,,,,0.046
95.90899999999965,224.80209918676857,,120.232142863393,,,,83.501,,65.683,,,,0.046
98.87900000000081,94.32755786553012,209.18697630066086,,,,,46.587,46.031,,,,,0.046
100.86899999999878,184.18775997846913,,,,,,51.174,,,,,,0.046
100.87900000000081,,,126.57001668599241,,,,,,56.42,,,,0.046
103.92899999999645,252.26974856089626,,,,,,82.184,,,,,,0.046
104.87900000000081,,,284.4544829529902,,,,,,82.392,,,,0.046
117.87900000000081,,,,321.21374120396746,,,,,,234.868,,,0.046
123.86899999999878,,,,103.03092315906599,,,,,,113.885,,,0.046
127.85899999999674,83.84075800046834,209.3664536452229,,,,,60.502,162.379,,,,,0.046
129.84900000000198,236.77218710124194,,148.0921315542553,,,,56.866,,93.409,,,,0.046
136.84900000000198,75.68500594261866,,,,,,66.073,,,,,,0.046
136.85899999999674,,,123.09496772906365,,,,,,60.966,,,,0.046
152.83899999999994,165.27700345542826,,,299.0961906152592,,,64.506,,,177.728,,,0.046
