relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-37.87000000000262,,162.6295373298853,,,,,,65.852,,,,,0.096
-33.94000000000233,121.54273352966027,,279.4698126957012,,,,101.826,,82.576,,,,0.096
-11.010000000002037,,100.60583302380864,,,,,,95.85,,,,,0.096
-8.0,57.51216493257417,,,,,,57.56,,,,,,0.096
-2.9800000000032014,,,109.42766716945737,,,,,,98.47,,,,0.096
0.0,491.18721093446,312.70655377049644,,,,,65.446,74.824,,,,,0.096
2.0,620.1868328845587,,614.122270849114,,,,85.051,,96.323,,,,0.096
3.9199999999982538,917.5762526711715,,,,,,92.18,,,,,,0.096
3.930000000000291,,,,853.8101079386032,,,,,,155.246,,,0.096
4.9799999999959255,786.556339014482,,,,,,84.51,,,,,,0.096
4.989999999997963,,,1013.9579061668937,,,,,,78.852,,,,0.096
5.8439999999973224,,,,,,1318.7973252862369,,,,,,164.836,0.096
10.822999999996682,,,,,,2447.7237834715847,,,,,,243.604,0.096
11.869999999995343,,1902.5888277957065,,,,,,127.723,,,,,0.096
11.87999999999738,,,1044.3922507080756,,,,,,128.758,,,,0.096
13.820999999996275,,,,,,1819.8432488855926,,,,,,135.98,0.096
17.93000000000029,1622.8261862305715,,,,,,65.096,,,,,,0.096
18.801999999996042,,,,,,1699.2470200830005,,,,,,82.2,0.096
21.010000000002037,1448.5491536256018,,1128.1942943638953,,,,53.553,,81.915,,,,0.096
22.919999999998254,1200.6155377096738,,,,,,49.629,,,,,,0.096
22.93000000000029,,1751.3978158974023,,,,,,74.219,,,,,0.096
24.7809999999954,,,,,,1228.9099284096412,,,,,,75.965,0.096
24.84599999999773,,,,,698.6583200538819,,,,,,74.433,,0.096
27.78299999999581,,,,,,984.9758586964268,,,,,,79.504,0.096
27.822999999996682,,,,,484.9393298804021,,,,,,80.177,,0.096
29.869999999995343,581.0033717020921,1347.0450637414338,,,,,109.584,84.603,,,,,0.096
30.801999999996042,,,,,,959.2838298886181,,,,,,83.905,0.096
30.866000000001804,,,,,634.090584923753,,,,,,76.655,,0.096
31.909999999996217,464.93444353299026,,,664.7189998091096,,,58.349,,,85.412,,,0.096
39.80999999999767,,952.2653964251666,,,,,,97.966,,,,,0.096
39.81999999999971,,,,844.0037944046659,,,,,,180.261,,,0.096
47.81999999999971,77.2272352971635,,,428.3322880328711,,,60.882,,,119.64,,,0.096
49.7609999999986,,,,,,551.5165732316393,,,,,,79.352,0.096
51.80999999999767,,,536.6754953327213,,,,,,168.399,,,,0.096
52.762000000002445,,,,,,431.73519319229456,,,,,,76.579,0.096
59.81999999999971,,,,471.8044337724126,,,,,,113.478,,,0.096
59.830000000001746,102.24109257296811,,,,,,58.245,,,,,,0.096
66.81999999999971,,554.9027148663433,,153.0204920998665,,,,107.008,,106.472,,,0.096
72.81999999999971,,403.01921930514914,,,,,,57.185,,,,,0.096
72.83000000000175,,,,360.55208064926546,,,,,,131.239,,,0.096
79.83000000000175,,238.35112046766136,,,,,,146.607,,,,,0.096
