relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-102.60599999999977,55.48273251690655,,,,,,66.179,,,,,,0.024
-99.68600000000151,158.74358672960338,,,,,,106.579,,,,,,0.024
-94.6359999999986,,,,268.5553524647544,,,,,,109.706,,,0.024
-27.855999999999767,,,,242.30912494570305,,,,,,274.385,,,0.024
-19.77599999999802,48.766253473157455,,269.0859566927952,,,,57.505,,60.979,,,,0.024
-17.89600000000064,146.2099152377354,,,,,,65.321,,,,,,0.024
-13.76600000000326,,713.6219452375029,,,,,,315.251,,,,,0.024
-10.936000000001513,,,91.81283875903623,,,,,,96.168,,,,0.024
0.0,,,,,588.618480373026,,,,,,97.81,,0.024
0.06199999999807915,,,,,,767.1307641190389,,,,,,138.713,0.024
2.004000000000815,,,,,735.1138880616971,,,,,,57.596,,0.024
3.013999999995576,,,,,843.0162716212448,,,,,,80.293,,0.024
3.063000000001921,,,,,,818.0372724621619,,,,,,87.862,0.024
5.0939999999973224,826.0337432880975,,,883.4775999488735,,,84.718,,,123.259,,,0.024
7.0020000000004075,,,,,967.6158810946894,,,,,,79.217,,0.024
8.00499999999738,,,,,818.267766114265,,,,,,67.001,,0.024
11.074000000000524,1195.3133237886489,1021.828445255234,,,,,65.053,47.038,,,,,0.024
12.983000000000175,,,,,1140.3432867321199,,,,,,85.018,,0.024
13.04200000000128,,,,,,1163.338379545418,,,,,,80.773,0.024
14.006999999997788,,,,,1043.2507168567531,,,,,,65.472,,0.024
14.034999999996217,,,,,,1220.5372401533032,,,,,,82.576,0.024
16.034999999996217,,,,,1212.986800716073,,,,,,77.974,,0.024
17.014999999999418,,,,,1152.9159380824956,,,,,,68.295,,0.024
17.05999999999767,,,,,,1309.4540282286057,,,,,,89.513,0.024
18.06199999999808,,,,,,1336.9224198815423,,,,,,99.222,0.024
19.01799999999639,,,,,1360.8344932411167,,,,,,82.383,,0.024
20.006999999997788,,,,,1422.8607724455994,,,,,,92.772,,0.024
20.046000000002095,,,,,,1426.8063436939335,,,,,,97.548,0.024
21.099999999998545,,,,,,1560.8170566419776,,,,,,209.756,0.024
30.10399999999936,,1006.0933213900603,,,,,,86.324,,,,,0.024
35.09399999999732,,,1055.4341871151314,,,,,,75.137,,,,0.024
36.013999999995576,,,,,708.1676551641493,,,,,,73.839,,0.024
36.042999999997846,,,,,,995.7351673926366,,,,,,99.265,0.024
37.0309999999954,,,,,,1067.7938352291912,,,,,,109.326,0.024
39.049999999995634,,,,,,936.9797718274166,,,,,,71.954,0.024
42.01199999999517,,,,,418.0221401976101,,,,,,73.353,,0.024
42.050999999999476,,,,,,754.8532418718893,,,,,,97.22,0.024
42.09399999999732,,,787.2053880024913,,,,,,112.27,,,,0.024
42.10399999999936,848.9059601962349,,,,,,103.474,,,,,,0.024
43.0570000000007,,,,,,303.10207672321434,,,,,,89.927,0.024
45.028999999994994,,,,,424.1698513864404,,,,,,81.163,,0.024
46.01199999999517,,,,,359.95960042744036,,,,,,74.234,,0.024
46.03199999999924,,,,,,1045.1687204100253,,,,,,162.797,0.024
48.99899999999616,,,,,,736.807639594561,,,,,,197.351,0.024
54.09399999999732,,122.4975371282126,,,,,,97.218,,,,,0.024
54.10399999999936,,,,436.8906949778586,,,,,,124.79,,,0.024
59.09399999999732,,,414.05716421235877,,,,,,57.264,,,,0.024
61.09399999999732,,273.9306420259783,,,,,,80.679,,,,,0.024
63.09399999999732,,187.89968836711537,269.9973383534469,,,,,51.191,56.074,,,,0.024
65.08399999999529,,,,221.58542700702,,,,,,145.403,,,0.024
69.09399999999732,,,297.94672353702435,,,,,,117.62,,,,0.024
73.08399999999529,126.03989202779296,,,,,,56.623,,,,,,0.024
87.07400000000052,,,204.24542689762183,,,,,,128.886,,,,0.024
90.07400000000052,,,138.48621604634533,,,,,,116.692,,,,0.024
