relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-96.56699999999546,,69.28717509862379,,,,,,54.616,,,,,0.012
-45.72699999999895,216.74502692112537,,,,,,129.982,,,,,,0.012
-15.877000000000407,212.6792621096979,,,,,,157.209,,,,,,0.012
-9.856999999996333,100.47622778225018,,,,,,78.707,,,,,,0.012
-7.847000000001572,,246.78110196631627,,182.55583111793507,,,,73.414,,100.011,,,0.012
-4.796999999998661,,258.89151792541116,,,,,,107.549,,,,,0.012
-3.8070000000006985,,218.0944770071453,,,,,,194.591,,,,,0.012
-3.7969999999986612,,,246.08153701723757,,,,,,151.164,,,,0.012
0.0,,,,,337.1346665282243,,,,,,47.099,,0.012
0.027000000001862645,,,,,,387.64083282639007,,,,,,65.408,0.012
4.052999999999884,456.6084963567934,,430.5911211251651,,,,50.103,,55.244,,,,0.012
4.976999999998952,,,,,475.37835440268617,,,,,,57.79,,0.012
10.982000000003609,,,,,,554.0720755513734,,,,,,70.989,0.012
11.076000000000931,,,,,462.80307827769974,,,,,,73.987,,0.012
12.052999999999884,397.4342352802857,,,,,,39.923,,,,,,0.012
12.06300000000192,,572.8508625475934,,,,,,40.333,,,,,0.012
14.029999999998836,,,,,438.7933015878587,,,,,,65.149,,0.012
14.06300000000192,,,,,,434.35839292198546,,,,,,65.602,0.012
16.987999999997555,,,,,304.4656935667974,,,,,,68.611,,0.012
17.02900000000227,,,,,,531.5202077110206,,,,,,65.169,0.012
17.122999999999593,372.78566622380794,512.5107047439279,,,,,56.802,52.675,,,,,0.012
19.13300000000163,341.72409742252614,,,215.8535332228927,,,51.516,,,73.76,,,0.012
23.15299999999843,,252.52459944334876,,,,,,136.597,,,,,0.012
25.052999999999884,,581.7392412331676,,,,,,117.792,,,,,0.012
29.122999999999593,,266.66679178022247,,,,,,48.509,,,,,0.012
31.18300000000454,,,293.48895896586964,,,,,,134.425,,,,0.012
32.01000000000204,,,,,,307.5299220877667,,,,,,61.904,0.012
34.99500000000262,,,,,,263.6045178552474,,,,,,78.888,0.012
35.08299999999872,,,163.5012288736958,,,,,,49.763,,,,0.012
40.112999999997555,,,174.4838206466099,,,,,,55.076,,,,0.012
44.042999999997846,51.641250339103635,85.59076600244094,,,,,68.005,46.677,,,,,0.012
49.052999999999884,,,239.30204591724902,,,,,,39.063,,,,0.012
51.07300000000396,,147.52445373480495,,,,,,73.498,,,,,0.012
56.042999999997846,,139.93949817360834,,,,,,63.207,,,,,0.012
62.052999999999884,,,,66.21618941737893,,,,,,73.279,,,0.012
64.05299999999988,,,112.05000744382336,,,,,,64.275,,,,0.012
68.04299999999785,,,96.50588731669193,,,,,,53.181,,,,0.012
92.04299999999785,,,,91.68661353912732,,,,,,116.633,,,0.012
110.02300000000105,,167.94612101343154,,,,,,137.799,,,,,0.012
116.01299999999901,,,153.51631187178467,,,,,,110.881,,,,0.012
