relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-108.76000000000204,138.47067933202155,,,,,,169.987,,,,,,0.026
-98.81999999999971,98.21687730802603,,,,,,81.151,,,,,,0.026
-95.84000000000378,159.09332219525643,,,,,,126.939,,,,,,0.026
-90.84999999999854,,168.15752564901538,,,,,,58.675,,,,,0.026
-52.919999999998254,,,352.5324959052928,,,,,,186.006,,,,0.026
-45.99000000000524,224.60105399195396,,,,,,96.292,,,,,,0.026
-7.080000000001746,153.43673860776312,119.43244124503143,,,,,53.553,56.557,,,,,0.026
0.0,,541.2745142104703,581.3900688863789,,,,,107.942,101.741,,,,0.026
3.9899999999979627,,451.1985561774763,,718.3478939007307,,,,82.918,,162.862,,,0.026
4.8399999999965075,,,,,539.9616048151314,,,,,,62.138,,0.026
4.919000000001688,,,,,,554.8655859560581,,,,,,67.625,0.026
6.970000000001164,,,,203.39944478078098,,,,,,142.557,,,0.026
9.839999999996508,,,,,727.8977512368091,,,,,,65.351,,0.026
10.959999999999127,556.983694408542,622.8065957363389,,,,,58.305,55.91,,,,,0.026
12.989999999997963,502.4324574318155,,503.46552294454136,,,,58.229,,79.77,,,,0.026
15.970000000001164,372.9723907138091,,,,,,85.118,,,,,,0.026
15.979999999995925,,555.1680164434637,,,,,,104.998,,,,,0.026
16.84599999999773,,,,,516.6452670167615,,,,,,77.195,,0.026
16.890999999995984,,,,,,937.9274733438988,,,,,,86.474,0.026
18.93000000000029,,,482.08514046235274,,,,,,56.63,,,,0.026
18.939999999995052,412.11690899147203,,,,,,57.459,,,,,,0.026
19.87199999999575,,,,,478.7769489254823,,,,,,71.799,,0.026
19.88300000000163,,,,,,452.27691679428426,,,,,,81.371,0.026
22.864999999997963,,,,,388.3405588336562,,,,,,97.944,,0.026
22.91700000000128,,,,,,500.9248136547818,,,,,,145.589,0.026
28.959999999999127,,315.6874644452956,,318.7958726468399,,,,147.855,,202.311,,,0.026
31.939999999995052,,294.8620977505784,301.6316567764214,,,,,61.942,73.867,,,,0.026
35.970000000001164,,199.4237540019112,183.44937420308614,,,,,125.691,94.809,,,,0.026
39.93999999999505,61.477443259137225,,213.44490395308307,,,,68.478,,75.709,,,,0.026
42.970000000001164,,234.45524267985135,,,,,,148.126,,,,,0.026
47.94999999999709,196.81442327629793,,241.68768602014805,,,,60.602,,65.715,,,,0.026
54.93999999999505,,126.3260257373394,,142.7908752688127,,,,84.597,,123.688,,,0.026
