relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-93.80999999999767,115.9808557647496,,,,,,56.715,,,,,,0.019
-88.79000000000087,,,,112.213840409812,,,,,,140.02,,,0.019
-28.029999999998836,,180.16413653397518,,,,,,205.339,,,,,0.019
-14.940000000002328,,,65.97459344325812,,,,,,76.466,,,,0.019
-11.089999999996508,105.35325529990308,,,,,,37.627,,,,,,0.019
-5.970000000001164,243.81786857505236,,276.42799549444527,,,,53.645,,80.884,,,,0.019
-2.0100000000020373,229.10502445848923,,,,,,103.493,,,,,,0.019
-2.0,,,,143.89292973696635,,,,,,122.75,,,0.019
0.0,558.2463073931815,,346.3937505140069,,,,78.24,,68.082,,,,0.019
0.8020000000033178,,,,,,673.3961572772579,,,,,,173.213,0.019
7.94999999999709,,844.1602550984912,,217.86623631104777,,,,82.763,,164.192,,,0.019
8.830000000001746,,,,,757.6875412571572,,,,,,61.917,,0.019
8.860000000000582,,,,,,832.285395142062,,,,,,73.361,0.019
10.889999999999418,582.0044392925882,,,,,,109.161,,,,,,0.019
10.900000000001455,,,754.0762785102816,,,,,,111.368,,,,0.019
14.83299999999872,,,,,448.30313290035457,,,,,,72.874,,0.019
14.864000000001397,,,,,,771.8350736960267,,,,,,84.667,0.019
14.87999999999738,,702.1431221974601,,,,,,61.622,,,,,0.019
14.889999999999418,571.1733225164538,,,,,,62.209,,,,,,0.019
16.87999999999738,414.68952421413195,,926.2864757759403,,,,110.164,,160.061,,,,0.019
20.80000000000291,,,,,396.9173641930101,,,,,,72.544,,0.019
20.84100000000035,,,,,,786.9852681125561,,,,,,80.658,0.019
20.889999999999418,412.5073179025212,419.6505086684481,,,,,64.395,65.847,,,,,0.019
23.809000000001106,,,,,258.0875278895193,,,,,,69.895,,0.019
23.889999999999418,279.41937115490515,,321.47715931089374,,,,66.054,,67.354,,,,0.019
26.83400000000256,,,,,,313.9562475002796,,,,,,92.975,0.019
26.87000000000262,,,,233.68987008759697,,,,,,92.796,,,0.019
26.87999999999738,140.01602557481002,,,,,,61.672,,,,,,0.019
35.88999999999942,,214.0407424526289,,252.70081381394735,,,,66.79,,107.856,,,0.019
38.88999999999942,,,351.28940998703814,,,,,,56.942,,,,0.019
38.900000000001455,,103.81783441486284,,,,,,63.62,,,,,0.019
42.88999999999942,,,253.3638159838304,,,,,,64.567,,,,0.019
44.88999999999942,56.98456716061671,,,,,,70.37,,,,,,0.019
44.900000000001455,,82.75555933027348,,,,,,58.398,,,,,0.019
48.845000000001164,,,,,,342.80222620587483,,,,,,93.001,0.019
64.88999999999942,,106.98481072612199,,179.77146673067037,,,,92.752,,100.808,,,0.019
67.91000000000349,,178.07548009619958,239.07585035117893,,,,,67.865,93.592,,,,0.019
70.87999999999738,128.99417885249477,,,,,,55.815,,,,,,0.019
