relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-94.67099999999482,86.02949558794433,,,,,,56.869,,,,,,0.029
-90.65099999999802,85.87745718936921,,,,,,55.836,,,,,,0.029
-87.60099999999511,,,216.38295378308297,,,,,,87.63,,,,0.029
-33.750999999996566,,,102.16351200661424,,,,,,82.848,,,,0.029
-15.880999999993946,,,268.713325844048,,,,,,157.287,,,,0.029
-1.9659999999930733,,,,,245.8243693546892,,,,,,56.717,,0.029
-0.9689999999973224,,,,,,271.6034485990449,,,,,,74.08,0.029
-0.907999999995809,,,,,267.82952725116627,,,,,,68.912,,0.029
0.0,,,,,400.4771715087505,,,,,,61.249,,0.029
0.03800000000046566,,,,,,365.821746831471,,,,,,64.287,0.029
0.9560000000055879,,,,,,908.675315749869,,,,,,234.881,0.029
1.0169999999998254,,,,,611.9378203435482,,,,,,188.478,,0.029
1.059000000001106,647.6990021153464,,577.0383912695819,,,,68.571,,67.462,,,,0.029
2.0210000000006403,,,,,357.52145020458295,,,,,,70.372,,0.029
2.088999999999942,,,,,,332.6563670280305,,,,,,67.757,0.029
3.047000000005937,,,,,433.247758425277,,,,,,70.963,,0.029
5.940000000002328,,,,,,1098.854262293951,,,,,,111.603,0.029
6.039000000004307,869.1087760866963,,,1280.9212515765307,,,84.591,,,114.337,,,0.029
6.04500000000553,,,,,958.6049772209049,,,,,,132.779,,0.029
8.957000000002154,,,,,998.4857793658897,,,,,,234.257,,0.029
9.001000000003842,,,,,,1656.0916046484253,,,,,,240.527,0.029
11.159000000006927,,1005.8153031868303,890.6924280077485,,,,,240.519,223.297,,,,0.029
15.001000000003842,,,,,,942.5009777759834,,,,,,64.45,0.029
16.159000000006927,,1365.8282804398445,,1300.822319091317,,,,79.785,,152.071,,,0.029
19.019000000000233,728.3201172786152,,,,,,61.498,,,,,,0.029
19.02900000000227,,,836.8273206240177,,,,,,69.415,,,,0.029
19.956000000005588,,,,,335.72721120586317,,,,,,57.483,,0.029
25.978000000002794,,,,,,476.92692853141443,,,,,,62.683,0.029
31.999000000003434,,,,,,252.68051091980385,,,,,,75.014,0.029
33.09900000000198,113.41734015445698,,,1122.2133083348524,,,64.111,,,113.46,,,0.029
41.07900000000518,,645.2818716922044,,,,,,107.575,,,,,0.029
45.03900000000431,,161.07202063075917,,789.9606046518935,,,,72.36,,124.113,,,0.029
49.02900000000227,48.44295931411408,,64.24850174358009,,,,60.437,,80.51,,,,0.029
52.02900000000227,117.4309335313348,,315.3265721481717,,,,79.205,,104.647,,,,0.029
56.01900000000023,,128.0306725429357,,,,,,63.518,,,,,0.029
65.96300000000338,,,,,,617.3506283896546,,,,,,137.736,0.029
68.01900000000023,,,259.1399014626288,,,,,,91.343,,,,0.029
68.02900000000227,,351.1631133586157,,,,,,101.478,,,,,0.029
73.0590000000011,,,,432.0962823897388,,,,,,193.816,,,0.029
73.06900000000314,,462.0991129409652,,,,,,85.992,,,,,0.029
75.02900000000227,,508.12718651854806,246.0415298114441,,,,,94.771,127.91,,,,0.029
79.02900000000227,142.84117718884508,,205.21693908043878,,,,86.012,,94.885,,,,0.029
83.01900000000023,,153.79315750270655,,,,,,76.13,,,,,0.029
83.02900000000227,181.72775194324515,,,,,,71.864,,,,,,0.029
87.01900000000023,160.59110935872664,,,,,,84.562,,,,,,0.029
94.02900000000227,,545.1051391169971,,,,,,130.989,,,,,0.029
97.02900000000227,,300.00331812300306,,,,,,104.241,,,,,0.029
101.00900000000547,,,,149.0175949710906,,,,,,164.419,,,0.029
108.00900000000547,219.15343599829302,,,,,,140.966,,,,,,0.029
108.01900000000023,,,,371.9601311953347,,,,,,207.203,,,0.029
110.00900000000547,,463.619781712752,,,,,,92.562,,,,,0.029
