relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-139.6319999999978,,,515.0717567772872,,,,,,357.867,,,,0.021
-110.6820000000007,,134.52131210181759,,,,,,76.432,,,,,0.021
-95.23200000000361,,92.8194111124687,,,,,,90.917,,,,,0.021
-56.832000000002154,,166.7970954650587,,,,,,108.726,,,,,0.021
-48.74199999999837,,,,486.34658793233115,,,,,,312.956,,,0.021
-46.74199999999837,174.54434821496818,,,,,,92.586,,,,,,0.021
-45.74199999999837,,,,229.6405635635565,,,,,,201.774,,,0.021
-23.81199999999808,68.94823020184188,,,,,,67.654,,,,,,0.021
-20.851999999998952,152.10938338040026,,,,,,58.308,,,,,,0.021
-17.92199999999866,,,114.81746104155333,,,,,,73.621,,,,0.021
-2.841999999996915,,,199.91449604637623,,,,,,211.355,,,,0.021
-1.0599999999976717,,,,,436.7516074557786,,,,,,103.111,,0.021
-1.004000000000815,,,,,,707.509209646785,,,,,,134.917,0.021
0.0,,,,,714.472402386432,,,,,,115.976,,0.021
0.9369999999980791,,,,,900.5424456220097,,,,,,61.63,,0.021
1.118000000002212,,333.1423257596351,389.28768570256517,,,,,71.839,85.749,,,,0.021
1.9479999999966822,,,,,754.0273244208756,,,,,,85.765,,0.021
1.9970000000030268,,,,,,967.7405186357802,,,,,,96.632,0.021
2.158000000003085,,437.050297985893,,,,,,149.369,,,,,0.021
4.027999999998428,1224.2454061958827,,791.2826143966472,,,,104.26,,179.727,,,,0.021
5.017999999996391,1085.563748839825,,,663.5103789504085,,,70.823,,,114.128,,,0.021
6.938999999998487,,,,,1128.6711795643841,,,,,,76.752,,0.021
7.002999999996973,,,,,,1154.8118210785021,,,,,,103.619,0.021
7.00800000000163,960.920168691034,,,,,,66.834,,,,,,0.021
7.017999999996391,,,828.2757327283592,,,,,,76.362,,,,0.021
7.97899999999936,,,,,1081.8518611385643,,,,,,76.334,,0.021
8.017999999996391,1335.9246552430436,,,264.2304983356928,,,82.263,,,153.164,,,0.021
8.044999999998254,,,,,,1284.7539629647724,,,,,,84.256,0.021
11.00800000000163,,,,320.5075934373774,,,,,,140.105,,,0.021
11.917999999997846,,,,,1068.610150447139,,,,,,83.162,,0.021
11.974999999998545,,,,,,1087.284796606127,,,,,,81.572,0.021
12.940999999998894,,,,,1023.6221659684073,,,,,,76.168,,0.021
12.981999999996333,,,,,,1241.8753982939188,,,,,,86.338,0.021
13.108000000000175,966.6525355127377,,764.0828904390504,,,,86.795,,100.361,,,,0.021
13.997000000003027,,,,,964.5077988628237,,,,,,90.374,,0.021
14.968999999997322,,,,,1072.3232509457105,,,,,,82.042,,0.021
15.067999999999302,791.0966562512001,1210.8021480858945,,,,,111.672,94.479,,,,,0.021
15.949000000000524,,,,,975.4285590728274,,,,,,76.403,,0.021
15.968000000000757,,,,,,1194.2867452362696,,,,,,100.873,0.021
16.108000000000175,848.0223626248882,,909.2047920319646,,,,75.645,,95.202,,,,0.021
17.002999999996973,,,,,,1164.2040639337413,,,,,,101.035,0.021
17.934000000001106,,,,,820.2526887461344,,,,,,94.789,,0.021
18.940999999998894,,,,,1021.7235885487925,,,,,,97.856,,0.021
18.972999999998137,,,,,,963.3914224246147,,,,,,97.494,0.021
19.097999999998137,757.3449867068692,,316.5358669297457,,,,90.011,,73.09,,,,0.021
25.048000000002503,,768.0814676350653,433.2599330830058,,,,,169.718,166.287,,,,0.021
26.0879999999961,,931.5168964015825,,,,,,145.322,,,,,0.021
30.07800000000134,,470.8750331195781,,,,,,95.88,,,,,0.021
31.038000000000466,,670.8758118212173,,,,,,74.882,,,,,0.021
32.038000000000466,,,,752.5534186916194,,,,,,244.483,,,0.021
36.01799999999639,127.12360112404878,,,,,,87.532,,,,,,0.021
36.02799999999843,,,,376.7754244808264,,,,,,129.599,,,0.021
37.02799999999843,57.67765044966377,291.44778071492203,,,,,71.888,83.542,,,,,0.021
37.983000000000175,,,,,,370.23400507906496,,,,,,91.914,0.021
38.02799999999843,,,306.62940402615504,,,,,,86.174,,,,0.021
40.945999999996275,,,,,254.08051162056282,,,,,,72.342,,0.021
40.98399999999674,,,,,,581.8710399497262,,,,,,94.047,0.021
42.01799999999639,,,,159.20489945845756,,,,,,97.241,,,0.021
44.02799999999843,,,177.8848046658993,,,,,,78.664,,,,0.021
53.02799999999843,,238.36518252482097,,316.89049336627613,,,,106.538,,155.085,,,0.021
57.02799999999843,,,,152.46787044156576,,,,,,169.74,,,0.021
58.02799999999843,,89.77089748556362,,,,,,82.482,,,,,0.021
60.038000000000466,,327.80821504947653,,,,,,114.037,,,,,0.021
61.02799999999843,,540.2237265978086,,,,,,111.533,,,,,0.021
62.02799999999843,,,75.73101892560615,,,,,,88.891,,,,0.021
64.01799999999639,185.95759353362956,,,,,,103.446,,,,,,0.021
65.01799999999639,96.67576575090938,,,,,,108.285,,,,,,0.021
68.02799999999843,443.0387989896128,,,,,,107.699,,,,,,0.021
69.01799999999639,,105.97499266890601,,,,,,73.225,,,,,0.021
80.01799999999639,,279.50067577721643,,,,,,184.874,,,,,0.021
81.01799999999639,,315.34724483650155,,,,,,193.459,,,,,0.021
83.01799999999639,,106.6055022091139,,,,,,112.131,,,,,0.021
85.00800000000163,,415.15375250370715,,,,,,202.864,,,,,0.021
86.00800000000163,,386.4245853041353,,,,,,154.491,,,,,0.021
87.00800000000163,,298.5368096453259,,,,,,174.819,,,,,0.021
89.00800000000163,,275.40341461509894,,,,,,110.825,,,,,0.021
92.00800000000163,,582.5267133488225,,,,,,171.026,,,,,0.021
94.00800000000163,,,353.316333439967,,,,,,346.32,,,,0.021
95.00800000000163,,240.84623756553898,,,,,,144.384,,,,,0.021
