relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-85.75,35.15421662930225,,,,,,41.535,,,,,,0.009
-9.989999999997963,,210.7536181386582,,,,,,122.716,,,,,0.009
-4.097999999998137,,,,,,273.5655656812884,,,,,,64.573,0.009
-3.1149999999979627,,,,,246.4731509880958,,,,,,58.95,,0.009
-3.050999999999476,,,,,,334.45633835634004,,,,,,71.556,0.009
0.0,381.5891130365092,329.0516901557481,,,,,48.213,39.491,,,,,0.009
2.981999999996333,,,,,394.8855208078322,,,,,,57.725,,0.009
3.9289999999964493,,,,,460.09458691220595,,,,,,64.977,,0.009
4.930999999996857,,,,,,427.03357726991874,,,,,,67.426,0.009
4.989999999997963,185.21788359914845,,,,,,158.209,,,,,,0.009
5.0,,366.88235328633203,,,,,,113.743,,,,,0.009
5.8989999999976135,,,,,395.5034758373291,,,,,,51.64,,0.009
5.913000000000466,,,,,,531.621499695722,,,,,,77.571,0.009
8.010000000002037,529.1640679857251,,452.6983206506608,,,,55.337,,59.461,,,,0.009
8.940000000002328,,,,,386.2331289816026,,,,,,60.23,,0.009
9.010000000002037,,,,,,461.5600385623367,,,,,,66.268,0.009
13.019999999996799,,568.6928782507425,,341.36856478024094,,,,112.91,,92.149,,,0.009
16.05999999999767,,,,210.2516250234141,,,,,,102.244,,,0.009
16.06999999999971,,397.980414805098,,,,,,112.254,,,,,0.009
17.05999999999767,,664.4110445434756,,,,,,176.56,,,,,0.009
18.93000000000029,,,,,,384.473869256437,,,,,,116.919,0.009
20.86699999999837,,,,,252.80284903403424,,,,,,44.076,,0.009
20.894000000000233,,,,,,347.1424745774602,,,,,,54.161,0.009
22.040000000000873,,260.52951617268616,362.4936770888536,,,,,44.13,61.708,,,,0.009
28.0199999999968,,317.2463985721067,,,,,,65.119,,,,,0.009
31.84900000000198,,,,,,245.78228799721913,,,,,,66.865,0.009
32.919999999998254,129.1306618870034,,,,,,36.366,,,,,,0.009
32.93000000000029,,131.47930266477601,,,,,,34.637,,,,,0.009
37.89600000000064,,,,,,231.03885688411918,,,,,,64.688,0.009
37.98999999999796,36.224929585590026,164.07281688566633,,,,,43.201,40.428,,,,,0.009
40.0,,,,264.91490109228624,,,,,,95.162,,,0.009
45.919999999998254,,185.0326488493885,,,,,,105.52,,,,,0.009
49.98999999999796,,134.83998530821117,,,,,,49.915,,,,,0.009
50.0,,,,277.6325415942515,,,,,,90.595,,,0.009
55.94999999999709,,,125.97200017405775,,,,,,59.51,,,,0.009
60.979999999995925,,,57.46649051154852,,,,,,52.941,,,,0.009
64.90999999999622,,85.45735864735119,,,,,,40.207,,,,,0.009
69.91999999999825,,,123.86212230743907,,,,,,51.727,,,,0.009
88.90999999999622,,,58.77792639301446,,,,,,52.675,,,,0.009
106.93000000000029,,,247.33416608778057,,,,,,123.938,,,,0.009
110.91999999999825,,,215.75609032383798,,,,,,133.114,,,,0.009
134.87999999999738,,,,354.4466447391523,,,,,,343.723,,,0.009
