relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-110.62999999999738,,,79.96696271212205,,,,,,55.48,,,,0.024
-87.68000000000029,,128.7479838290275,,,,,,73.39,,,,,0.024
-76.73999999999796,,88.06081427047192,,,,,,84.932,,,,,0.024
-27.779999999998836,174.2774083218329,,,,,,62.708,,,,,,0.024
-9.959999999999127,,119.48343753391512,,159.5011556661254,,,,98.341,,188.102,,,0.024
-3.849999999998545,145.44497989253668,162.19835106110622,,,,,57.408,55.015,,,,,0.024
-1.8799999999973807,164.0602124220823,,128.019925739754,,,,46.404,,51.455,,,,0.024
0.0,219.95358303506578,,,,,,35.646,,,,,,0.024
0.010000000002037268,,245.3411453825963,,,,,,40.824,,,,,0.024
1.940999999998894,,,,,253.49520989812012,,,,,,74.105,,0.024
1.9789999999993597,,,,,,419.19635591549417,,,,,,87.037,0.024
2.9570000000021537,,,,,403.1999132900137,,,,,,66.799,,0.024
3.8989999999976135,,,,,634.4818872178904,,,,,,71.083,,0.024
3.9629999999961,,,,,,616.704794434752,,,,,,85.175,0.024
4.940999999998894,,,,,637.5790215810067,,,,,,67.043,,0.024
4.996999999995751,,,,,,682.4960753510483,,,,,,92.093,0.024
6.94999999999709,,,,,657.1744541982096,,,,,,76.858,,0.024
7.048999999999069,,,,,,512.0142504319826,,,,,,100.015,0.024
7.913000000000466,,,,,,689.8738773768528,,,,,,79.353,0.024
7.983000000000175,,,,,856.8290464678869,,,,,,77.093,,0.024
8.942000000002736,,,,,768.5961643350462,,,,,,93.364,,0.024
9.902000000001863,,,,,,685.4962584905692,,,,,,131.738,0.024
10.921999999998661,,,,,,996.3679846033244,,,,,,137.987,0.024
10.985000000000582,,,,,709.6553801093294,,,,,,173.556,,0.024
14.959999999999127,,,,,978.1336520442545,,,,,,283.086,,0.024
15.919000000001688,,,,,816.7049142337311,,,,,,223.38,,0.024
16.881000000001222,,,,,774.8242930884808,,,,,,231.17,,0.024
17.891999999999825,,,,,630.6271347461333,,,,,,80.034,,0.024
17.95799999999872,,,,,,690.5077800373015,,,,,,138.083,0.024
19.900000000001455,,,,,629.1087241513015,,,,,,61.794,,0.024
20.080000000001746,,505.09874605786115,596.4753131686067,,,,,45.211,47.698,,,,0.024
20.909999999996217,,,,,450.3140248896451,,,,,,75.12,,0.024
20.95900000000256,,,,,,517.3883121989031,,,,,,103.521,0.024
24.877999999996973,,,,,372.7978413661802,,,,,,72.648,,0.024
25.089999999996508,,,461.37080275783734,,,,,,56.39,,,,0.024
25.90099999999802,,,,,259.5117134815434,,,,,,64.551,,0.024
28.970000000001164,321.5415474843251,390.79790884461835,,,,,50.118,45.683,,,,,0.024
30.87999999999738,,,,,369.39385050654727,,,,,,72.599,,0.024
30.93699999999808,,,,,,411.13906233927713,,,,,,84.786,0.024
31.90299999999843,,,,,410.3613090431985,,,,,,58.061,,0.024
31.930999999996857,,,,,,351.2721662187498,,,,,,85.951,0.024
33.9320000000007,,,,,308.5431491214778,,,,,,70.732,,0.024
34.91100000000006,,,,,352.8489947150584,,,,,,65.375,,0.024
34.95599999999831,,,,,,319.51950435897925,,,,,,97.923,0.024
35.06999999999971,324.9848400155455,364.29542217313053,,,,,57.512,46.112,,,,,0.024
35.95799999999872,,,,,,416.20160002477843,,,,,,110.419,0.024
36.91399999999703,,,,,325.5070227495893,,,,,,80.442,,0.024
37.90299999999843,,,,,335.37087192381927,,,,,,94.466,,0.024
37.942000000002736,,,,,,581.4472152965758,,,,,,104.063,0.024
48.0,,496.2564700359667,436.6790334871612,,,,,60.038,61.619,,,,0.024
52.98999999999796,263.10525441357765,,487.65279746614937,,,,65.952,,65.663,,,,0.024
55.979999999995925,184.18147912985202,,303.0490009575835,,,,51.923,,56.945,,,,0.024
