relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-31.989999999997963,,288.7055733541555,114.8538027309126,,,,,86.638,96.696,,,,0.066
-19.080000000001746,,61.488160864019456,,,,,,52.878,,,,,0.066
-9.059999999997672,171.90972509613792,,,174.4845844921224,,,62.709,,,109.97,,,0.066
-5.0899999999965075,,,,231.51957664876812,,,,,,188.399,,,0.066
0.0,,528.6932352838054,,242.02198783890316,,,,89.986,,198.588,,,0.066
2.834999999999127,,,,,456.41271400774025,,,,,,95.927,,0.066
2.8410000000003492,,,,,,449.3357202495963,,,,,,90.596,0.066
3.819000000003143,,,,,542.7792181123444,,,,,,95.394,,0.066
3.860000000000582,,,,,,622.7136447192379,,,,,,100.857,0.066
4.817000000002736,,,,,498.1148233836833,,,,,,74.541,,0.066
4.880000000004657,501.6279750870821,,,357.4795169882635,,,78.406,,,130.226,,,0.066
5.738000000004831,,,,,,667.5635210313345,,,,,,115.438,0.066
5.794999999998254,,,,,547.7541287263928,,,,,,105.769,,0.066
7.980000000003201,601.5867967777165,,,,,,31.89,,,,,,0.066
7.989999999997963,,,545.5766017549531,,,,,,51.814,,,,0.066
9.87000000000262,532.398536785364,,,,,,67.433,,,,,,0.066
9.880000000004657,,592.6788815557355,,,,,,52.976,,,,,0.066
10.796000000002095,,,,,357.15629710059466,,,,,,99.047,,0.066
10.819999999999709,,,,,,585.4051530736547,,,,,,108.861,0.066
11.730000000003201,,,,,,689.7691964665587,,,,,,111.728,0.066
11.773000000001048,,,,,448.12625805656415,,,,,,68.39,,0.066
11.87000000000262,,,739.5912103638359,,,,,,177.288,,,,0.066
12.798000000002503,,,,,415.49673162011715,,,,,,66.312,,0.066
13.758999999998196,,,,,400.88037648661464,,,,,,63.552,,0.066
13.811000000001513,,,,,,545.0745946701998,,,,,,75.343,0.066
14.735000000000582,,,,,,515.6432728864488,,,,,,87.352,0.066
14.798000000002503,,,,,415.8576725404602,,,,,,59.945,,0.066
15.777999999998428,,,,,,569.3839392955014,,,,,,78.329,0.066
15.830000000001746,,,,,354.5035565501124,,,,,,57.416,,0.066
15.980000000003201,503.54162925639025,529.5709196737637,,,,,52.142,58.578,,,,,0.066
16.779999999998836,,,,,,452.60962590395735,,,,,,83.236,0.066
16.822000000000116,,,,,339.5227562154868,,,,,,66.226,,0.066
17.811000000001513,,,,,,388.8993968114946,,,,,,64.722,0.066
17.950000000004366,325.34988242791127,,283.8328204632519,,,,44.467,,58.217,,,,0.066
19.815999999998894,,,,,,541.274458485861,,,,,,74.226,0.066
19.8440000000046,,,,,243.12116005047184,,,,,,51.276,,0.066
20.777000000001863,,,,,,477.52664149839984,,,,,,100.427,0.066
20.810000000004948,174.27841755326196,,,,,,79.066,,,,,,0.066
21.775000000001455,,,,,,535.4220232346094,,,,,,96.738,0.066
22.711999999999534,,,,,,578.1782537952947,,,,,,146.052,0.066
22.849999999998545,,269.5905189171931,287.78474548419064,,,,,58.1,63.548,,,,0.066
32.919999999998254,205.47534389382614,,,,,,54.755,,,,,,0.066
32.93000000000029,,,155.08893260053878,,,,,,69.726,,,,0.066
34.79000000000087,103.18273679280426,,,86.31799244997424,,,71.037,,,88.594,,,0.066
35.70900000000256,,,,,,290.5356343901693,,,,,,68.461,0.066
40.68800000000192,,,,,,347.9110502455676,,,,,,73.716,0.066
42.779999999998836,143.45923532559704,165.39968172203103,,,,,79.121,51.47,,,,,0.066
44.87000000000262,85.46117717279468,,112.62986309675567,,,,46.804,,54.523,,,,0.066
48.88999999999942,65.53174684669737,,,,,,39.462,,,,,,0.066
52.86000000000058,,,,199.2424582956034,,,,,,129.723,,,0.066
56.700000000004366,,,191.40243329691648,,,,,,69.258,,,,0.066
58.75,,140.22731943799255,,,,,,63.837,,,,,0.066
72.84000000000378,61.916374148981745,78.6924110698475,,,,,38.31,33.296,,,,,0.066
75.69000000000233,186.7227797148473,,173.6008176077643,,,,86.505,,58.01,,,,0.066
79.79000000000087,,83.24328059647573,,,,,,43.05,,,,,0.066
86.77999999999884,,94.70576860807559,,,,,,56.507,,,,,0.066
86.79000000000087,,,52.51729093697314,,,,,,60.995,,,,0.066
92.76000000000204,34.951927225226065,,,,,,36.655,,,,,,0.066
97.75,73.03925525554,75.1758300719984,,,,,38.157,40.408,,,,,0.066
104.7300000000032,,100.85540277579973,,,,,,73.042,,,,,0.066
111.77000000000407,,163.17800658846133,,,,,,64.112,,,,,0.066
114.70000000000437,,,49.62123231146405,,,,,,60.0,,,,0.066
118.75,,78.83148489462118,,,,,,50.983,,,,,0.066
126.66999999999825,48.32631284629274,,,,,,47.526,,,,,,0.066
131.70999999999913,,,105.80993116113218,,,,,,83.821,,,,0.066
180.63000000000466,267.01896065087095,,,,,,112.435,,,,,,0.066
