relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-146.63999999999942,50.69480202971505,,,,,,50.857,,,,,,0.017
-143.61999999999534,,42.73590982055983,,,,,,52.021,,,,,0.017
-140.6099999999933,110.7556952395067,,,,,,55.159,,,,,,0.017
-121.69999999999709,,,,132.14451117866398,,,,,,111.961,,,0.017
-118.69999999999709,,,58.43610260186408,,,,,,57.834,,,,0.017
-110.68999999999505,118.37113495480233,,126.98067852963587,,,,66.146,,67.799,,,,0.017
-103.7899999999936,,,171.47938745988768,,,,,,79.149,,,,0.017
-65.84999999999854,,69.04221802622476,,,,,,79.882,,,,,0.017
-56.82999999999447,,71.19910420414165,,,,,,64.457,,,,,0.017
-55.75999999999476,152.22729481208677,,,,,,101.755,,,,,,0.017
-45.75999999999476,,,,388.96677031012734,,,,,,184.28,,,0.017
-30.839999999996508,,87.66722164364221,,,,,,71.034,,,,,0.017
-27.969999999993888,40.168666106349505,,,,,,49.154,,,,,,0.017
-22.849999999998545,360.89351831614147,,,,,,110.244,,,,,,0.017
-19.94999999999709,90.56075573042529,,41.04268854826665,,,,56.462,,54.239,,,,0.017
-19.00999999999476,,52.69277096523891,,,,,,55.961,,,,,0.017
-11.859999999993306,,,282.27085099003654,,,,,,188.23,,,,0.017
-6.859999999993306,,83.15046048245429,,,,,,67.304,,,,,0.017
-2.0,,,95.59321473259034,,,,,,64.947,,,,0.017
0.0,1411.1171644571245,873.8324550979293,,,,,95.475,123.237,,,,,0.017
1.9900000000052387,1172.084441240515,,,812.3959184648846,,,56.534,,,115.041,,,0.017
4.0900000000037835,1220.9100470871567,,964.5428401345514,,,,117.969,,91.45,,,,0.017
10.080000000001746,1198.7495938113896,,1044.7915303932068,,,,74.621,,64.8,,,,0.017
16.030000000006112,,1336.3866892472388,1473.318485661823,,,,,187.661,214.434,,,,0.017
17.06999999999971,,1405.7870003454732,,1159.1305367482719,,,,116.467,,205.948,,,0.017
19.0,,1335.6194956598235,,1063.4497088853875,,,,66.085,,97.408,,,0.017
20.020000000004075,,1228.0135684892412,1064.2029307145567,,,,,72.337,73.199,,,,0.017
21.060000000004948,,1349.5934532140495,,1148.599882333072,,,,75.858,,108.366,,,0.017
22.020000000004075,,1202.603533931832,1145.118102400081,,,,,84.479,79.734,,,,0.017
23.020000000004075,,1149.9867536475722,,608.8165743513043,,,,203.111,,228.138,,,0.017
25.010000000002037,915.8754350913388,1262.8776765349903,,,,,92.059,74.772,,,,,0.017
26.010000000002037,896.5875743641903,,1266.5042513635285,,,,112.246,,89.602,,,,0.017
27.0,854.013085537498,,,,,,130.258,,,,,,0.017
27.010000000002037,,,,1067.0674140184015,,,,,,142.569,,,0.017
28.010000000002037,828.9091245691335,1359.1870164455563,,,,,102.176,64.668,,,,,0.017
29.0,698.846516772753,,,,,,92.104,,,,,,0.017
29.010000000002037,,,1377.6346212142955,,,,,,88.929,,,,0.017
30.040000000000873,,,,1099.7895262359448,,,,,,225.213,,,0.017
32.01000000000204,548.0576351049451,,997.6320463074655,,,,176.964,,157.808,,,,0.017
33.0,768.7497969057599,,,1215.1517346555158,,,68.869,,,93.109,,,0.017
34.0,541.5493183837009,1220.6612098624908,,,,,63.36,67.922,,,,,0.017
35.01000000000204,773.213217236462,,1354.3077712738918,,,,54.044,,77.973,,,,0.017
43.020000000004075,,1930.159132986865,1827.6867633389359,,,,,123.475,133.39,,,,0.017
44.01000000000204,,1897.032400921301,,1815.426675834814,,,,107.813,,144.009,,,0.017
45.0,,2161.115631845884,2083.2777550462856,,,,,117.277,111.925,,,,0.017
48.01000000000204,,2579.548427457062,,2162.939295222075,,,,116.695,,138.911,,,0.017
48.96500000000378,,,,,1762.408433043584,,,,,,353.582,,0.017
49.01000000000204,,2846.5588610516756,2538.4083414282095,,,,,83.71,80.027,,,,0.017
51.020000000004075,,2775.2910529441833,2889.630661952839,,,,,120.413,118.807,,,,0.017
53.01000000000204,,3194.4702227781254,2937.997435423882,,,,,78.081,103.716,,,,0.017
54.0,2475.531248438687,,,,,,100.227,,,,,,0.017
54.01000000000204,,3317.536610139066,,,,,,92.894,,,,,0.017
55.0,2820.7355849758387,,3193.650233755052,,,,111.892,,96.601,,,,0.017
56.0,2951.1284244874623,,,2776.618376472592,,,136.259,,,177.399,,,0.017
59.01000000000204,3071.5539817476697,,,2991.005793816043,,,122.354,,,167.009,,,0.017
60.0,3359.2471949532996,4156.820370565719,,,,,101.987,97.446,,,,,0.017
61.0,3073.4422297604683,,4002.7452945384593,,,,193.657,,208.093,,,,0.017
62.0,3366.5440457381846,,,3626.5006402305853,,,135.897,,,221.548,,,0.017
63.0,3544.791906215432,4302.244673626129,,,,,95.895,96.243,,,,,0.017
64.0,3542.3469214006527,,4020.55178286126,,,,111.977,,100.006,,,,0.017
69.99000000000524,,,,3699.3276856671705,,,,,,214.488,,,0.017
71.0,,4766.826713892515,,4150.214130674703,,,,200.4,,308.907,,,0.017
72.0,,5212.543286879756,4758.879289480137,,,,,217.616,212.765,,,,0.017
73.0,,5262.546195931995,,4385.957678319495,,,,206.147,,208.957,,,0.017
74.0,,5193.1864825948305,4762.80194987197,,,,,116.153,116.6,,,,0.017
76.99000000000524,,5139.389244334819,,4128.048265013934,,,,154.513,,188.004,,,0.017
77.99000000000524,,5700.226494163677,4811.597249268171,,,,,171.655,162.169,,,,0.017
79.99000000000524,,5925.044403355139,4975.409525043076,,,,,125.052,158.476,,,,0.017
82.99000000000524,,5561.260358018227,,,,,,168.119,,,,,0.017
83.99000000000524,4566.719351474036,,5410.912387920278,,,,147.431,,144.783,,,,0.017
84.99000000000524,4293.929961288709,,5166.332246246622,,,,203.936,,194.904,,,,0.017
85.99000000000524,4589.349749883033,5853.9868708306285,,,,,164.564,144.688,,,,,0.017
86.99000000000524,4459.8946837679005,,5132.428222749669,,,,148.279,,143.505,,,,0.017
87.9800000000032,,,,4561.996807041599,,,,,,324.004,,,0.017
87.99000000000524,3978.819048238045,,,,,,184.09,,,,,,0.017
198.37000000000262,,1850.1721749632377,,1952.6773311004827,,,,174.905,,141.667,,,0.017
199.37000000000262,,1823.1101238207157,1595.9809414071722,,,,,114.371,100.017,,,,0.017
