relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-55.72700000000623,,67.40878245474744,,,,,,50.754,,,,,0.04
-54.62700000000041,,93.0756007007808,,,,,,67.085,,,,,0.04
-53.72700000000623,,,125.23239725481822,,,,,,116.86,,,,0.04
-44.74700000000303,,315.5019417507957,,,,,,151.69,,,,,0.04
-35.77700000000186,,114.55822089677135,,,,,,131.22,,,,,0.04
-31.777000000001863,87.76722989909476,,,,,,47.819,,,,,,0.04
-8.687000000005355,,102.59033737512287,,,,,,128.668,,,,,0.04
-4.727000000006228,92.03392264432287,,,,,,62.365,,,,,,0.04
0.0,,,,,513.4067576934274,,,,,,63.414,,0.04
0.06899999999586726,,,,,,345.5940641326503,,,,,,65.162,0.04
3.132999999994354,710.4300588195007,715.1285756340642,,,,,43.223,51.369,,,,,0.04
4.043999999994412,,,,,,821.2156722437948,,,,,,92.015,0.04
4.06699999999546,,,,,669.91589633096,,,,,,77.652,,0.04
7.022999999993772,,,,,724.253060003565,,,,,,66.264,,0.04
7.064999999995052,,,,,,790.8488943238488,,,,,,81.257,0.04
7.242999999994936,683.0823070608419,,744.9713294779597,,,,52.3,,62.975,,,,0.04
10.046999999998661,,,,,,872.0188056153021,,,,,,79.003,0.04
11.011999999995169,,,,,,957.6689860139418,,,,,,81.092,0.04
11.112999999997555,633.0363899586299,,,777.2670657238724,,,44.648,,,79.047,,,0.04
13.007999999994354,,,,,394.52402278397255,,,,,,111.721,,0.04
13.252999999996973,645.933620319507,,,,,,50.52,,,,,,0.04
13.26299999999901,,,681.764831809641,,,,,,65.969,,,,0.04
19.222999999998137,,,,951.9073351728583,,,,,,159.419,,,0.04
19.233000000000175,,872.9652747595023,,,,,,144.795,,,,,0.04
21.052999999999884,,847.9249321868402,780.8428532119195,,,,,60.154,56.697,,,,0.04
22.010999999998603,,,,,513.6276047411525,,,,,,122.835,,0.04
24.26299999999901,,,,725.7956234790382,,,,,,158.711,,,0.04
24.272999999993772,,983.7591462154026,,,,,,169.721,,,,,0.04
25.00499999999738,,,,,,954.9037840982475,,,,,,80.033,0.04
25.047999999995227,,,,,304.70300136868195,,,,,,63.259,,0.04
28.052999999999884,402.19151083896213,,,664.3802701023473,,,53.982,,,92.629,,,0.04
28.953999999997905,,,,,383.7244922760655,,,,,,62.524,,0.04
31.985000000000582,,,,,,808.1508956968412,,,,,,78.842,0.04
32.005999999993946,,,,,223.27856273306637,,,,,,60.617,,0.04
34.95599999999831,,,,,366.33910503152254,,,,,,67.618,,0.04
34.98399999999674,,,,,,609.6788721284718,,,,,,79.865,0.04
36.132999999994354,404.5517359980556,651.8677215851117,,,,,39.71,47.228,,,,,0.04
37.00200000000041,,,,,,766.9709401364191,,,,,,76.954,0.04
37.94399999999587,,,,,,600.0763301525783,,,,,,103.963,0.04
40.96399999999994,,,,,,678.2964634469001,,,,,,134.856,0.04
42.042999999997846,303.9284225205184,,690.542648247216,,,,54.142,,56.295,,,,0.04
46.14299999999639,,,541.5084929341458,,,,,,81.094,,,,0.04
46.15299999999843,,502.61703642524606,,,,,,103.392,,,,,0.04
50.12299999999959,,516.7215317171291,,604.5847250101252,,,,78.681,,122.806,,,0.04
52.949000000000524,,,,,,545.321434341851,,,,,,78.673,0.04
53.12299999999959,,407.26743893814046,637.7706645972264,,,,,58.263,62.28,,,,0.04
55.112999999997555,169.927067725302,,,604.008863617408,,,82.42,,,130.236,,,0.04
56.0199999999968,,,,,,473.4926777805291,,,,,,86.542,0.04
