relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-117.62999999999738,,,,63.905973166647684,,,,,,72.452,,,0.01
-112.63999999999942,51.7006163571707,,,,,,46.411,,,,,,0.01
-112.62999999999738,,,83.18096378560428,,,,,,50.162,,,,0.01
-106.62999999999738,96.29164833627841,,,,,,59.959,,,,,,0.01
-100.61999999999534,,,86.55635534535139,,,,,,44.368,,,,0.01
-51.65999999999622,135.04281228640127,,55.27623440622965,,,,91.262,,72.357,,,,0.01
-40.86000000000058,,,,146.0351656773956,,,,,,139.916,,,0.01
-24.919999999998254,77.79597565524425,,,,,,44.418,,,,,,0.01
-11.900000000001455,,,,132.04382112701265,,,,,,92.797,,,0.01
-8.860000000000582,,,,329.71313138860415,,,,,,106.919,,,0.01
-2.8799999999973807,,,99.59389428520069,,,,,,64.096,,,,0.01
0.0,294.4118595441068,,255.95175962430974,,,,43.651,,49.528,,,,0.01
0.9239999999990687,,,,,213.18915028547266,,,,,,55.957,,0.01
3.099999999998545,347.52384627301336,198.44708527666768,,,,,55.354,66.847,,,,,0.01
6.929000000003725,,,,,,389.50544933532524,,,,,,83.244,0.01
8.0,259.73454120910435,,,,,,37.319,,,,,,0.01
8.010000000002037,,232.13747505012935,,,,,,38.884,,,,,0.01
9.976999999998952,,,,,209.3354893560415,,,,,,67.068,,0.01
10.010000000002037,,,,,,307.7008510294225,,,,,,64.318,0.01
12.976000000002387,,,,,,341.38314961721915,,,,,,72.097,0.01
13.069999999999709,235.57684350563378,283.91402592736034,,,,,48.464,47.864,,,,,0.01
15.080000000001746,282.34335040205457,,,415.33002138147646,,,56.839,,,70.812,,,0.01
19.099999999998545,,223.6513958365854,,,,,,151.424,,,,,0.01
21.0,,324.5474783392199,,,,,,134.437,,,,,0.01
25.06999999999971,,136.75304365831857,,,,,,57.803,,,,,0.01
25.080000000001746,,,,307.8410099403859,,,,,,89.411,,,0.01
27.130000000004657,,97.2008291385322,,,,,,126.751,,,,,0.01
31.029999999998836,46.038591334734264,,236.73838367025928,,,,48.563,,53.986,,,,0.01
33.020000000004075,154.2002263871504,108.20262947028048,,,,,49.473,53.396,,,,,0.01
39.98999999999796,109.63400971128202,,,,,,60.359,,,,,,0.01
47.020000000004075,,,149.41475511536635,,,,,,102.02,,,,0.01
51.98999999999796,,95.83187548161759,,,,,,71.122,,,,,0.01
60.0,,,128.49994573113884,,,,,,57.011,,,,0.01
68.05000000000291,98.59843756656615,58.87115064444218,,,,,67.374,77.12,,,,,0.01
74.01000000000204,,,453.1338512504056,,,,,,264.159,,,,0.01
80.01000000000204,,,,358.3680133471167,,,,,,160.015,,,0.01
82.01000000000204,,,70.9463141857129,,,,,,86.594,,,,0.01
86.0,,190.78626907544472,173.4759952209499,,,,,133.995,117.783,,,,0.01
87.9800000000032,65.89290186812076,,,,,,72.953,,,,,,0.01
87.98999999999796,,,,198.07587034599027,,,,,,112.079,,,0.01
91.98999999999796,54.03635677457098,,226.84116982940895,,,,70.165,,180.864,,,,0.01
