relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-138.7039999999979,,,,,,393.44484984983615,,,,,,116.656,0.032
-32.687999999994645,131.78291053704035,,,,,,57.183,,,,,,0.032
-24.889999999999418,,,,,,346.0706982831381,,,,,,79.915,0.032
-17.8179999999993,,113.52162482269792,,,,,,72.842,,,,,0.032
-3.9349999999976717,,,,,,396.0707976879262,,,,,,71.194,0.032
-1.7579999999943539,250.17854156722728,79.23153248185106,,,,,61.718,52.863,,,,,0.032
0.0,,,,,,608.5383121458611,,,,,,76.486,0.032
0.04700000000593718,,,,,439.76873763786324,,,,,,72.994,,0.032
1.004000000000815,,,,,,572.9853879539463,,,,,,78.067,0.032
2.0010000000038417,,,,,673.1780408346785,,,,,,67.098,,0.032
2.0310000000026776,,,,,,719.7049246594651,,,,,,80.163,0.032
3.0,,,,,648.6145992065389,,,,,,67.891,,0.032
3.0420000000012806,,,,,,579.8481029496685,,,,,,70.991,0.032
3.9900000000052387,,,,,,654.221326532209,,,,,,74.653,0.032
5.005000000004657,,,,,,762.7876483021477,,,,,,79.515,0.032
5.049000000006345,,,,,743.0675610248703,,,,,,62.217,,0.032
6.027000000001863,,,,,,944.5480828369288,,,,,,84.069,0.032
7.010000000002037,,,,,,863.8163619404064,,,,,,77.676,0.032
7.084000000002561,,,,,837.10216476622,,,,,,59.629,,0.032
7.985000000000582,,,,,773.8632441090763,,,,,,118.444,,0.032
8.028000000005704,,,,,,1117.5772965863528,,,,,,121.436,0.032
8.222000000001572,867.221957201318,,,129.688644518647,,,65.242,,,115.958,,,0.032
9.05800000000454,,,,,776.0801106200922,,,,,,110.426,,0.032
9.993000000002212,,,,,,1172.9374976742429,,,,,,130.596,0.032
10.102000000006228,,,,,848.594072973617,,,,,,127.046,,0.032
12.182000000000698,,732.6490110935101,,,,,,99.857,,,,,0.032
13.958000000005995,,,,,980.3046249775741,,,,,,223.619,,0.032
16.03200000000652,,,644.7904097805211,,,,,,85.838,,,,0.032
16.04200000000128,,449.2051708031942,,,,,,95.476,,,,,0.032
17.999000000003434,,,,,751.5587204481441,,,,,,127.446,,0.032
18.072000000000116,,615.1746534146379,,,,,,65.187,,,,,0.032
19.98800000000483,,,,,,802.6755059260155,,,,,,80.089,0.032
20.022000000004482,,,,,687.1294201080423,,,,,,79.429,,0.032
22.192000000002736,548.157349463414,,,,,,104.281,,,,,,0.032
22.9690000000046,,,,,,667.8820560246688,,,,,,71.266,0.032
25.172000000005937,370.45484611084584,492.0057720029963,,,,,68.861,54.464,,,,,0.032
25.98700000000099,,,,,,676.2306514453423,,,,,,70.796,0.032
26.034000000006927,,,,,420.22882766090225,,,,,,51.641,,0.032
28.21200000000681,244.20044800855592,,,,,,142.36,,,,,,0.032
28.984000000004016,,,,,,633.2271301376235,,,,,,73.571,0.032
31.929000000003725,,,,,,479.6538026431392,,,,,,74.885,0.032
31.968000000000757,,,,,188.0961635443607,,,,,,56.812,,0.032
32.98100000000704,,,,,,476.82817567887327,,,,,,76.826,0.032
39.12200000000303,,175.44202085858646,,,,,,61.67,,,,,0.032
39.132000000005064,,,,60.49377811573435,,,,,,79.67,,,0.032
40.012000000002445,,382.3689340146612,,,,,,100.349,,,,,0.032
40.02200000000448,,,138.1078159673132,,,,,,78.639,,,,0.032
46.12200000000303,,,94.6336787628437,,,,,,82.971,,,,0.032
46.945000000006985,,,,,,284.07534947181557,,,,,,81.27,0.032
52.96400000000722,,,,,,329.1013191357186,,,,,,70.327,0.032
56.98100000000704,,,,,,349.23432957830516,,,,,,80.118,0.032
60.97700000000623,,,,,,267.9046868290997,,,,,,76.907,0.032
61.132000000005064,,,85.56938513025273,,,,,,80.411,,,,0.032
62.92700000000332,,,,,,346.71435669544815,,,,,,89.075,0.032
64.06200000000536,,55.66612650438665,,,,,,68.225,,,,,0.032
77.91400000000431,,,,,238.22473405196973,,,,,,66.232,,0.032
78.07200000000012,,,68.07102640042126,,,,,,75.683,,,,0.032
87.92600000000675,,,,,,418.32553828686247,,,,,,105.307,0.032
87.99200000000565,52.22151832236994,47.40475305874009,,,,,45.414,44.771,,,,,0.032
130.9620000000068,,141.22958111409557,,,,,,122.121,,,,,0.032
