relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-112.68000000000029,67.11248783879822,55.70109582193857,,,,,82.791,63.671,,,,,0.023
-38.86999999999534,,197.67891931636387,,,,,,110.717,,,,,0.023
-22.779999999998836,,,113.45551347269799,,,,,,85.939,,,,0.023
0.0,638.276485532612,,329.69781649724024,,,,68.852,,62.937,,,,0.023
1.9210000000020955,,,,,832.634320319631,,,,,,72.181,,0.023
1.963000000003376,,,,,,726.1145034359167,,,,,,70.721,0.023
4.0,1051.9325528706795,898.4731615248203,,,,,60.864,60.715,,,,,0.023
4.930000000000291,,,,,1003.4048483679437,,,,,,76.81,,0.023
4.977000000006228,,,,,,1093.5539151698142,,,,,,87.189,0.023
7.922000000005937,,,,,1230.428203878941,,,,,,83.658,,0.023
7.961000000002969,,,,,,1474.5443805990133,,,,,,88.941,0.023
8.0,1321.9094323792467,,932.0783898182896,,,,59.943,,61.292,,,,0.023
14.918000000005122,,,,,1044.161968460775,,,,,,199.004,,0.023
18.901000000005297,,,,,,1498.0399410893106,,,,,,159.316,0.023
18.9800000000032,,,,,1076.1847413379808,,,,,,125.693,,0.023
21.020000000004075,,1304.4135326358119,960.7753730410521,,,,,72.621,90.018,,,,0.023
23.929000000003725,,,,,961.58892355463,,,,,,81.211,,0.023
26.947000000000116,,,,,665.6503650852472,,,,,,69.04,,0.023
26.965000000003783,,,,,,1067.0835484480106,,,,,,80.671,0.023
29.927000000003318,,,,,547.500214805521,,,,,,66.543,,0.023
29.96600000000035,,,,,,840.9571684401487,,,,,,85.685,0.023
32.01000000000204,516.1427506848121,802.0689618847083,,,,,53.118,43.265,,,,,0.023
32.94400000000314,,,,,482.95851928179076,,,,,,72.63,,0.023
44.03000000000611,,,385.9633902478483,,,,,,122.469,,,,0.023
48.942000000002736,,,,,,459.40960293486756,,,,,,98.851,0.023
49.03000000000611,,405.96359925770645,,,,,,74.325,,,,,0.023
51.01000000000204,,439.7151522590695,,,,,,61.204,,,,,0.023
51.020000000004075,,,,430.758052436625,,,,,,88.298,,,0.023
51.95900000000256,,,,,,675.1782485184846,,,,,,163.077,0.023
54.0,92.54869197792985,,440.35316728605727,,,,61.961,,74.356,,,,0.023
