relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-26.758999999998196,50.207335765943384,,,,,,40.286,,,,,,0.031
-24.838999999999942,,,51.191735543336605,,,,,,56.662,,,,0.031
-2.769000000000233,231.84680246181128,,234.63899191231212,,,,59.984,,59.74,,,,0.031
0.0,,,,,,497.36517743933786,,,,,,78.012,0.031
1.1810000000041327,620.0297633627919,,,,,,62.622,,,,,,0.031
1.19100000000617,,573.1509725760748,,,,,,59.854,,,,,0.031
5.081000000005588,645.9175742692354,,617.9225446957483,,,,59.071,,52.422,,,,0.031
6.003000000004249,,,,,,754.1171946809744,,,,,,82.346,0.031
6.005000000004657,,,,,593.0147464478467,,,,,,67.449,,0.031
7.0,,,,,,747.904896467741,,,,,,74.847,0.031
9.131000000001222,774.1277313898449,,,,,,50.128,,,,,,0.031
9.14100000000326,,660.897990735974,,,,,,45.004,,,,,0.031
9.967000000004191,,,,,,686.3033115905973,,,,,,70.567,0.031
10.00800000000163,,,,,580.4633957496459,,,,,,67.888,,0.031
12.050999999999476,706.5250643931635,,,,,,67.287,,,,,,0.031
12.984000000004016,,,,,,803.7277544099549,,,,,,71.337,0.031
13.06300000000192,,,,,566.052147437699,,,,,,57.58,,0.031
14.19100000000617,654.1749219492178,,,204.15871671286436,,,50.565,,,110.861,,,0.031
15.211000000002969,601.5541558875536,,651.1809167628035,,,,47.924,,72.629,,,,0.031
15.970000000001164,,,,,,752.8943013319126,,,,,,134.904,0.031
16.082000000002154,,,,,654.8410132784171,,,,,,123.518,,0.031
19.977000000006228,,,,,,1062.0061648954656,,,,,,250.787,0.031
22.01100000000588,,380.8159473383009,,,,,,104.416,,,,,0.031
25.171000000002095,,403.2422655096122,,190.45921984234153,,,,72.18,,103.872,,,0.031
26.963999999999942,,,,,,504.3590156747444,,,,,,69.838,0.031
27.006000000001222,,,,,244.72659735111344,,,,,,53.304,,0.031
29.12100000000646,157.99982822022687,,,,,,59.238,,,,,,0.031
31.991000000001804,188.76330069835652,,,,,,49.223,,,,,,0.031
32.00100000000384,,,336.27827433274376,,,,,,67.034,,,,0.031
33.9230000000025,,,,,,322.97613897823345,,,,,,60.482,0.031
36.94300000000658,,,,,,279.6701503242793,,,,,,60.032,0.031
39.9010000000053,,,,,,390.7789048563463,,,,,,104.409,0.031
41.991000000001804,197.9112662677985,,234.33920527229427,,,,95.364,,73.581,,,,0.031
52.08100000000559,,282.10485576451396,,,,,,81.975,,,,,0.031
54.06100000000151,,150.2788193959064,138.1931963541623,,,,,46.987,54.171,,,,0.031
83.04100000000471,,71.74850907343237,,,,,,72.459,,,,,0.031
85.98099999999977,80.52827208231167,,50.98061819121133,,,,82.671,,62.209,,,,0.031
89.00100000000384,158.86604561956418,,,,,,60.633,,,,,,0.031
92.98099999999977,,,130.31007442580454,,,,,,54.933,,,,0.031
95.971000000005,,100.50902745942051,,,,,,58.289,,,,,0.031
113.01100000000588,,181.04601068836172,,,,,,107.668,,,,,0.031
143.93100000000413,,127.27148065114079,,,,,,97.945,,,,,0.031
