relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-119.6469999999972,,,,,,368.2957365642383,,,,,,97.949,0.03
-117.60100000000239,198.65840545065703,244.230124699484,,,,,57.353,62.492,,,,,0.03
-41.79099999999744,,209.60140938679018,,,,,,227.531,,,,,0.03
0.0,,,,,657.8214658768082,,,,,,80.53,,0.03
0.04100000000471482,,,,,,1096.730632092868,,,,,,72.78,0.03
3.00800000000163,,,,,1433.0625276952826,,,,,,82.128,,0.03
3.0560000000041327,,,,,,1977.4803630866102,,,,,,93.91,0.03
3.0789999999979045,1395.6141535995873,,,,,,79.311,,,,,,0.03
3.088999999999942,,,1504.2945084385053,,,,,,96.685,,,,0.03
6.001000000003842,,,,,1921.3143985883612,,,,,,99.681,,0.03
6.040000000000873,,,,,,2841.8548948239363,,,,,,101.763,0.03
6.069000000003143,,,,2095.3095737267854,,,,,,118.565,,,0.03
6.0789999999979045,1654.1130507240475,,,,,,88.892,,,,,,0.03
12.169000000001688,,3345.083448195075,2365.1757366167935,,,,,186.92,196.959,,,,0.03
13.06300000000192,,,,,,3765.440507336679,,,,,,213.622,0.03
16.97899999999936,,,,,,3604.6644136360283,,,,,,144.841,0.03
17.040000000000873,,,,,1836.9883845798581,,,,,,152.066,,0.03
22.006999999997788,,,,,1767.9980804596353,,,,,,95.551,,0.03
25.02599999999802,,,,,1297.809937267014,,,,,,92.217,,0.03
25.042999999997846,,,,,,2505.5838628947936,,,,,,97.647,0.03
28.006000000001222,,,,,1032.8820611193212,,,,,,81.704,,0.03
28.044000000001688,,,,,,2256.461464139566,,,,,,91.946,0.03
31.022000000004482,,,,,855.8131000964522,,,,,,93.409,,0.03
40.078999999997905,,1379.0579946936118,,839.3050318453668,,,,156.677,,184.058,,,0.03
40.98099999999977,,,,,,1963.2656265196397,,,,,,313.423,0.03
44.08899999999994,,1325.752744423523,,1367.1692942736634,,,,126.835,,157.6,,,0.03
50.078999999997905,,,,1072.8817007479172,,,,,,152.183,,,0.03
55.08899999999994,257.0132204552765,,697.0805796916788,,,,92.081,,179.474,,,,0.03
67.08899999999994,,676.4149547251325,,,,,,212.419,,,,,0.03
70.0789999999979,,537.1723108028752,375.4318956084726,,,,,120.702,130.15,,,,0.03
