relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-31.909999999996217,77.76085331039337,,,125.07374537119274,,,71.735,,,117.132,,,0.05
-6.869999999995343,97.01463865869543,159.28395214355436,,,,,70.924,58.983,,,,,0.05
-4.899999999994179,,,172.37253197517532,,,,,,61.527,,,,0.05
0.0,,,532.9668776052083,,,,,,75.723,,,,0.05
0.010000000002037268,,310.4440198533412,,,,,,54.971,,,,,0.05
7.823000000003958,,,,,,396.35724870399304,,,,,,104.025,0.05
7.847000000001572,,,,,462.8695992811007,,,,,,83.675,,0.05
10.069999999999709,516.7192689169018,,,,,,75.531,,,,,,0.05
10.080000000001746,,,736.6222361879439,,,,,,89.017,,,,0.05
10.955000000001746,,,,,,1005.1676199122974,,,,,,82.385,0.05
11.930000000000291,,,,,,662.5369582039283,,,,,,71.17,0.05
12.842000000004191,,,,,,860.1390508429666,,,,,,75.162,0.05
12.93300000000454,,,,,356.782309291277,,,,,,54.073,,0.05
13.88300000000163,,,,,,825.1746563826218,,,,,,65.416,0.05
13.959000000002561,,,,,224.67912699659087,,,,,,49.484,,0.05
16.060000000004948,,769.3900363494851,,,,,,69.19,,,,,0.05
16.06999999999971,568.6768353813077,,,,,,79.254,,,,,,0.05
18.822000000000116,,,,,,710.4543357379144,,,,,,75.121,0.05
19.93000000000029,349.54507496894473,601.2282168700127,,,,,92.047,54.589,,,,,0.05
21.80800000000454,,,,,,807.1313490696733,,,,,,75.197,0.05
22.020000000004075,153.78801504787,,989.6040511100972,,,,76.613,,77.54,,,,0.05
26.040000000000873,206.52674724485803,,,741.4930232341547,,,54.416,,,115.698,,,0.05
30.0,,472.4513132255584,,,,,,90.286,,,,,0.05
30.010000000002037,,,,601.8370538154709,,,,,,107.918,,,0.05
35.88999999999942,,,,514.9789768578946,,,,,,83.79,,,0.05
35.900000000001455,,328.90984887033676,,,,,,55.884,,,,,0.05
40.7870000000039,,,,,,241.70676868033445,,,,,,66.672,0.05
43.0,,199.18315183869586,,,,,,59.814,,,,,0.05
46.03000000000611,167.41173451111737,,462.99652728314624,,,,124.251,,130.966,,,,0.05
49.99000000000524,80.4730701882692,243.05933000577727,,,,,54.473,45.436,,,,,0.05
52.84000000000378,,,367.5080150773629,,,,,,67.388,,,,0.05
54.85000000000582,,,192.66834190578405,,,,,,43.507,,,,0.05
55.76499999999942,,,,,,642.8079480841619,,,,,,141.448,0.05
56.950000000004366,,246.53215274613004,,420.40127703180394,,,,54.496,,93.602,,,0.05
57.84000000000378,,255.07466649273331,457.44464121180556,,,,,90.997,103.883,,,,0.05
63.94000000000233,,,287.0471316008454,,,,,,92.048,,,,0.05
66.91000000000349,,,,279.47584423549176,,,,,,130.288,,,0.05
66.92000000000553,,266.9875963467107,,,,,,55.988,,,,,0.05
69.91000000000349,,,,210.22420661236424,,,,,,108.797,,,0.05
74.90000000000146,55.051502754723536,222.1616247924427,,,,,51.133,58.585,,,,,0.05
78.95000000000437,,,58.55013813207544,,,,,,72.811,,,,0.05
81.88000000000466,81.7954975025799,182.25004627353454,,,,,71.312,77.651,,,,,0.05
85.93000000000029,,93.22042039617648,,,,,,68.521,,,,,0.05
88.92000000000553,,91.91951855306313,,147.57592110712793,,,,72.976,,99.0,,,0.05
91.85000000000582,,115.31211942918517,181.79808069456232,,,,,71.385,61.472,,,,0.05
95.88999999999942,,,160.1284844896183,,,,,,53.295,,,,0.05
100.85000000000582,,,,260.1007263892588,,,,,,95.397,,,0.05
105.81000000000495,65.48674241992777,141.64750431892432,,,,,52.172,46.579,,,,,0.05
109.81999999999971,,77.25061238958352,,,,,,53.382,,,,,0.05
139.7800000000061,,,695.1009372911955,,,,,,214.83,,,,0.05
145.79000000000087,,,,123.65323192078333,,,,,,152.615,,,0.05
148.7800000000061,,,245.66222927621112,,,,,,146.194,,,,0.05
157.7800000000061,,,,249.55721705371613,,,,,,144.866,,,0.05
162.77000000000407,,73.42330515045855,,,,,,87.092,,,,,0.05
170.76000000000204,,,333.5616362095544,,,,,,159.828,,,,0.05
