relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-69.72299999999814,83.24396868724163,,,,,,62.297,,,,,,0.01
-65.70300000000134,176.48540266702125,,,,,,121.614,,,,,,0.01
-45.812999999994645,137.0766331810566,,,,,,85.166,,,,,,0.01
-40.82299999999668,,71.90231982286568,,,,,,56.094,,,,,0.01
-28.812999999994645,,57.58001335097224,,,,,,73.71,,,,,0.01
-25.852999999995518,,,154.81212527903793,,,,,,102.98,,,,0.01
-5.832999999998719,,89.33932863158354,,,,,,66.55,,,,,0.01
-4.84599999999773,,,,,286.14660985807194,,,,,,64.159,,0.01
-3.9939999999987776,,,,,,220.8435457712231,,,,,,70.256,0.01
-3.8659999999945285,,,,,250.9589179123708,,,,,,65.711,,0.01
-3.0049999999973807,,,,,,322.84138105727544,,,,,,71.325,0.01
-2.84599999999773,,,,,273.9160483641866,,,,,,57.865,,0.01
-2.025000000001455,,,,,379.5784348044131,,,,,,98.598,,0.01
-1.9539999999979045,,,,,,280.0335812177268,,,,,,84.04,0.01
-0.023000000001047738,,,,,,451.6021105915774,,,,,,117.798,0.01
0.0,,,,,634.1647492823988,,,,,,121.971,,0.01
2.9870000000009895,,,,,,751.0073335979479,,,,,,170.897,0.01
3.971000000005006,,,,,,1049.136704121791,,,,,,176.941,0.01
4.097000000001572,,544.6848510265676,,681.6968333854483,,,,106.754,,185.349,,,0.01
7.027000000001863,,,,,,813.0098321811181,,,,,,159.207,0.01
7.934000000001106,,,,,,738.4516206839261,,,,,,122.286,0.01
7.999000000003434,,,,,945.9857095993829,,,,,,123.411,,0.01
8.057000000000698,,818.4213157349816,612.5516509941452,,,,,49.158,66.332,,,,0.01
9.093000000000757,,,,,1241.7756861668895,,,,,,113.183,,0.01
9.96600000000035,,,,,,810.7540670457491,,,,,,81.283,0.01
9.999000000003434,,,,,1157.0750037301627,,,,,,105.535,,0.01
10.967000000004191,,,,,,886.6553900776701,,,,,,72.243,0.01
11.009000000005472,,,,,982.8944440589984,,,,,,77.723,,0.01
12.041000000004715,,,,,,848.4998471411577,,,,,,77.834,0.01
12.092000000004191,,,,,862.6374942422998,,,,,,87.482,,0.01
12.156999999999243,804.3384238958317,,,,,,107.524,,,,,,0.01
12.956000000005588,,,,,,969.8341425577792,,,,,,81.525,0.01
13.007000000005064,,,,,948.9834564647851,,,,,,68.461,,0.01
13.997999999999593,,,,,889.2824266781249,,,,,,76.991,,0.01
14.025000000001455,,,,,,738.8769048447685,,,,,,89.062,0.01
14.963999999999942,,,,,,908.5818410953166,,,,,,118.056,0.01
15.022000000004482,,,,,855.7205619258182,,,,,,91.1,,0.01
15.057000000000698,942.4448921613197,,537.8493614550929,,,,79.958,,70.988,,,,0.01
15.965000000003783,,,,,,712.4161589541006,,,,,,62.784,0.01
15.999000000003434,,,,,650.4301879608985,,,,,,62.975,,0.01
17.010000000002037,,,,,696.3495679677839,,,,,,63.378,,0.01
17.98700000000099,,,,,692.4559780329733,,,,,,64.118,,0.01
18.959999999999127,,,,,,569.8559414173761,,,,,,65.856,0.01
19.007000000005064,,,,,595.8769284062201,,,,,,61.966,,0.01
19.0370000000039,614.7484731765169,,,,,,68.477,,,,,,0.01
19.04699999999866,,,471.43036624716564,,,,,,95.435,,,,0.01
19.903000000005704,,,,,457.2587790389321,,,,,,58.453,,0.01
20.974999999998545,,,,,495.24866810574196,,,,,,60.193,,0.01
21.955000000001746,,,,,,583.2115196752696,,,,,,68.448,0.01
22.028000000005704,,,,,425.9380576911219,,,,,,66.253,,0.01
23.029999999998836,,,,,330.31628037282184,,,,,,73.468,,0.01
23.147000000004482,417.7097956015352,632.8067631300497,,,,,51.446,47.742,,,,,0.01
23.89900000000489,,,,,,616.391962258179,,,,,,99.636,0.01
25.081000000005588,,,,,344.8954864395327,,,,,,75.914,,0.01
25.931000000004133,,,,,563.4197661360749,,,,,,96.802,,0.01
25.9800000000032,,,,,,569.1678295756236,,,,,,94.695,0.01
26.959999999999127,,,,,,445.2766554207009,,,,,,92.936,0.01
26.997000000003027,389.24974469894886,,,365.24404948774696,,,66.762,,,90.8,,,0.01
28.007000000005064,265.6498891187755,,337.4699589213319,,,,57.065,,59.131,,,,0.01
29.98700000000099,,308.0524570879901,,,,,,117.289,,,,,0.01
30.077000000004773,,,,,,566.0604613639204,,,,,,147.014,0.01
32.086999999999534,,238.83173010540813,156.3904286583469,,,,,95.174,84.6,,,,0.01
33.038000000000466,,,,,,593.7960249824666,,,,,,165.239,0.01
36.086999999999534,,194.7927878933257,,192.74699303027919,,,,73.923,,101.867,,,0.01
37.93300000000454,,,,,,295.0489059330203,,,,,,64.888,0.01
38.067000000002736,,269.76066287610337,334.81503079972197,,,,,70.3,69.343,,,,0.01
38.94000000000233,,,,,229.69313917559757,,,,,,60.844,,0.01
38.98200000000361,,,,,,295.8673968605785,,,,,,73.415,0.01
39.93900000000576,,,,,,310.361205232649,,,,,,70.043,0.01
40.92399999999907,,,,,,248.60187399205296,,,,,,77.138,0.01
41.007000000005064,150.44070794639458,,,296.4847019469918,,,39.801,,,81.185,,,0.01
41.9010000000053,,,,,219.08635723380513,,,,,,63.878,,0.01
43.98700000000099,104.20256021477752,,255.2424898271606,,,,105.815,,120.281,,,,0.01
48.02700000000186,163.21024940495744,141.50496132603786,,,,,72.678,82.092,,,,,0.01
52.98700000000099,150.40762087540887,140.6858417108309,,,,,58.644,56.597,,,,,0.01
58.086999999999534,,245.66625939479107,,217.57858801056756,,,,65.149,,95.991,,,0.01
64.00700000000506,,220.06262802245996,,,,,,70.248,,,,,0.01
64.01699999999983,,,223.57364426463715,,,,,,133.271,,,,0.01
64.9320000000007,,,,,,387.3376383451426,,,,,,119.304,0.01
68.0570000000007,,85.54270921509935,,,,,,59.909,,,,,0.01
